,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 9 기,12842183353000,제 8 기,14888371134000,제 7 기,16997439560000,1,
1,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 9 기,3019670875000,제 8 기,2938605303000,제 7 기,2848600028000,2,
2,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,단기금융상품,-,제 9 기,1639957233000,제 8 기,182406692000,제 7 기,107824107000,3,
3,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권,-,제 9 기,3477224150000,제 8 기,4631140296000,제 7 기,5138113053000,4,
4,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,단기대여금,-,제 9 기,39335958000,제 8 기,39016629000,제 7 기,47194517000,5,
5,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,미수금,-,제 9 기,416364916000,제 8 기,843979272000,제 7 기,979782702000,6,
6,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,미수수익,-,제 9 기,7973127000,제 8 기,5477799000,제 7 기,6244151000,7,
7,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,선급금,-,제 9 기,307822194000,제 8 기,594085995000,제 7 기,582036617000,8,
8,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,선급비용,-,제 9 기,51855408000,제 8 기,59382078000,제 7 기,44572661000,9,
9,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 9 기,12022228000,제 8 기,76578082000,제 7 기,18787626000,10,
10,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,유동성보증금,-,제 9 기,128442507000,제 8 기,141719281000,제 7 기,65971988000,11,
11,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,유동성파생금융상품자산,-,제 9 기,78001651000,제 8 기,86540296000,제 7 기,78246243000,12,
12,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,유동성확정계약자산,-,제 9 기,75162934000,제 8 기,70701519000,제 7 기,45251000,13,
13,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_Inventories,재고자산,-,제 9 기,3559799675000,제 8 기,5218732944000,제 7 기,7080009016000,14,
14,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,기타유동자산,-,제 9 기,2972873000,제 8 기,4948000,제 7 기,11600000,15,
15,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정자산,-,제 9 기,25577624000,제 8 기,,제 7 기,,16,
16,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 9 기,18517652383000,제 8 기,20212942680000,제 7 기,18291429648000,17,
17,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,장기금융상품,-,제 9 기,12010736000,제 8 기,4337711000,제 7 기,12990650000,18,
18,20160516002275,11011,2015,00631518,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권,-,제 9 기,,제 8 기,,제 7 기,254324000,19,
19,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,매도가능증권,-,제 9 기,219125415000,제 8 기,218394287000,제 7 기,268266902000,20,
20,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,관계기업투자 및 공동기업투자,-,제 9 기,2338794624000,제 8 기,2244858981000,제 7 기,1872966212000,21,
21,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,장기대여금,-,제 9 기,88441822000,제 8 기,174500457000,제 7 기,275699348000,22,
22,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 9 기,13914156195000,제 8 기,15126240023000,제 7 기,14334886085000,23,
23,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 9 기,1663071540000,제 8 기,1943807532000,제 7 기,1381680574000,24,
24,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,보증금,-,제 9 기,21679903000,제 8 기,26730380000,제 7 기,27750557000,25,
25,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,파생금융상품자산,-,제 9 기,16775405000,제 8 기,765561000,제 7 기,2084956000,26,
26,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,확정계약자산,-,제 9 기,3229373000,제 8 기,19976884000,제 7 기,316475000,27,
27,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 9 기,191149454000,제 8 기,393811434000,제 7 기,54225683000,28,
28,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_OtherNoncurrentNonfinancialAssets,기타비유동자산,-,제 9 기,49217916000,제 8 기,59519430000,제 7 기,60307882000,29,
29,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_Assets,자산총계,-,제 9 기,31359835736000,제 8 기,35101313814000,제 7 기,35288869208000,30,
30,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 9 기,7494013739000,제 8 기,11403361285000,제 7 기,11665349893000,32,
31,20160516002275,11011,2015,00631518,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 9 기,389337883000,제 8 기,3023755555000,제 7 기,2220863082000,33,
32,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무,-,제 9 기,2754331575000,제 8 기,4416788937000,제 7 기,6030813882000,34,
33,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,미지급금,-,제 9 기,239635162000,제 8 기,227612806000,제 7 기,321448733000,35,
34,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,미지급비용,-,제 9 기,1329472936000,제 8 기,1319731507000,제 7 기,1246807151000,36,
35,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,선수금,-,제 9 기,61429632000,제 8 기,74967835000,제 7 기,54090170000,37,
36,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,예수금,-,제 9 기,685098195000,제 8 기,691437326000,제 7 기,738552997000,38,
37,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,임대보증금,-,제 9 기,10866400000,제 8 기,24704552000,제 7 기,17277912000,39,
38,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 9 기,229856033000,제 8 기,110181387000,제 7 기,130227281000,40,
39,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,파생금융상품부채,-,제 9 기,79002806000,제 8 기,359992394000,제 7 기,56287368000,41,
40,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,확정계약부채,-,제 9 기,,제 8 기,31308000,제 7 기,10740540000,42,
41,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_OtherCurrentNonfinancialLiabilities,기타유동부채,-,제 9 기,58559829000,제 8 기,17163265000,제 7 기,13980152000,43,
42,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기부채,-,제 9 기,1655394456000,제 8 기,1136994413000,제 7 기,824260625000,44,
43,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,매각예정부채,-,제 9 기,1028832000,제 8 기,,제 7 기,,45,
44,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 9 기,6819485776000,제 8 기,7636895282000,제 7 기,6708265561000,46,
45,20160516002275,11011,2015,00631518,BS,재무상태표,dart_LongTermBorrowingsGross,사채 및 장기차입금,-,제 9 기,6130094121000,제 8 기,6814444160000,제 7 기,5837334591000,47,
46,20160516002275,11011,2015,00631518,BS,재무상태표,dart_PostemploymentBenefitObligations,확정급여부채,-,제 9 기,70410232000,제 8 기,50167938000,제 7 기,61126997000,48,
47,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_NoncurrentProvisions,충당부채,-,제 9 기,41562953000,제 8 기,22551138000,제 7 기,16945092000,49,
48,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,금융보증부채,-,제 9 기,2199242000,제 8 기,200851000,제 7 기,605197000,50,
49,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 9 기,562142792000,제 8 기,711681080000,제 7 기,766823547000,51,
50,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,파생금융상품부채,-,제 9 기,3229373000,제 8 기,33168144000,제 7 기,20512723000,52,
51,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,확정계약부채,-,제 9 기,,제 8 기,,제 7 기,2084956000,53,
52,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_OtherNoncurrentNonfinancialLiabilities,기타비유동부채,-,제 9 기,9847063000,제 8 기,4681971000,제 7 기,2832458000,54,
53,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 9 기,14313499515000,제 8 기,19040256567000,제 7 기,18373615454000,55,
54,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 9 기,15889741710000,제 8 기,15000341007000,제 7 기,15839458152000,57,
55,20160516002275,11011,2015,00631518,BS,재무상태표,dart_ContributedEquity,자본금,-,제 9 기,468569950000,제 8 기,468569950000,제 7 기,468569950000,58,
56,20160516002275,11011,2015,00631518,BS,재무상태표,-표준계정코드 미사용-,기타불입자본,-,제 9 기,5748106256000,제 8 기,5756981691000,제 7 기,5756998364000,59,
57,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금,-,제 9 기,9449629808000,제 8 기,8636045994000,제 7 기,9535337184000,60,
58,20160516002275,11011,2015,00631518,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 9 기,223435696000,제 8 기,138743372000,제 7 기,78552654000,61,
59,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 9 기,1156594511000,제 8 기,1060716240000,제 7 기,1075795602000,62,
60,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_Equity,자본총계,-,제 9 기,17046336221000,제 8 기,16061057247000,제 7 기,16915253754000,63,
61,20160516002275,11011,2015,00631518,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 9 기,31359835736000,제 8 기,35101313814000,제 7 기,35288869208000,64,
62,20160516002275,11011,2015,00631518,CIS,포괄손익계산서,ifrs_Revenue,매출액,-,제 9 기,48356320414000,제 8 기,65860712618000,제 7 기,66039204048000,0,
63,20160516002275,11011,2015,00631518,CIS,포괄손익계산서,ifrs_CostOfSales,매출원가,-,제 9 기,44196843778000,제 8 기,64244374545000,제 7 기,62719601697000,1,
64,20160516002275,11011,2015,00631518,CIS,포괄손익계산서,ifrs_GrossProfit,매출총이익,-,제 9 기,4159476636000,제 8 기,1616338073000,제 7 기,3319602351000,2,
65,20160516002275,11011,2015,00631518,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 9 기,2179911689000,제 8 기,1799141318000,제 7 기,1860956639000,3,
66,20160516002275,11011,2015,00631518,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 9 기,1979564947000,제 8 기,-182803245000,제 7 기,1458645712000,4,
67,20160516002275,11011,2015,00631518,CIS,포괄손익계산서,ifrs_FinanceIncome,금융수익,-,제 9 기,2250545598000,제 8 기,2616559567000,제 7 기,1637784355000,5,
68,20160516002275,11011,2015,00631518,CIS,포괄손익계산서,ifrs_FinanceCosts,금융원가,-,제 9 기,2570575778000,제 8 기,2965643955000,제 7 기,1862975309000,6,
69,20160516002275,11011,2015,00631518,CIS,포괄손익계산서,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,-,제 9 기,257042852000,제 8 기,130775318000,제 7 기,67708800000,7,
70,20160516002275,11011,2015,00631518,CIS,포괄손익계산서,dart_OtherGains,기타영업외수익,-,제 9 기,225923516000,제 8 기,86444112000,제 7 기,127255022000,8,
