,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 65 기,420269219627,제 64 기,458568140706,제 63 기,433358963664,1,
1,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 65 기,80604449073,제 64 기,104917755675,제 63 기,117151640279,2,
2,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 65 기,80337746844,제 64 기,88114832793,제 63 기,114617122817,3,
3,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_Inventories,재고자산,-,제 65 기,123802320306,제 64 기,131950063258,제 63 기,114711884872,4,
4,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동자산,-,제 65 기,2819589650,제 64 기,3147892993,제 63 기,3551008738,5,
5,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_OtherCurrentNonfinancialAssets,기타유동금융자산,-,제 65 기,121265214070,제 64 기,129777874072,제 63 기,83256563912,6,
6,20160512000081,11011,2015,00113243,BS,재무상태표,-표준계정코드 미사용-,유동성매도가능금융자산,-,제 65 기,11029439042,제 64 기,,제 63 기,,7,
7,20160512000081,11011,2015,00113243,BS,재무상태표,-표준계정코드 미사용-,파생상품자산,-,제 65 기,316502072,제 64 기,581684345,제 63 기,6357246,8,
8,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 65 기,93958570,제 64 기,78037570,제 63 기,64385800,9,
9,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 65 기,475156518085,제 64 기,441813793199,제 63 기,463906164378,10,
10,20160512000081,11011,2015,00113243,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 65 기,83705093009,제 64 기,67613034141,제 63 기,85075776438,11,
11,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,관계기업투자,-,제 65 기,33452758723,제 64 기,31190174027,제 63 기,28429706568,12,
12,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 65 기,257562748929,제 64 기,263129735973,제 63 기,264040032946,13,
13,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 65 기,49308738514,제 64 기,34259401462,제 63 기,34307536993,14,
14,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 65 기,20103436624,제 64 기,20942069238,제 63 기,21983473530,15,
15,20160512000081,11011,2015,00113243,BS,재무상태표,-표준계정코드 미사용-,기타비유동자산,-,제 65 기,53262250,제 64 기,,제 63 기,,16,
16,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 65 기,30970480036,제 64 기,24679378358,제 63 기,30069637903,17,
17,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_Assets,자산총계,-,제 65 기,895425737712,제 64 기,900381933905,제 63 기,897265128042,18,
18,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 65 기,198864249497,제 64 기,233509937794,제 63 기,224648393061,20,
19,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 65 기,40204697608,제 64 기,52913279152,제 63 기,52773749163,21,
20,20160512000081,11011,2015,00113243,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 65 기,136469085087,제 64 기,155318816329,제 63 기,151165329749,22,
21,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기부채,-,제 65 기,350720000,제 64 기,633490000,제 63 기,317957142,23,
22,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_OtherCurrentNonfinancialLiabilities,기타유동부채,-,제 65 기,13392269138,제 64 기,12065056844,제 63 기,9785400510,24,
23,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 65 기,3779291000,제 64 기,3904001000,제 63 기,3710614500,25,
24,20160512000081,11011,2015,00113243,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,파생상품부채,-,제 65 기,56511201,제 64 기,266294338,제 63 기,377343377,26,
25,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 65 기,4611675463,제 64 기,8409000131,제 63 기,6517998620,27,
26,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 65 기,39644825861,제 64 기,42174762835,제 63 기,65264761534,28,
27,20160512000081,11011,2015,00113243,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무및기타채무,-,제 65 기,1153454,제 64 기,324544200,제 63 기,341899240,29,
28,20160512000081,11011,2015,00113243,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 65 기,1170090000,제 64 기,5816990000,제 63 기,25027508568,30,
29,20160512000081,11011,2015,00113243,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여부채,-,제 65 기,12183626086,제 64 기,11776063169,제 63 기,11112445494,31,
30,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,-,제 65 기,602000000,제 64 기,535000000,제 63 기,584000000,32,
31,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 65 기,25687956321,제 64 기,23722165466,제 63 기,28198908232,33,
32,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 65 기,238509075358,제 64 기,275684700629,제 63 기,289913154595,34,
33,20160512000081,11011,2015,00113243,BS,재무상태표,dart_ContributedEquity,자본금,-,제 65 기,8450000000,제 64 기,8450000000,제 63 기,8450000000,36,
34,20160512000081,11011,2015,00113243,BS,재무상태표,-표준계정코드 미사용-,자본잉여금,-,제 65 기,36103067470,제 64 기,35897123446,제 63 기,35859453038,37,
35,20160512000081,11011,2015,00113243,BS,재무상태표,-표준계정코드 미사용-,자기주식,-,제 65 기,-1327638823,제 64 기,-1121999114,제 63 기,-1107568257,38,
36,20160512000081,11011,2015,00113243,BS,재무상태표,-표준계정코드 미사용-,기타포괄손익누계액,-,제 65 기,42139216972,제 64 기,37375508098,제 63 기,51178787901,39,
37,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금,-,제 65 기,568978331026,제 64 기,541645321251,제 63 기,511253365350,40,
38,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 65 기,654342976645,제 64 기,622245953681,제 63 기,605634038032,41,
39,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 65 기,2573685709,제 64 기,2451279595,제 63 기,1717935415,42,
40,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_Equity,자본총계,-,제 65 기,656916662354,제 64 기,624697233276,제 63 기,607351973447,43,
41,20160512000081,11011,2015,00113243,BS,재무상태표,ifrs_EquityAndLiabilities,부채와자본총계,-,제 65 기,895425737712,제 64 기,900381933905,제 63 기,897265128042,44,
42,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,ifrs_Revenue,매출액,-,제 65 기,825841280918,제 64 기,869712983781,제 63 기,864748564994,0,
43,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,ifrs_CostOfSales,매출원가,-,제 65 기,654924215542,제 64 기,688200674927,제 63 기,712204889250,1,
44,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,ifrs_GrossProfit,매출총이익,-,제 65 기,170917065376,제 64 기,181512308854,제 63 기,152543675744,2,
45,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 65 기,123631734792,제 64 기,128544399625,제 63 기,125286556247,3,
46,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 65 기,47285330584,제 64 기,52967909229,제 63 기,27257119497,4,
47,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,-표준계정코드 미사용-,영업외수익,-,제 65 기,19227277565,제 64 기,20102720133,제 63 기,20059971156,5,
48,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,-표준계정코드 미사용-,금융수익,-,제 65 기,6701084580,제 64 기,8146676476,제 63 기,6598535552,6,
49,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,-표준계정코드 미사용-,관계기업지분법이익,-,제 65 기,1422773834,제 64 기,964328145,제 63 기,920031563,7,
50,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,-표준계정코드 미사용-,기타영업외수익,-,제 65 기,11103419151,제 64 기,10991715512,제 63 기,12541404041,8,
51,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,-표준계정코드 미사용-,영업외비용,-,제 65 기,19813940729,제 64 기,22793594258,제 63 기,18419992535,9,
52,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,-표준계정코드 미사용-,금융비용,-,제 65 기,2581904650,제 64 기,3398143592,제 63 기,5486491383,10,
53,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,-표준계정코드 미사용-,관계기업지분법손실,-,제 65 기,784739209,제 64 기,1171052276,제 63 기,753321496,11,
54,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,-표준계정코드 미사용-,기타영업외비용,-,제 65 기,16447296870,제 64 기,18224398390,제 63 기,12180179656,12,
55,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익,-,제 65 기,46698667420,제 64 기,50277035104,제 63 기,28897098118,13,
56,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 65 기,12448089341,제 64 기,13430573950,제 63 기,10519773589,14,
57,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,ifrs_ProfitLoss,당기순이익,-,제 65 기,34250578079,제 64 기,36846461154,제 63 기,18377324529,15,
58,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncome,기타포괄손익,-,제 65 기,2075406684,제 64 기,-16949241506,제 63 기,-10329320756,16,
59,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로재분류되는항목,-,제 65 기,4784621696,제 64 기,-13798253837,제 63 기,-11424543512,17,
60,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncomeNetOfTaxAvailableforsaleFinancialAssets,매도가능금융자산평가손익,-,제 65 기,4405741393,제 64 기,-14147107320,제 63 기,-11633720496,18,
61,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,-표준계정코드 미사용-,지분법자본변동,-,제 65 기,58867413,제 64 기,158778590,제 63 기,52366092,19,
62,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncomeNetOfTaxExchangeDifferencesOnTranslation,해외사업환산손익,-,제 65 기,320012890,제 64 기,190074893,제 63 기,156810892,20,
63,20160512000081,11011,2015,00113243,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로재분류되지않는항목,-,제 65 기,-2709215012,제 64 기,-3150987669,제 63 기,1095222756,21,
