,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 16 기,401399587615,제 15 기,343810454269,제 14 기,300128198584,1,
1,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 16 기,32166384871,제 15 기,34076973139,제 14 기,56164300121,2,
2,20160330000656,11011,2015,00409672,BS,재무상태표,-표준계정코드 미사용-,단기투자자산,-,제 16 기,1607698715,제 15 기,,제 14 기,,13,
3,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권,-,제 16 기,103265681092,제 15 기,100663732268,제 14 기,93393949183,14,
4,20160330000656,11011,2015,00409672,BS,재무상태표,-표준계정코드 미사용-,매출채권외수취채권,-,제 16 기,45650553416,제 15 기,35809480049,제 14 기,8796463823,28,
5,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_Inventories,재고자산,-,제 16 기,197052046004,제 15 기,156883598376,제 14 기,131137345588,29,
6,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_OtherCurrentNonfinancialAssets,기타유동자산,-,제 16 기,21645484607,제 15 기,16376670437,제 14 기,10636139869,58,
7,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 16 기,11738910,제 15 기,,제 14 기,,59,
8,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 16 기,185902660393,제 15 기,179993189346,제 14 기,145526598441,63,
9,20160330000656,11011,2015,00409672,BS,재무상태표,-표준계정코드 미사용-,장기수취채권,-,제 16 기,15054501977,제 15 기,18599523386,제 14 기,17413966695,64,
10,20160330000656,11011,2015,00409672,BS,재무상태표,-표준계정코드 미사용-,장기성매도가능금융자산,-,제 16 기,250000000,제 15 기,623811000,제 14 기,638811000,79,
11,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 16 기,10473608495,제 15 기,5185360674,제 14 기,5025772817,80,
12,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 16 기,125808450298,제 15 기,122497974735,제 14 기,103898637197,81,
13,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 16 기,3776379827,제 15 기,4226077547,제 14 기,2059105157,121,
14,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 16 기,30539719796,제 15 기,28860442004,제 14 기,16490305575,140,
15,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_Assets,자산총계,-,제 16 기,587302248008,제 15 기,523803643615,제 14 기,445654797025,159,
16,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 16 기,157230046671,제 15 기,124645024338,제 14 기,105853477626,161,
17,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무,-,제 16 기,50231356221,제 15 기,37969033747,제 14 기,21953174961,162,
18,20160330000656,11011,2015,00409672,BS,재무상태표,-표준계정코드 미사용-,매입채무외지급채무,-,제 16 기,31550032610,제 15 기,27791821835,제 14 기,25638505295,170,
19,20160330000656,11011,2015,00409672,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 16 기,48511851563,제 15 기,19446801116,제 14 기,30083646520,171,
20,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 16 기,111305627,제 15 기,10435502605,제 14 기,1865082528,172,
21,20160330000656,11011,2015,00409672,BS,재무상태표,-표준계정코드 미사용-,지분매각기타채무,-,제 16 기,8684524493,제 15 기,,제 14 기,,182,
22,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 16 기,4600233880,제 15 기,14905024808,제 14 기,13237997138,183,
23,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_OtherCurrentNonfinancialLiabilities,기타유동부채,-,제 16 기,13540742277,제 15 기,14096840227,제 14 기,13075071184,186,
24,20160330000656,11011,2015,00409672,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 16 기,166075422814,제 15 기,127357054039,제 14 기,102406140241,188,
