,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 56 기,717513876004,제 55 기,681359820715,제 54 기,720394747646,1,
1,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 56 기,66966888445,제 55 기,50376243321,제 54 기,52696171755,2,
2,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 56 기,104756677337,제 55 기,84241683173,제 54 기,83237917426,13,
3,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동금융자산,-,제 56 기,458823301285,제 55 기,459810992058,제 54 기,503218978486,27,
4,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_Inventories,재고자산,-,제 56 기,81614191737,제 55 기,80146682452,제 54 기,75948098386,35,
5,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 56 기,102428419,제 55 기,48618828,제 54 기,71560,52,
6,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_OtherCurrentNonfinancialAssets,기타유동비금융자산,-,제 56 기,5250388781,제 55 기,6735600883,제 54 기,5293510033,53,
7,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 56 기,211768982011,제 55 기,234264943839,제 54 기,199375644025,61,
8,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 56 기,6115339801,제 55 기,41727126003,제 54 기,7824646410,76,
9,20160330000045,11011,2015,00135795,BS,재무상태표,-표준계정코드 미사용-,관계기업투자,-,제 56 기,,제 55 기,0,제 54 기,0,84,
10,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 56 기,187380946170,제 55 기,173568534181,제 54 기,176659948578,85,
11,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 56 기,4354536743,제 55 기,4476293532,제 54 기,3839568978,125,
12,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 56 기,5463646441,제 55 기,5721963951,제 54 기,5584216745,126,
13,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 56 기,265464626,제 55 기,378199441,제 54 기,219402321,145,
14,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_OtherNoncurrentNonfinancialAssets,기타비유동비금융자산,-,제 56 기,8189048230,제 55 기,8392826731,제 54 기,5247860993,146,
15,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_Assets,자산총계,-,제 56 기,929282858015,제 55 기,915624764554,제 54 기,919770391671,156,
16,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 56 기,97266161531,제 55 기,76325491448,제 54 기,71613818053,158,
17,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 56 기,48467040120,제 55 기,52205439667,제 54 기,31724392322,159,
18,20160330000045,11011,2015,00135795,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 56 기,32564584008,제 55 기,16398598672,제 54 기,27873277527,167,
19,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_CurrentProvisions,유동충당부채,-,제 56 기,438933236,제 55 기,420310176,제 54 기,445721069,168,
20,20160330000045,11011,2015,00135795,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 56 기,4410899818,제 55 기,3740450264,제 54 기,7909908790,177,
21,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_OtherCurrentNonfinancialLiabilities,기타유동비금융부채,-,제 56 기,11384704349,제 55 기,3560692669,제 54 기,3660518345,178,
22,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 56 기,11780890778,제 55 기,19360655203,제 54 기,24503541468,183,
23,20160330000045,11011,2015,00135795,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여채무,-,제 56 기,3661738159,제 55 기,7380608584,제 54 기,7396119182,193,
24,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 56 기,5870523028,제 55 기,11106495919,제 54 기,16065237586,196,
25,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,-,제 56 기,2248629591,제 55 기,873550700,제 54 기,1042184700,197,
26,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 56 기,109047052309,제 55 기,95686146651,제 54 기,96117359521,213,
27,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 56 기,820235805706,제 55 기,819938617903,제 54 기,823653032150,215,
28,20160330000045,11011,2015,00135795,BS,재무상태표,dart_ContributedEquity,납입자본금,-,제 56 기,50400145000,제 55 기,50400145000,제 54 기,50400145000,216,
29,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 56 기,50400145000,제 55 기,50400145000,제 54 기,50400145000,217,
30,20160330000045,11011,2015,00135795,BS,재무상태표,dart_IssuedCapitalOfCommonStock,보통주자본금,-,제 56 기,50400145000,제 55 기,50400145000,제 54 기,50400145000,218,
31,20160330000045,11011,2015,00135795,BS,재무상태표,dart_IssuedCapitalOfPreferredStock,우선주자본금,-,제 56 기,0,제 55 기,0,제 54 기,0,219,
32,20160330000045,11011,2015,00135795,BS,재무상태표,-표준계정코드 미사용-,기타불입자본,-,제 56 기,103455694069,제 55 기,103455694069,제 54 기,103455694069,221,
33,20160330000045,11011,2015,00135795,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 56 기,2453142942,제 55 기,-3237511812,제 54 기,-4530150469,222,
34,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금(결손금),-,제 56 기,663926823695,제 55 기,669320290646,제 54 기,674327343550,227,
35,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 56 기,0,제 55 기,0,제 54 기,0,231,
36,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_Equity,자본총계,-,제 56 기,820235805706,제 55 기,819938617903,제 54 기,823653032150,232,
37,20160330000045,11011,2015,00135795,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 56 기,929282858015,제 55 기,915624764554,제 54 기,919770391671,233,
38,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_Revenue,수익(매출액),-,제 56 기,500503730109,제 55 기,480039122273,제 54 기,527571697370,0,
39,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_CostOfSales,매출원가,-,제 56 기,409930446772,제 55 기,386143759438,제 54 기,408675503726,8,
40,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_GrossProfit,매출총이익,-,제 56 기,90573283337,제 55 기,93895362835,제 54 기,118896193644,16,
41,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 56 기,84029925499,제 55 기,89274313538,제 54 기,90485746663,17,
42,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 56 기,6543357838,제 55 기,4621049297,제 54 기,28410446981,42,
43,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_FinanceIncome,금융수익,-,제 56 기,11218957999,제 55 기,14918113144,제 54 기,15556485896,43,
44,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,dart_OtherGains,기타이익,-,제 56 기,13929401779,제 55 기,9701362752,제 54 기,10038096294,46,
45,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,dart_OtherLosses,기타손실,-,제 56 기,12087002009,제 55 기,6886733292,제 54 기,11903538424,60,
46,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 56 기,19604715607,제 55 기,22353791901,제 54 기,42101490747,83,
47,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 56 기,10249869058,제 55 기,5238374555,제 54 기,14641318874,84,
48,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_ProfitLossFromContinuingOperations,계속영업이익(손실),-,제 56 기,9354846549,제 55 기,17115417346,제 54 기,27460171873,85,
49,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_ProfitLossFromDiscontinuedOperations,중단영업이익(손실),-,제 56 기,0,제 55 기,0,제 54 기,-2148860873,86,
50,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_ProfitLoss,당기순이익(손실),-,제 56 기,9354846549,제 55 기,17115417346,제 54 기,25311311000,87,
51,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncome,기타포괄손익,-,제 56 기,5690654754,제 55 기,1292638657,제 54 기,1492849786,88,
52,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는 세후기타포괄손익,-,제 56 기,4377221742,제 55 기,-27842967,제 54 기,569017167,89,
53,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되는 세후기타포괄손익,-,제 56 기,1313433012,제 55 기,1320481624,제 54 기,923832619,97,
54,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_ComprehensiveIncome,총포괄손익,-,제 56 기,15045501303,제 55 기,18408056003,제 54 기,26804160786,112,
55,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),-,제 56 기,9354846549,제 55 기,17115417346,제 54 기,26314437096,114,
56,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),-,제 56 기,0,제 55 기,0,제 54 기,-1003126096,115,
57,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_ComprehensiveIncomeAttributableToOwnersOfParent,"포괄손익, 지배기업의 소유주에게 귀속되는 지분",-,제 56 기,15045501303,제 55 기,18408056003,제 54 기,27807286882,117,
58,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_ComprehensiveIncomeAttributableToNoncontrollingInterests,"포괄손익, 비지배지분",-,제 56 기,0,제 55 기,0,제 54 기,-1003126096,118,
59,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_BasicEarningsLossPerShare,기본주당이익(손실),-,제 56 기,951,제 55 기,1741,제 54 기,2793,120,
60,20160330000045,11011,2015,00135795,CIS,포괄손익계산서,ifrs_DilutedEarningsLossPerShare,희석주당이익(손실),-,제 56 기,951,제 55 기,1741,제 54 기,2793,123,
