,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 36 기,510398942169,제 35 기,383842608000,제 34 기,424130487081,1,
1,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 36 기,80819292125,제 35 기,94394634998,제 34 기,133113103870,2,
2,20160330001688,11011,2015,00159786,BS,재무상태표,-표준계정코드 미사용-,단기금융상품,-,제 36 기,51932425000,제 35 기,30137205000,제 34 기,25374090000,13,
3,20160330001688,11011,2015,00159786,BS,재무상태표,-표준계정코드 미사용-,당기손익인식금융자산,-,제 36 기,55488990485,제 35 기,3066426602,제 34 기,7005396000,14,
4,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 36 기,187516149327,제 35 기,155500200094,제 34 기,160922712966,15,
5,20160330001688,11011,2015,00159786,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 36 기,179105000,제 35 기,25530000,제 34 기,144440000,29,
6,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_Inventories,재고자산,-,제 36 기,114316382016,제 35 기,85223056775,제 34 기,83605634132,30,
7,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동금융자산,-,제 36 기,1453206412,제 35 기,540580230,제 34 기,567885820,47,
8,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_OtherCurrentNonfinancialAssets,기타유동비금융자산,-,제 36 기,18693391804,제 35 기,14954974301,제 34 기,12053230232,55,
9,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,-,제 36 기,,제 35 기,,제 34 기,1343994061,61,
10,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 36 기,526410076375,제 35 기,447665515489,제 34 기,456761863012,64,
11,20160330001688,11011,2015,00159786,BS,재무상태표,-표준계정코드 미사용-,장기금융상품,-,제 36 기,7500000,제 35 기,5500000,제 34 기,5500000,65,
12,20160330001688,11011,2015,00159786,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,-,제 36 기,150000000,제 35 기,150000000,제 34 기,150000000,66,
13,20160330001688,11011,2015,00159786,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 36 기,62557492500,제 35 기,26143200000,제 34 기,33038290310,80,
14,20160330001688,11011,2015,00159786,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 36 기,294655000,제 35 기,439680000,제 34 기,395070000,81,
15,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 36 기,438815578691,제 35 기,360417085327,제 34 기,360808404748,82,
16,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 36 기,1639197238,제 35 기,2234380492,제 34 기,2850626466,122,
17,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,-,제 36 기,21191468776,제 35 기,11571144187,제 34 기,11206189064,125,
18,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,관계기업투자,-,제 36 기,,제 35 기,43530958894,제 34 기,44837876836,144,
19,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타금융자산,-,제 36 기,784171066,제 35 기,1852993382,제 34 기,2019325153,152,
20,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_OtherNoncurrentNonfinancialAssets,기타비유동비금융자산,-,제 36 기,970013104,제 35 기,1320573207,제 34 기,1450580435,160,
21,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_Assets,자산총계,-,제 36 기,1036809018544,제 35 기,831508123489,제 34 기,880892350093,161,
22,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 36 기,328418899550,제 35 기,243745680926,제 34 기,244273764615,163,
23,20160330001688,11011,2015,00159786,BS,재무상태표,-표준계정코드 미사용-,당기손익인식금융부채,-,제 36 기,9136615,제 35 기,,제 34 기,,164,
24,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 36 기,57492962960,제 35 기,56630943437,제 34 기,60434042566,165,
25,20160330001688,11011,2015,00159786,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 36 기,247530386529,제 35 기,174747353438,제 34 기,169687550979,173,
26,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 36 기,19988361195,제 35 기,8827089012,제 34 기,12266387604,185,
27,20160330001688,11011,2015,00159786,BS,재무상태표,-표준계정코드 미사용-,충당부채,-,제 36 기,757621651,제 35 기,,제 34 기,,186,
28,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 36 기,,제 35 기,130773160,제 34 기,71022374,187,
29,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_OtherCurrentNonfinancialLiabilities,기타유동비금융부채,-,제 36 기,2640430600,제 35 기,3409521879,제 34 기,1814761092,188,
30,20160330001688,11011,2015,00159786,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 36 기,101202063327,제 35 기,58194944268,제 34 기,142306655327,190,
31,20160330001688,11011,2015,00159786,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 36 기,86815305452,제 35 기,37402006430,제 34 기,119322075118,191,
32,20160330001688,11011,2015,00159786,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여채무,-,제 36 기,1539710356,제 35 기,4632039102,제 34 기,4626778196,192,
