,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20160330004270,11011,2015,00171636,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 51 기,441634773000,제 50 기,1688645509000,제 49 기,706401272000,1,
1,20160330004270,11011,2015,00171636,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 51 기,58519139000,제 50 기,34691036000,제 49 기,44321980000,2,
2,20160330004270,11011,2015,00171636,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권,-,제 51 기,222416459000,제 50 기,160775608000,제 49 기,335584463000,14,
3,20160330004270,11011,2015,00171636,BS,재무상태표,ifrs_Inventories,재고자산,-,제 51 기,66782429000,제 50 기,61041844000,제 49 기,289680711000,28,
4,20160330004270,11011,2015,00171636,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 51 기,0,제 50 기,0,제 49 기,1000000000,46,
5,20160330004270,11011,2015,00171636,BS,재무상태표,-표준계정코드 미사용-,기타금융자산,-,제 51 기,37530608000,제 50 기,4608072000,제 49 기,19252321000,48,
6,20160330004270,11011,2015,00171636,BS,재무상태표,-표준계정코드 미사용-,미청구공사,-,제 51 기,39944437000,제 50 기,1312047000,제 49 기,3571986000,50,
7,20160330004270,11011,2015,00171636,BS,재무상태표,-표준계정코드 미사용-,당기법인세자산,-,제 51 기,378198000,제 50 기,2106685000,제 49 기,2395021000,51,
8,20160330004270,11011,2015,00171636,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동자산,-,제 51 기,16063503000,제 50 기,13855777000,제 49 기,10344790000,53,
9,20160330004270,11011,2015,00171636,BS,재무상태표,-표준계정코드 미사용-,매각예정자산,-,제 51 기,0,제 50 기,0,제 49 기,250000000,62,
10,20160330004270,11011,2015,00171636,BS,재무상태표,-표준계정코드 미사용-,소유주분배예정자산집단,-,제 51 기,0,제 50 기,1410254440000,제 49 기,0,63,
11,20160330004270,11011,2015,00171636,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 51 기,1532503741000,제 50 기,1289291538000,제 49 기,2254540367000,67,
12,20160330004270,11011,2015,00171636,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 51 기,75999888000,제 50 기,66088675000,제 49 기,71451612000,118,
13,20160330004270,11011,2015,00171636,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 51 기,0,제 50 기,0,제 49 기,3500000000,119,
14,20160330004270,11011,2015,00171636,BS,재무상태표,-표준계정코드 미사용-,기타금융자산,-,제 51 기,12275070000,제 50 기,8959297000,제 49 기,10112106000,120,
15,20160330004270,11011,2015,00171636,BS,재무상태표,-표준계정코드 미사용-,관계기업투자주식,-,제 51 기,136107386000,제 50 기,46663175000,제 49 기,47956935000,121,
16,20160330004270,11011,2015,00171636,BS,재무상태표,-표준계정코드 미사용-,공동기업투자주식,-,제 51 기,2851102000,제 50 기,0,제 49 기,0,122,
