,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 66 기,14228424000000,제 65 기,13441148000000,제 64 기,11042820000000,1,
1,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 66 기,1997405000000,제 65 기,2542381000000,제 64 기,1883560000000,2,
2,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,단기금융상품,-,제 66 기,1032308000000,제 65 기,284202000000,제 64 기,266240000000,3,
3,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권,-,제 66 기,2494795000000,제 65 기,1792310000000,제 64 기,1313236000000,4,
4,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,기타채권,-,제 66 기,1466410000000,제 65 기,1352875000000,제 64 기,1254828000000,5,
5,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,미청구공사,-,제 66 기,4163270000000,제 65 기,4889864000000,제 64 기,4042256000000,6,
6,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 66 기,64739000000,제 65 기,22550000000,제 64 기,22661000000,7,
7,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,파생상품자산,-,제 66 기,,제 65 기,11000000,제 64 기,4000000,8,
8,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_Inventories,재고자산,-,제 66 기,1328564000000,제 65 기,1336864000000,제 64 기,1285689000000,9,
9,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_CurrentTaxAssets,법인세자산,-,제 66 기,2196000000,제 65 기,4923000000,제 64 기,825000000,10,
10,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,기타유동자산,-,제 66 기,1674923000000,제 65 기,1215168000000,제 64 기,969317000000,11,
11,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,매각예정자산,-,제 66 기,3814000000,제 65 기,,제 64 기,4204000000,12,
12,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 66 기,5121679000000,제 65 기,4803452000000,제 64 기,3623681000000,13,
13,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,장기금융상품,-,제 66 기,101396000000,제 65 기,14372000000,제 64 기,54123000000,14,
14,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,장기미수채권,-,제 66 기,396554000000,제 65 기,372070000000,제 64 기,349296000000,15,
15,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,장기성기타채권,-,제 66 기,1003689000000,제 65 기,736272000000,제 64 기,567922000000,16,
16,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 66 기,429791000000,제 65 기,466564000000,제 64 기,408322000000,17,
17,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 66 기,45123000000,제 65 기,56457000000,제 64 기,72790000000,18,
18,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,공동기업및관계기업투자자산,-,제 66 기,107986000000,제 65 기,124004000000,제 64 기,128800000000,19,
19,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 66 기,165104000000,제 65 기,176414000000,제 64 기,64154000000,20,
20,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 66 기,1754185000000,제 65 기,1710644000000,제 64 기,1638221000000,21,
21,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,무형자산,-,제 66 기,857312000000,제 65 기,874253000000,제 64 기,84646000000,22,
22,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 66 기,135390000000,제 65 기,171190000000,제 64 기,193658000000,23,
23,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,기타비유동자산,-,제 66 기,125149000000,제 65 기,101212000000,제 64 기,61749000000,24,
24,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_Assets,자산총계,-,제 66 기,19350103000000,제 65 기,18244600000000,제 64 기,14666501000000,25,
25,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 66 기,8575299000000,제 65 기,8240763000000,제 64 기,6909209000000,27,
26,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무,-,제 66 기,2864954000000,제 65 기,2916720000000,제 64 기,2418312000000,28,
27,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,기타채무,-,제 66 기,1147083000000,제 65 기,985260000000,제 64 기,1032720000000,29,
28,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,공사및분양선수금,-,제 66 기,2508349000000,제 65 기,2305298000000,제 64 기,1755516000000,30,
29,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,초과청구공사,-,제 66 기,1482801000000,제 65 기,1160990000000,제 64 기,938329000000,31,
30,20170622000235,11011,2015,00164478,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 66 기,198536000000,제 65 기,275595000000,제 64 기,239094000000,32,
31,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기부채,-,제 66 기,238528000000,제 65 기,360945000000,제 64 기,413978000000,33,
32,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_CurrentTaxLiabilities,법인세부채,-,제 66 기,76462000000,제 65 기,14210000000,제 64 기,73051000000,35,
33,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타금융부채,-,제 66 기,15820000000,제 65 기,16338000000,제 64 기,17890000000,36,
34,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,기타유동부채,-,제 66 기,42766000000,제 65 기,205407000000,제 64 기,20319000000,37,
35,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 66 기,3384166000000,제 65 기,3216531000000,제 64 기,2623048000000,38,
36,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,장기성기타채무,-,제 66 기,524501000000,제 65 기,424072000000,제 64 기,335411000000,39,
37,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,사채,-,제 66 기,1735733000000,제 65 기,1346313000000,제 64 기,1047146000000,40,
38,20170622000235,11011,2015,00164478,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 66 기,459873000000,제 65 기,614570000000,제 64 기,601358000000,41,
39,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,파생상품부채,-,제 66 기,261000000,제 65 기,266000000,제 64 기,,42,
40,20170622000235,11011,2015,00164478,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여채무,-,제 66 기,168285000000,제 65 기,327158000000,제 64 기,221968000000,43,
41,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,장기종업원급여충당부채,-,제 66 기,9401000000,제 65 기,11601000000,제 64 기,11818000000,44,
42,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_NoncurrentProvisions,충당부채,-,제 66 기,387952000000,제 65 기,405840000000,제 64 기,351774000000,45,
43,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 66 기,2912000000,제 65 기,3721000000,제 64 기,3397000000,46,
44,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_OtherNoncurrentFinancialLiabilities,기타금융부채,-,제 66 기,70781000000,제 65 기,65800000000,제 64 기,37262000000,47,
45,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,기타비유동부채,-,제 66 기,24467000000,제 65 기,17190000000,제 64 기,12914000000,48,
46,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 66 기,11959465000000,제 65 기,11457294000000,제 64 기,9532257000000,49,
47,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업소유주지분,-,제 66 기,5720294000000,제 65 기,5291515000000,제 64 기,4822604000000,51,
48,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,자본금,-,제 66 기,557273000000,제 65 기,557273000000,제 64 기,557273000000,52,
49,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,기타불입자본,-,제 66 기,1035424000000,제 65 기,1024542000000,제 64 기,826320000000,53,
50,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,기타자본구성요소,-,제 66 기,40406000000,제 65 기,11366000000,제 64 기,-20520000000,54,
51,20170622000235,11011,2015,00164478,BS,재무상태표,-표준계정코드 미사용-,이익잉여금,-,제 66 기,4087191000000,제 65 기,3698334000000,제 64 기,3459531000000,55,
52,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_NoncontrollingInterests,비지배주주지분,-,제 66 기,1670344000000,제 65 기,1495791000000,제 64 기,311640000000,56,
53,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_Equity,자본총계,-,제 66 기,7390638000000,제 65 기,6787306000000,제 64 기,5134244000000,57,
54,20170622000235,11011,2015,00164478,BS,재무상태표,ifrs_EquityAndLiabilities,부채및자본총계,-,제 66 기,19350103000000,제 65 기,18244600000000,제 64 기,14666501000000,58,
55,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,ifrs_Revenue,매출액,-,제 66 기,19233180000000,제 65 기,17276480000000,제 64 기,13852042000000,0,
56,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,ifrs_CostOfSales,매출원가,-,제 66 기,17508138000000,제 65 기,15864906000000,제 64 기,12732365000000,1,
57,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,ifrs_GrossProfit,매출총이익,-,제 66 기,1725042000000,제 65 기,1411574000000,제 64 기,1119677000000,2,
58,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 66 기,635714000000,제 65 기,582379000000,제 64 기,415580000000,3,
59,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익,-,제 66 기,1089328000000,제 65 기,829195000000,제 64 기,704097000000,4,
60,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,-표준계정코드 미사용-,지분법이익,-,제 66 기,6853000000,제 65 기,4587000000,제 64 기,1544000000,5,
61,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,-표준계정코드 미사용-,지분법손실,-,제 66 기,6251000000,제 65 기,18308000000,제 64 기,14161000000,6,
62,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,ifrs_FinanceIncome,금융수익,-,제 66 기,205836000000,제 65 기,149038000000,제 64 기,154999000000,7,
63,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,ifrs_FinanceCosts,금융비용,-,제 66 기,251284000000,제 65 기,174483000000,제 64 기,146964000000,8,
64,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,dart_OtherGains,기타수익,-,제 66 기,251542000000,제 65 기,225902000000,제 64 기,166495000000,9,
65,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,dart_OtherLosses,기타비용,-,제 66 기,397887000000,제 65 기,342914000000,제 64 기,192811000000,10,
66,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익,-,제 66 기,898137000000,제 65 기,673017000000,제 64 기,673199000000,11,
67,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 66 기,234359000000,제 65 기,193677000000,제 64 기,173810000000,12,
68,20170622000235,11011,2015,00164478,CIS,포괄손익계산서,ifrs_ProfitLoss,당기순이익,-,제 66 기,663778000000,제 65 기,479340000000,제 64 기,499389000000,13,
