,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180710000623,11011,2015,00164830,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 42 기,27096467095000,제 41 기,29821547600000,제 40 기,29243516313000,1,
1,20180710000623,11011,2015,00164830,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 42 기,3068122574000,제 41 기,3229187501000,제 40 기,1326986534000,2,
2,20180710000623,11011,2015,00164830,BS,재무상태표,-표준계정코드 미사용-,단기금융자산,-,제 42 기,4627226992000,제 41 기,4742522625000,제 40 기,4692328819000,3,
3,20180710000623,11011,2015,00164830,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 42 기,5324603233000,제 41 기,5721168017000,제 40 기,7052837968000,4,
4,20180710000623,11011,2015,00164830,BS,재무상태표,-표준계정코드 미사용-,미청구공사,-,제 42 기,6599947481000,제 41 기,7154045476000,제 40 기,6675111932000,5,
5,20180710000623,11011,2015,00164830,BS,재무상태표,ifrs_Inventories,재고자산,-,제 42 기,4466387289000,제 41 기,5785367300000,제 40 기,6129287249000,6,
6,20180710000623,11011,2015,00164830,BS,재무상태표,-표준계정코드 미사용-,파생상품자산,-,제 42 기,41755610000,제 41 기,127428741000,제 40 기,512917626000,7,
7,20180710000623,11011,2015,00164830,BS,재무상태표,-표준계정코드 미사용-,확정계약자산,-,제 42 기,361396671000,제 41 기,102390560000,제 40 기,10463993000,8,
8,20180710000623,11011,2015,00164830,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 42 기,59476191000,제 41 기,63330607000,제 40 기,63571176000,9,
9,20180710000623,11011,2015,00164830,BS,재무상태표,-표준계정코드 미사용-,기타유동자산,-,제 42 기,2547551054000,제 41 기,2896106773000,제 40 기,2780011016000,10,
10,20180710000623,11011,2015,00164830,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 42 기,22372597897000,제 41 기,23292215340000,제 40 기,23838497371000,11,
11,20180710000623,11011,2015,00164830,BS,재무상태표,-표준계정코드 미사용-,관계기업 및 공동기업투자,-,제 42 기,379062830000,제 41 기,644478796000,제 40 기,716606653000,12,
12,20180710000623,11011,2015,00164830,BS,재무상태표,-표준계정코드 미사용-,장기금융자산,-,제 42 기,1189482706000,제 41 기,2496029851000,제 40 기,3322603688000,13,
13,20180710000623,11011,2015,00164830,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타채권,-,제 42 기,589021325000,제 41 기,930053530000,제 40 기,1088685374000,14,
14,20180710000623,11011,2015,00164830,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 42 기,347868346000,제 41 기,393474781000,제 40 기,433616630000,15,
