,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 48 기,67529210000000,제 47 기,65025684000000,제 46 기,58856105000000,1,
1,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 48 기,7331463000000,제 47 기,7096513000000,제 46 기,6872430000000,2,
2,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,단기금융상품,-,제 48 기,6904917000000,제 47 기,4002506000000,제 46 기,14875288000000,13,
3,20160330003641,11011,2015,00164742,BS,재무상태표,-표준계정코드 미사용-,기타금융자산,-,제 48 기,10334803000000,제 47 기,14884434000000,제 46 기,507821000000,21,
4,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권,-,제 48 기,4468351000000,제 47 기,3750092000000,제 46 기,3485345000000,22,
5,20160330003641,11011,2015,00164742,BS,재무상태표,-표준계정코드 미사용-,기타채권,-,제 48 기,3846104000000,제 47 기,3722109000000,제 46 기,3118386000000,36,
6,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_Inventories,재고자산,-,제 48 기,9198999000000,제 47 기,7417239000000,제 46 기,7073116000000,37,
7,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_OtherCurrentNonfinancialAssets,기타자산,-,제 48 기,1562631000000,제 47 기,1573695000000,제 46 기,1667936000000,54,
8,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 48 기,57022000000,제 47 기,32869000000,제 46 기,54845000000,55,
9,20160330003641,11011,2015,00164742,BS,재무상태표,-표준계정코드 미사용-,금융업채권,-,제 48 기,23777277000000,제 47 기,22498584000000,제 46 기,21178591000000,60,
10,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정비유동자산,-,제 48 기,47643000000,제 47 기,47643000000,제 46 기,22347000000,61,
11,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 48 기,97838736000000,제 47 기,82199433000000,제 46 기,74565374000000,64,
12,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,장기금융상품,-,제 48 기,71545000000,제 47 기,99044000000,제 46 기,35495000000,65,
13,20160330003641,11011,2015,00164742,BS,재무상태표,-표준계정코드 미사용-,기타금융자산,-,제 48 기,2804842000000,제 47 기,2520119000000,제 46 기,2731884000000,73,
14,20160330003641,11011,2015,00164742,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기성매출채권,-,제 48 기,67591000000,제 47 기,51534000000,제 46 기,43309000000,74,
15,20160330003641,11011,2015,00164742,BS,재무상태표,dart_NonCurrentReceivablesGross,기타채권,-,제 48 기,1163566000000,제 47 기,1039157000000,제 46 기,1127839000000,88,
16,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_OtherNoncurrentNonfinancialAssets,기타자산,-,제 48 기,489348000000,제 47 기,234653000000,제 46 기,154900000000,89,
17,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 48 기,28698927000000,제 47 기,22542259000000,제 46 기,21462587000000,90,
18,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 48 기,291424000000,제 47 기,322207000000,제 46 기,263984000000,130,
19,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 48 기,4298088000000,제 47 기,3821656000000,제 46 기,3129090000000,133,
20,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,공동기업 및 관계기업투자,-,제 48 기,16909943000000,제 47 기,16157334000000,제 46 기,14694995000000,152,
21,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 48 기,764733000000,제 47 기,649850000000,제 46 기,521399000000,158,
22,20160330003641,11011,2015,00164742,BS,재무상태표,-표준계정코드 미사용-,금융업채권,-,제 48 기,24559123000000,제 47 기,21496004000000,제 46 기,19835016000000,159,
23,20160330003641,11011,2015,00164742,BS,재무상태표,-표준계정코드 미사용-,운용리스자산,-,제 48 기,17719606000000,제 47 기,13265616000000,제 46 기,10564876000000,160,
24,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_Assets,자산총계,-,제 48 기,165367946000000,제 47 기,147225117000000,제 46 기,133421479000000,161,
25,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 48 기,41213520000000,제 47 기,35179673000000,제 46 기,31919682000000,163,
26,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무,-,제 48 기,7081124000000,제 47 기,7041529000000,제 46 기,6722740000000,164,
27,20160330003641,11011,2015,00164742,BS,재무상태표,-표준계정코드 미사용-,미지급금,-,제 48 기,4711494000000,제 47 기,4686473000000,제 46 기,4687490000000,172,
28,20160330003641,11011,2015,00164742,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 48 기,9384165000000,제 47 기,6845920000000,제 46 기,5292798000000,173,
29,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기부채,-,제 48 기,10788049000000,제 47 기,9679498000000,제 46 기,8685254000000,174,
30,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 48 기,1000763000000,제 47 기,656201000000,제 46 기,605280000000,175,
31,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 48 기,1710342000000,제 47 기,1844780000000,제 46 기,1782937000000,176,
32,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타금융부채,-,제 48 기,675437000000,제 47 기,223303000000,제 46 기,144069000000,185,
33,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_OtherCurrentNonfinancialLiabilities,기타부채,-,제 48 기,5862146000000,제 47 기,4201969000000,제 46 기,3999114000000,187,
34,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 48 기,57273025000000,제 47 기,49424879000000,제 46 기,44919008000000,189,
35,20160330003641,11011,2015,00164742,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기성미지급금,-,제 48 기,2054000000,제 47 기,2339000000,제 46 기,15964000000,190,
36,20160330003641,11011,2015,00164742,BS,재무상태표,-표준계정코드 미사용-,사채,-,제 48 기,36207504000000,제 47 기,30302085000000,제 46 기,29322780000000,201,
37,20160330003641,11011,2015,00164742,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 48 기,8552622000000,제 47 기,7430429000000,제 46 기,4666030000000,202,
38,20160330003641,11011,2015,00164742,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 48 기,604433000000,제 47 기,594058000000,제 46 기,389306000000,203,
39,20160330003641,11011,2015,00164742,BS,재무상태표,ifrs_NoncurrentProvisions,충당부채,-,제 48 기,5031558000000,제 47 기,4882090000000,제 46 기,5122982000000,206,
