,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 51 기,6666847614070,제 50 기,6120637512290,제 49 기,6363352269126,1,
1,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 51 기,820293377680,제 50 기,695483722766,제 49 기,765366312850,2,
2,20160330003681,11011,2015,00145880,BS,재무상태표,-표준계정코드 미사용-,단기금융상품,-,제 51 기,188951393609,제 50 기,180376679213,제 49 기,142414632534,13,
3,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 51 기,2249012150413,제 50 기,2165675060100,제 49 기,2168656464870,14,
4,20160330003681,11011,2015,00145880,BS,재무상태표,-표준계정코드 미사용-,미수법인세,-,제 51 기,7826134909,제 50 기,,제 49 기,,28,
5,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_Inventories,재고자산,-,제 51 기,3287218827476,제 50 기,2953972759040,제 49 기,3199561765724,29,
6,20160330003681,11011,2015,00145880,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 51 기,,제 50 기,,제 49 기,300000000,46,
7,20160330003681,11011,2015,00145880,BS,재무상태표,-표준계정코드 미사용-,파생금융자산,-,제 51 기,13102025933,제 50 기,,제 49 기,1682970329,47,
8,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 51 기,11155109690,제 50 기,10239054061,제 49 기,11105257115,48,
9,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_OtherCurrentNonfinancialAssets,기타유동자산,-,제 51 기,89288594360,제 50 기,110890237110,제 49 기,70264865704,61,
10,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정자산,-,제 51 기,,제 50 기,4000000000,제 49 기,4000000000,62,
11,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 51 기,25269585923391,제 50 기,22813161889858,제 49 기,23156923100653,65,
12,20160330003681,11011,2015,00145880,BS,재무상태표,-표준계정코드 미사용-,장기성매출채권및기타채권,-,제 51 기,8770152807,제 50 기,678280455,제 49 기,853829854,80,
13,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,매도가능금융자산,-,제 51 기,1450944101872,제 50 기,1391086795524,제 49 기,1706492662467,81,
14,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,관계기업투자주식,-,제 51 기,116252881797,제 50 기,115567455953,제 49 기,112607585930,89,
15,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 51 기,218603025027,제 50 기,219547800590,제 49 기,220678719719,90,
16,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 51 기,21410717552774,제 50 기,19572284839279,제 49 기,19604846695666,91,
17,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 51 기,1852604842964,제 50 기,1341026934109,제 49 기,1350320926075,133,
18,20160330003681,11011,2015,00145880,BS,재무상태표,-표준계정코드 미사용-,파생금융자산,-,제 51 기,6701054854,제 50 기,179795443,제 49 기,1358229130,155,
19,20160330003681,11011,2015,00145880,BS,재무상태표,-표준계정코드 미사용-,기타금융자산,-,제 51 기,160784922645,제 50 기,163058581621,제 49 기,148768573685,157,
20,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 51 기,20050477048,제 50 기,8936135910,제 49 기,10220732267,159,
21,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_OtherNoncurrentNonfinancialAssets,기타비유동자산,-,제 51 기,24156911603,제 50 기,795270974,제 49 기,775145860,161,
22,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_Assets,자산총계,-,제 51 기,31936433537461,제 50 기,28933799402148,제 49 기,29520275369779,162,
23,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 51 기,6657440588526,제 50 기,5885585483280,제 49 기,6496105588338,164,
24,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타채무,-,제 51 기,2458879019012,제 50 기,1878044862366,제 49 기,2251456695411,174,
25,20160330003681,11011,2015,00145880,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 51 기,1893484852382,제 50 기,1866156485598,제 49 기,2711511891207,182,
26,20160330003681,11011,2015,00145880,BS,재무상태표,-표준계정코드 미사용-,유동성사채,-,제 51 기,1400372814106,제 50 기,939428697679,제 49 기,679773261422,183,
27,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 51 기,653378892365,제 50 기,901396915873,제 49 기,608711762009,184,
28,20160330003681,11011,2015,00145880,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 51 기,116558353459,제 50 기,155714100593,제 49 기,118129366261,185,
29,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,파생금융부채,-,제 51 기,2462403736,제 50 기,3547937388,제 49 기,2294195585,187,
30,20160330003681,11011,2015,00145880,BS,재무상태표,-표준계정코드 미사용-,기타금융부채,-,제 51 기,363400000,제 50 기,,제 49 기,,188,
31,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_OtherCurrentNonfinancialLiabilities,기타유동부채,-,제 51 기,131940853466,제 50 기,141296483783,제 49 기,124228416443,189,
32,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 51 기,9758994346807,제 50 기,9233426347053,제 49 기,9659486605235,191,
33,20160330003681,11011,2015,00145880,BS,재무상태표,-표준계정코드 미사용-,사채,-,제 51 기,4579221197078,제 50 기,4591033769870,제 49 기,4675355030611,212,
34,20160330003681,11011,2015,00145880,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 51 기,4409825463846,제 50 기,3951602154045,제 49 기,4311920195317,214,
35,20160330003681,11011,2015,00145880,BS,재무상태표,-표준계정코드 미사용-,파생금융부채,-,제 51 기,15171928432,제 50 기,10863741027,제 49 기,11309028542,215,
36,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_OtherNoncurrentFinancialLiabilities,기타금융부채,-,제 51 기,1079963151,제 50 기,1969126768,제 49 기,2224749205,216,
37,20160330003681,11011,2015,00145880,BS,재무상태표,dart_PostemploymentBenefitObligations,확정급여채무,-,제 51 기,95944442610,제 50 기,78086550340,제 49 기,45924124378,217,
38,20160330003681,11011,2015,00145880,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 51 기,601066165970,제 50 기,555479831666,제 49 기,589539756015,221,
