,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 43 기,2901087774203,제 42 기,2745925195320,제 41 기,2780360615456,1,
1,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 43 기,2079058179469,제 42 기,2213109359801,제 41 기,2196917492846,2,
2,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 43 기,145841234546,제 42 기,174745527563,제 41 기,119417274476,3,
3,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 43 기,107653240906,제 42 기,110656627951,제 41 기,115060415245,4,
4,20160516001145,11011,2015,00139889,BS,재무상태표,-표준계정코드 미사용-,장기금융상품,-,제 43 기,3454100000,제 42 기,5456600000,제 41 기,68500000,5,
5,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,관계기업투자및공동기업,-,제 43 기,507652716518,제 42 기,174764500278,제 41 기,245160259968,6,
6,20160516001145,11011,2015,00139889,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 43 기,11101117854,제 42 기,10233794931,제 41 기,26238231850,7,
7,20160516001145,11011,2015,00139889,BS,재무상태표,-표준계정코드 미사용-,장기매출채권,-,제 43 기,,제 42 기,,제 41 기,52323163,8,
8,20160516001145,11011,2015,00139889,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기기타채권,-,제 43 기,32950002069,제 42 기,36816020841,제 41 기,31320904784,9,
9,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 43 기,10479073268,제 42 기,15489246218,제 41 기,24516314620,10,
10,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_OtherNoncurrentNonfinancialAssets,기타비유동자산,-,제 43 기,2898109573,제 42 기,4653517737,제 41 기,21608898504,11,
11,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 43 기,787109119558,제 42 기,940825884033,제 41 기,805439067899,12,
12,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정자산,-,제 43 기,,제 42 기,184110830559,제 41 기,,13,
13,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권,-,제 43 기,388610173007,제 42 기,298797180723,제 41 기,381609582441,14,
14,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타채권,-,제 43 기,14962291079,제 42 기,19860681274,제 41 기,15797068084,15,
15,20160516001145,11011,2015,00139889,BS,재무상태표,-표준계정코드 미사용-,파생금융자산,-,제 43 기,151882510,제 42 기,318871652,제 41 기,118403214,16,
16,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_OtherCurrentNonfinancialAssets,기타유동자산,-,제 43 기,45295502236,제 42 기,54637846450,제 41 기,44482640204,17,
17,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_Inventories,재고자산,-,제 43 기,283755027574,제 42 기,325590805040,제 41 기,324533616136,18,
18,20160516001145,11011,2015,00139889,BS,재무상태표,-표준계정코드 미사용-,단기금융상품,-,제 43 기,15310197142,제 42 기,4936670579,제 41 기,16050064835,19,
19,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 43 기,38530264133,제 42 기,51630689113,제 41 기,22592419883,20,
20,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 43 기,493781877,제 42 기,942308643,제 41 기,255273102,21,
21,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_Assets,자산총계,-,제 43 기,3688196893761,제 42 기,3686751079353,제 41 기,3585799683355,22,
22,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업소유주지분,-,제 43 기,1443910753077,제 42 기,1217315486739,제 41 기,1182985787430,24,
23,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 43 기,112393316717,제 42 기,83689576701,제 41 기,22468338554,25,
24,20160516001145,11011,2015,00139889,BS,재무상태표,dart_ContributedEquity,납입자본,-,제 43 기,183985740000,제 42 기,181737565000,제 41 기,181075315000,26,
25,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금(결손금),-,제 43 기,1129634543419,제 42 기,884147071106,제 41 기,851401286744,27,
26,20160516001145,11011,2015,00139889,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 43 기,130290469658,제 42 기,151430850633,제 41 기,150509185686,28,
27,20160516001145,11011,2015,00139889,BS,재무상태표,dart_OtherCapitalSurplus,기타자본잉여금,-,제 43 기,125541831219,제 42 기,157136308779,제 41 기,154534338944,29,
28,20160516001145,11011,2015,00139889,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 43 기,6543525946,제 42 기,-3910570639,제 41 기,-2230265751,30,
29,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_TreasuryShares,자기주식,-,제 43 기,1794887507,제 42 기,1794887507,제 41 기,1794887507,31,
30,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_Equity,자본총계,-,제 43 기,1556304069794,제 42 기,1301005063440,제 41 기,1205454125984,32,
31,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 43 기,1075502717874,제 42 기,1053167468548,제 41 기,1243792956212,34,
32,20160516001145,11011,2015,00139889,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,기타장기채무,-,제 43 기,58959967047,제 42 기,68880329635,제 41 기,51378952504,35,
33,20160516001145,11011,2015,00139889,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금및사채,-,제 43 기,879889459119,제 42 기,891790053793,제 41 기,1102774757260,36,
34,20160516001145,11011,2015,00139889,BS,재무상태표,dart_PostemploymentBenefitObligations,확정급여부채,-,제 43 기,29382364396,제 42 기,39763120712,제 41 기,30189942640,37,
35,20160516001145,11011,2015,00139889,BS,재무상태표,-표준계정코드 미사용-,파생금융부채,-,제 43 기,363316383,제 42 기,1323731303,제 41 기,2883734204,38,
36,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 43 기,102563708677,제 42 기,47326151149,제 41 기,51453366984,39,
37,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_OtherNoncurrentNonfinancialLiabilities,기타비유동부채,-,제 43 기,4343902252,제 42 기,4084081956,제 41 기,5112202620,40,
38,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 43 기,1056390106093,제 42 기,1332578547365,제 41 기,1136552601159,41,
39,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,매각예정부채,-,제 43 기,,제 42 기,30719070765,제 41 기,,42,
40,20160516001145,11011,2015,00139889,BS,재무상태표,-표준계정코드 미사용-,매입채무,-,제 43 기,237000628418,제 42 기,289856865787,제 41 기,393284284147,43,
41,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,기타채무,-,제 43 기,112384339729,제 42 기,154768843012,제 41 기,114419915528,44,
42,20160516001145,11011,2015,00139889,BS,재무상태표,dart_ShortTermBorrowings,단기차입금및유동성장기부채,-,제 43 기,662560349418,제 42 기,817833714928,제 41 기,606558550220,45,
43,20160516001145,11011,2015,00139889,BS,재무상태표,-표준계정코드 미사용-,파생금융부채,-,제 43 기,177109527,제 42 기,1530971302,제 41 기,364989353,46,
44,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 43 기,37775379863,제 42 기,21201521373,제 41 기,10314631580,47,
45,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_OtherCurrentNonfinancialLiabilities,기타유동부채,-,제 43 기,6133951611,제 42 기,16086323907,제 41 기,11082789175,48,
46,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 43 기,358347527,제 42 기,581236291,제 41 기,527441156,49,
47,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 43 기,2131892823967,제 42 기,2385746015913,제 41 기,2380345557371,50,
48,20160516001145,11011,2015,00139889,BS,재무상태표,ifrs_EquityAndLiabilities,자본및부채총계,-,제 43 기,3688196893761,제 42 기,3686751079353,제 41 기,3585799683355,51,
49,20160516001145,11011,2015,00139889,CIS,포괄손익계산서,ifrs_Revenue,매출액,-,제 43 기,2564762025032,제 42 기,2802235022211,제 41 기,2641403172466,0,
50,20160516001145,11011,2015,00139889,CIS,포괄손익계산서,ifrs_CostOfSales,매출원가,-,제 43 기,2065206392306,제 42 기,2361291546953,제 41 기,2231552661197,1,
51,20160516001145,11011,2015,00139889,CIS,포괄손익계산서,ifrs_GrossProfit,매출총이익,-,제 43 기,499555632726,제 42 기,440943475258,제 41 기,409850511269,2,
52,20160516001145,11011,2015,00139889,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 43 기,281497667713,제 42 기,288565523925,제 41 기,285847831399,3,
53,20160516001145,11011,2015,00139889,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익,-,제 43 기,218057965013,제 42 기,152377951333,제 41 기,124002679870,4,
54,20160516001145,11011,2015,00139889,CIS,포괄손익계산서,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,-,제 43 기,-12621151594,제 42 기,-6074883322,제 41 기,7422697823,5,
