,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 49 기,3775012094293,제 48 기,4556878544955,제 47 기,4266179916186,1,
1,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 49 기,695733686359,제 48 기,388042972603,제 47 기,263784127702,46,
2,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,단기금융상품,-,제 49 기,113629475999,제 48 기,174727968019,제 47 기,107032822661,60,
3,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,매출채권,-,제 49 기,736242797999,제 48 기,985268088880,제 47 기,1081282819051,61,
4,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,미청구공사,-,제 49 기,1519621930836,제 48 기,2320968527339,제 47 기,2131201647144,62,
5,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,미수금,-,제 49 기,118405880459,제 48 기,58460199172,제 47 기,66743457180,63,
6,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,단기매매금융자산,-,제 49 기,0,제 48 기,20000000000,제 47 기,,64,
7,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,유동성만기보유금융자산,-,제 49 기,4189970152,제 48 기,262635000,제 47 기,954830000,65,
8,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,통화선도,-,제 49 기,2639430424,제 48 기,4069420764,제 47 기,20611160285,66,
9,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,확정계약자산,-,제 49 기,53734327138,제 48 기,51660719020,제 47 기,18052230876,67,
10,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,선급금,-,제 49 기,360971097573,제 48 기,372294438849,제 47 기,379919128147,68,
11,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,선급비용,-,제 49 기,97258211044,제 48 기,150089001011,제 47 기,163590579389,69,
12,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,선급공사비,-,제 49 기,24062865754,제 48 기,9253106689,제 47 기,11429807447,70,
13,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_CurrentTaxAssets,미수법인세환급액,-,제 49 기,4689295804,제 48 기,2703823516,제 47 기,9346556988,71,
14,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,단기대여금,-,제 49 기,12180790276,제 48 기,6194345994,제 47 기,1117783554,72,
15,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,기타유동자산,-,제 49 기,31652334476,제 48 기,12883298099,제 47 기,11112965762,73,
16,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 49 기,1855746424315,제 48 기,1594987691065,제 47 기,1662595957119,75,
17,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 49 기,45737699114,제 48 기,54714232095,제 47 기,73215152580,90,
18,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 49 기,465830000,제 48 기,3939815648,제 47 기,3646052193,91,
19,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,통화선도,-,제 49 기,7294091702,제 48 기,816501926,제 47 기,1367535050,93,
20,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,확정계약자산,-,제 49 기,15308935,제 48 기,2110140401,제 47 기,1906614,94,
21,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,관계기업투자 및 공동기업 투자,-,제 49 기,23027777823,제 48 기,15830955710,제 47 기,19679454155,95,
22,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 49 기,686541360254,제 48 기,689919595380,제 47 기,715354363231,96,
23,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 49 기,50260624515,제 48 기,59243116477,제 47 기,52465395682,138,
24,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,보증금,-,제 49 기,261526162899,제 48 기,254270938865,제 47 기,423805236014,171,
25,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,장기선급비용,-,제 49 기,3744126972,제 48 기,6358938906,제 47 기,8261714492,172,
26,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 49 기,669999216631,제 48 기,393729082704,제 47 기,344181766767,173,
27,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_OtherNoncurrentNonfinancialAssets,기타비유동자산,-,제 49 기,107134225470,제 48 기,114054372953,제 47 기,20617380341,174,
28,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,자산총계,-,제 49 기,5630758518608,제 48 기,6151866236020,제 47 기,5928775873305,175,
29,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 49 기,4783755868989,제 48 기,4722098400622,제 47 기,4277404929254,177,
30,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타부채,-,제 49 기,1462971661020,제 48 기,1781349560814,제 47 기,1696538774176,187,
31,20160330003671,11011,2015,00126308,BS,재무상태표,dart_ShortTermBorrowings,단기차입금 및 기타금융부채,-,제 49 기,1514078100837,제 48 기,1319050863952,제 47 기,1165088072909,197,
32,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 49 기,451225000000,제 48 기,,제 47 기,,198,
33,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,초과청구공사,-,제 49 기,1170682014795,제 48 기,1399504284701,제 47 기,1249605902713,200,
34,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,통화선도,-,제 49 기,24297390984,제 48 기,34501327941,제 47 기,15533321981,201,
35,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,확정계약부채,-,제 49 기,24566940388,제 48 기,19479761398,제 47 기,26039999754,202,
36,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,예수금,-,제 49 기,52505937553,제 48 기,53231338216,제 47 기,53391356260,203,
37,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,미지급비용,-,제 49 기,54413114516,제 48 기,47094199860,제 47 기,44279457727,204,
38,20160330003671,11011,2015,00126308,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 49 기,14806328119,제 48 기,59300263737,제 47 기,21763728213,205,
39,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,기타유동부채,-,제 49 기,14209380777,제 48 기,8586800003,제 47 기,5164315521,207,
40,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 49 기,1159937642746,제 48 기,476423748631,제 47 기,745712430198,208,
41,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,사채,-,제 49 기,10000000,제 48 기,10000000,제 47 기,,221,
42,20160330003671,11011,2015,00126308,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 49 기,856748750019,제 48 기,219690000018,제 47 기,422070000017,222,
43,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,통화선도,-,제 49 기,3984060317,제 48 기,5718034750,제 47 기,2320252610,224,
44,20160330003671,11011,2015,00126308,BS,재무상태표,-표준계정코드 미사용-,확정계약부채,-,제 49 기,,제 48 기,948628738,제 47 기,1280574974,225,
45,20160330003671,11011,2015,00126308,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 49 기,76036007156,제 48 기,46037227226,제 47 기,72572759340,226,
46,20160330003671,11011,2015,00126308,BS,재무상태표,ifrs_NoncurrentProvisions,충당부채,-,제 49 기,5165163876,제 48 기,6901146556,제 47 기,12217773962,229,
