,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_CurrentAssets,Ⅰ.유동자산,-,제 46 기,748256761463,제 45 기,482627833915,제 44 기,691639124988,1,
1,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_CashAndCashEquivalents,1)현금및현금성자산,-,제 46 기,44011633396,제 45 기,65277510529,제 44 기,104339007042,2,
2,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,2)매출채권및기타채권,-,제 46 기,507482649782,제 45 기,261726406156,제 44 기,379670724554,13,
3,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,3)기타유동금융자산,-,제 46 기,445280000,제 45 기,10000000000,제 44 기,56483150280,27,
4,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_OtherCurrentNonfinancialAssets,4)기타유동자산,-,제 46 기,40962532554,제 45 기,29292868652,제 44 기,29288092664,35,
5,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_Inventories,5)재고자산,-,제 46 기,154453164871,제 45 기,116300422468,제 44 기,121833040838,36,
6,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_CurrentTaxAssets,6)당기법인세자산,-,제 46 기,901500860,제 45 기,30626110,제 44 기,25109610,53,
7,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_NoncurrentAssets,Ⅱ.비유동자산,-,제 46 기,3973104895458,제 45 기,4252877938392,제 44 기,2228449592500,61,
8,20170330001704,11011,2016,00140177,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,1)장기매출채권및기타채권,-,제 46 기,732666868817,제 45 기,638751343969,제 44 기,554624389099,62,
9,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,2)기타비유동금융자산,-,제 46 기,42518908874,제 45 기,14629724913,제 44 기,14074220676,76,
10,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,3)공동기업및관계기업투자,-,제 46 기,13657293314,제 45 기,22072336664,제 44 기,11794027231,84,
11,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_PropertyPlantAndEquipment,4)유형자산,-,제 46 기,2282397656037,제 45 기,2095274064678,제 44 기,748821179702,85,
12,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_InvestmentProperty,5)투자부동산,-,제 46 기,594142829409,제 45 기,1184249626335,제 44 기,648764094916,125,
13,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,6)무형자산,-,제 46 기,155250753200,제 45 기,163245521600,제 44 기,149062009318,128,
14,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_OtherNoncurrentNonfinancialAssets,7)기타비유동자산,-,제 46 기,152388267101,제 45 기,134563648849,제 44 기,101276923032,150,
15,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_DeferredTaxAssets,8)이연법인세자산,-,제 46 기,82318706,제 45 기,91671384,제 44 기,32748526,154,
16,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_Assets,자산총계,-,제 46 기,4721361656921,제 45 기,4735505772307,제 44 기,2920088717488,155,
17,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_CurrentLiabilities,Ⅰ.유동부채,-,제 46 기,1218576666236,제 45 기,875687409973,제 44 기,545076201166,157,
18,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,1)매입채무및기타채무,-,제 46 기,815589622583,제 45 기,632607865065,제 44 기,409970708677,167,
19,20170330001704,11011,2016,00140177,BS,재무상태표,dart_ShortTermBorrowings,2)차입금및사채,-,제 46 기,243005156031,제 45 기,173445405592,제 44 기,99989858650,175,
20,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,3)기타유동금융부채,-,제 46 기,0,제 45 기,0,제 44 기,178921359,176,
21,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_OtherCurrentNonfinancialLiabilities,4)기타유동부채,-,제 46 기,61582099660,제 45 기,32700924027,제 44 기,20720180682,177,
22,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_CurrentTaxLiabilities,5)당기법인세부채,-,제 46 기,98399787962,제 45 기,36933215289,제 44 기,14216531798,180,
23,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_NoncurrentLiabilities,Ⅱ.비유동부채,-,제 46 기,1145260160825,제 45 기,1700791079491,제 44 기,693467251420,182,
24,20170330001704,11011,2016,00140177,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,1)장기매입채무및기타채무,-,제 46 기,206401844741,제 45 기,286488991003,제 44 기,202443785942,183,
25,20170330001704,11011,2016,00140177,BS,재무상태표,dart_LongTermBorrowingsGross,2)장기차입금및사채,-,제 46 기,575739299693,제 45 기,1023085538986,제 44 기,400125413184,194,
26,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_OtherNoncurrentFinancialLiabilities,3)기타비유동금융부채,-,제 46 기,223948502,제 45 기,323707021,제 44 기,,195,
27,20170330001704,11011,2016,00140177,BS,재무상태표,-표준계정코드 미사용-,4)기타비유동부채,-,제 46 기,40501548960,제 45 기,42462741333,제 44 기,31934186826,196,
28,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_DeferredTaxLiabilities,5)이연법인세부채,-,제 46 기,299048120841,제 45 기,329106107152,제 44 기,35995579448,197,
29,20170330001704,11011,2016,00140177,BS,재무상태표,dart_PostemploymentBenefitObligations,6)순확정급여부채,-,제 46 기,20957532626,제 45 기,17182220451,제 44 기,21552787478,198,
30,20170330001704,11011,2016,00140177,BS,재무상태표,ifrs_NoncurrentProvisions,7)비유동충당부채,-,제 46 기,2387865462,제 45 기,2141773545,제 44 기,1415498542,201,
