,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 73 기,20912221000000,제 72 기,18390784000000,제 71 기,16655401000000,1,
1,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 73 기,3064191000000,제 72 기,1104928000000,제 71 기,2478470000000,2,
2,20170331005108,11011,2016,00106641,BS,재무상태표,-표준계정코드 미사용-,단기금융상품,-,제 73 기,3482272000000,제 72 기,2875137000000,제 71 기,3458889000000,13,
3,20170331005108,11011,2016,00106641,BS,재무상태표,-표준계정코드 미사용-,단기매도가능금융자산,-,제 73 기,1806374000000,제 72 기,2872653000000,제 71 기,1176362000000,14,
4,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권,-,제 73 기,2402540000000,제 72 기,2388911000000,제 71 기,2419265000000,15,
5,20170331005108,11011,2016,00106641,BS,재무상태표,-표준계정코드 미사용-,미수금,-,제 73 기,762172000000,제 72 기,696593000000,제 71 기,514366000000,29,
6,20170331005108,11011,2016,00106641,BS,재무상태표,-표준계정코드 미사용-,선급금,-,제 73 기,51699000000,제 72 기,26387000000,제 71 기,23099000000,30,
7,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 73 기,107864000000,제 72 기,250169000000,제 71 기,123312000000,31,
8,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_Inventories,재고자산,-,제 73 기,8854373000000,제 72 기,7695346000000,제 71 기,6080582000000,32,
9,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동자산,-,제 73 기,380736000000,제 72 기,319386000000,제 71 기,381056000000,53,
10,20170331005108,11011,2016,00106641,BS,재무상태표,-표준계정코드 미사용-,매각예정비유동자산,-,제 73 기,,제 72 기,161274000000,제 71 기,,62,
11,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 73 기,29977039000000,제 72 기,27589329000000,제 71 기,24388801000000,66,
12,20170331005108,11011,2016,00106641,BS,재무상태표,-표준계정코드 미사용-,장기금융상품,-,제 73 기,115576000000,제 72 기,93352000000,제 71 기,84349000000,67,
13,20170331005108,11011,2016,00106641,BS,재무상태표,-표준계정코드 미사용-,장기매도가능금융자산,-,제 73 기,509466000000,제 72 기,724356000000,제 71 기,1245287000000,68,
14,20170331005108,11011,2016,00106641,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기성매출채권,-,제 73 기,3803000000,제 72 기,3145000000,제 71 기,3836000000,69,
15,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,공동기업 및 관계기업투자,-,제 73 기,12658559000000,제 72 기,10971504000000,제 71 기,10470634000000,83,
16,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 73 기,13493203000000,제 72 기,13042121000000,제 71 기,10114317000000,84,
17,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 73 기,29714000000,제 72 기,53474000000,제 71 기,51249000000,124,
18,20170331005108,11011,2016,00106641,BS,재무상태표,dart_NonCurrentBiologicalAssetsGross,무형자산,-,제 73 기,2295308000000,제 72 기,2133785000000,제 71 기,1888828000000,146,
19,20170331005108,11011,2016,00106641,BS,재무상태표,-표준계정코드 미사용-,보증금,-,제 73 기,175467000000,제 72 기,171553000000,제 71 기,168929000000,150,
20,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동자산,-,제 73 기,275255000000,제 72 기,117460000000,제 71 기,112598000000,153,
21,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 73 기,420688000000,제 72 기,278579000000,제 71 기,248774000000,161,
22,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_Assets,자산총계,-,제 73 기,50889260000000,제 72 기,45980113000000,제 71 기,41044202000000,163,
23,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 73 기,16246900000000,제 72 기,14579485000000,제 71 기,11974338000000,165,
24,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무,-,제 73 기,6128049000000,제 72 기,5885651000000,제 71 기,5888191000000,166,
25,20170331005108,11011,2016,00106641,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 73 기,2876276000000,제 72 기,1512424000000,제 71 기,1389833000000,174,
26,20170331005108,11011,2016,00106641,BS,재무상태표,-표준계정코드 미사용-,미지급금,-,제 73 기,2376365000000,제 72 기,2653394000000,제 71 기,1959339000000,175,
27,20170331005108,11011,2016,00106641,BS,재무상태표,-표준계정코드 미사용-,선수금,-,제 73 기,676968000000,제 72 기,590686000000,제 71 기,121248000000,177,
28,20170331005108,11011,2016,00106641,BS,재무상태표,-표준계정코드 미사용-,미지급비용,-,제 73 기,1827634000000,제 72 기,1521078000000,제 71 기,1359185000000,179,
29,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 73 기,231431000000,제 72 기,400681000000,제 71 기,131074000000,180,
30,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,유동성장기부채,-,제 73 기,1255151000000,제 72 기,1268666000000,제 71 기,419097000000,181,
31,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 73 기,827474000000,제 72 기,698492000000,제 71 기,667654000000,182,
32,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_OtherCurrentNonfinancialLiabilities,기타유동부채,-,제 73 기,47552000000,제 72 기,48413000000,제 71 기,38717000000,191,
33,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 73 기,8062936000000,제 72 기,7196597000000,제 71 기,6585999000000,193,
34,20170331005108,11011,2016,00106641,BS,재무상태표,ifrs_NoncurrentProvisions,사채,-,제 73 기,1665407000000,제 72 기,927052000000,제 71 기,812363000000,194,
35,20170331005108,11011,2016,00106641,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 73 기,2271634000000,제 72 기,2604889000000,제 71 기,2069900000000,214,
36,20170331005108,11011,2016,00106641,BS,재무상태표,-표준계정코드 미사용-,장기선수금,-,제 73 기,88083000000,제 72 기,76747000000,제 71 기,47997000000,216,
