,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 43 기,325694439632,제 42 기,325024566940,제 41 기,348676738232,1,
1,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 43 기,35729028110,제 42 기,37571978632,제 41 기,76372607773,2,
2,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,단기금융상품,-,제 43 기,237828941365,제 42 기,223203605046,제 41 기,202191481966,3,
3,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,단기매매금융자산,-,제 43 기,10081883102,제 42 기,10888635143,제 41 기,5469836250,4,
4,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권,-,제 43 기,22952838997,제 42 기,23498374910,제 41 기,38717765332,5,
5,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,미수금,-,제 43 기,1750496810,제 42 기,2022200673,제 41 기,6201446142,6,
6,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,미수수익,-,제 43 기,1721036175,제 42 기,2376933771,제 41 기,2428002409,7,
7,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,선급금,-,제 43 기,207805200,제 42 기,92220880,제 41 기,354997715,8,
8,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,선급비용,-,제 43 기,142775824,제 42 기,85245050,제 41 기,89789744,9,
9,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_Inventories,재고자산,-,제 43 기,15279634049,제 42 기,18373525635,제 41 기,16850810901,10,
10,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정비유동자산,-,제 43 기,,제 42 기,6911847200,제 41 기,,11,
11,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 43 기,107426815009,제 42 기,104242400982,제 41 기,80734465887,12,
12,20200724000008,11011,2016,00151128,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기성미수금,-,제 43 기,2550363125,제 42 기,3244447447,제 41 기,,13,
13,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,매도가능금융자산,-,제 43 기,1676284260,제 42 기,1648031600,제 41 기,1807477080,14,
14,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 43 기,96600815343,제 42 기,94119766879,제 41 기,73559341908,15,
15,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 43 기,1373012581,제 42 기,1310601626,제 41 기,1397656778,16,
16,20200724000008,11011,2016,00151128,BS,재무상태표,dart_NonCurrentReceivablesGross,보증금,-,제 43 기,333340950,제 42 기,284470150,제 41 기,478166055,17,
17,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 43 기,4892998750,제 42 기,3635083280,제 41 기,3491824066,18,
18,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_Assets,자산총계,-,제 43 기,433121254641,제 42 기,429266967922,제 41 기,429411204119,19,
19,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 43 기,27249970557,제 42 기,27723449656,제 41 기,27977729762,21,
20,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무,-,제 43 기,15118004409,제 42 기,14961501696,제 41 기,16932339879,22,
21,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,미지급금,-,제 43 기,1553877287,제 42 기,2524798616,제 41 기,2230842684,23,
22,20200724000008,11011,2016,00151128,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 43 기,,제 42 기,535440000,제 41 기,1090917700,24,
23,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,예수금,-,제 43 기,324304238,제 42 기,384076743,제 41 기,458672288,25,
24,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,미지급비용,-,제 43 기,2480463484,제 42 기,3069555659,제 41 기,3401589029,26,
25,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,선수금,-,제 43 기,357731586,제 42 기,2134190622,제 41 기,599570458,27,
26,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 43 기,4362472589,제 42 기,920419092,제 41 기,889857130,28,
27,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_OtherCurrentNonfinancialLiabilities,선수수익,-,제 43 기,,제 42 기,8011312,제 41 기,30511790,29,
28,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,판매보증충당부채,-,제 43 기,3053116964,제 42 기,3185455916,제 41 기,2343428804,30,
29,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 43 기,14167215295,제 42 기,21933924272,제 41 기,26092750462,31,
30,20200724000008,11011,2016,00151128,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여채무,-,제 43 기,61057455,제 42 기,414954601,제 41 기,1514902620,32,
31,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_NoncurrentProvisions,판매보증충당부채,-,제 43 기,11063819636,제 42 기,13215503593,제 41 기,15843092934,33,
32,20200724000008,11011,2016,00151128,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,수입보증금,-,제 43 기,15000000,제 42 기,23000000,제 41 기,23000000,34,
33,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 43 기,3027338204,제 42 기,8280466078,제 41 기,8711754908,35,
34,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 43 기,41417185852,제 42 기,49657373928,제 41 기,54070480224,36,
35,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주지분,-,제 43 기,391704068789,제 42 기,379609593994,제 41 기,375340723895,38,
36,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,자본금,-,제 43 기,16500000000,제 42 기,16500000000,제 41 기,16500000000,39,
37,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,자본잉여금,-,제 43 기,35331327515,제 42 기,35331327515,제 41 기,35331327515,40,
38,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,자본조정,-,제 43 기,-15636113570,제 42 기,-12235077350,제 41 기,-12235077350,41,
39,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,기타포괄손익누계액,-,제 43 기,1502866803,제 42 기,1907908354,제 41 기,1648811761,42,
40,20200724000008,11011,2016,00151128,BS,재무상태표,-표준계정코드 미사용-,이익잉여금,-,제 43 기,354005988041,제 42 기,338105435475,제 41 기,334095661969,43,
41,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_Equity,자본총계,-,제 43 기,391704068789,제 42 기,379609593994,제 41 기,375340723895,45,
42,20200724000008,11011,2016,00151128,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 43 기,433121254641,제 42 기,429266967922,제 41 기,429411204119,46,
43,20200724000008,11011,2016,00151128,IS,손익계산서,ifrs_Revenue,매출액,-,제 43 기,195300520053,제 42 기,203254231332,제 41 기,217222222529,0,
44,20200724000008,11011,2016,00151128,IS,손익계산서,ifrs_CostOfSales,매출원가,-,제 43 기,178159017384,제 42 기,179003001077,제 41 기,186090251577,1,
45,20200724000008,11011,2016,00151128,IS,손익계산서,ifrs_GrossProfit,매출총이익,-,제 43 기,17141502669,제 42 기,24251230255,제 41 기,31131970952,2,
46,20200724000008,11011,2016,00151128,IS,손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 43 기,14772941496,제 42 기,17977484014,제 41 기,17586311515,3,
47,20200724000008,11011,2016,00151128,IS,손익계산서,dart_OperatingIncomeLoss,영업이익,-,제 43 기,2368561173,제 42 기,6273746241,제 41 기,13545659437,4,
48,20200724000008,11011,2016,00151128,IS,손익계산서,ifrs_FinanceIncome,금융수익,-,제 43 기,5036100116,제 42 기,7495089564,제 41 기,9778905559,5,
49,20200724000008,11011,2016,00151128,IS,손익계산서,ifrs_FinanceCosts,금융원가,-,제 43 기,1289735309,제 42 기,1482793533,제 41 기,1349510058,6,
50,20200724000008,11011,2016,00151128,IS,손익계산서,dart_OtherGains,기타수익,-,제 43 기,15888644458,제 42 기,1532031946,제 41 기,1545400225,7,
51,20200724000008,11011,2016,00151128,IS,손익계산서,dart_OtherLosses,기타비용,-,제 43 기,998624519,제 42 기,2442081834,제 41 기,901505044,8,
52,20200724000008,11011,2016,00151128,IS,손익계산서,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익,-,제 43 기,21004945919,제 42 기,11375992384,제 41 기,22618950119,9,
53,20200724000008,11011,2016,00151128,IS,손익계산서,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용(수익),-,제 43 기,-743627751,제 42 기,2155600497,제 41 기,5115874012,10,
54,20200724000008,11011,2016,00151128,IS,손익계산서,ifrs_ProfitLoss,당기순이익,-,제 43 기,21748573670,제 42 기,9220391887,제 41 기,17503076107,11,
55,20200724000008,11011,2016,00151128,IS,손익계산서,ifrs_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분,-,제 43 기,21748573670,제 42 기,9220391887,제 41 기,16926919432,13,
56,20200724000008,11011,2016,00151128,IS,손익계산서,ifrs_ProfitLossAttributableToNoncontrollingInterests,비지배지분,-,제 43 기,,제 42 기,,제 41 기,576156675,14,
57,20200724000008,11011,2016,00151128,IS,손익계산서,ifrs_BasicEarningsLossPerShare,기본및희석주당이익,-,제 43 기,955,제 42 기,403,제 41 기,743,16,
58,20200724000008,11011,2016,00151128,CIS,포괄손익계산서,ifrs_ProfitLoss,당기순이익,-,제 43 기,21748573670,제 42 기,9220391887,제 41 기,17503076107,0,
59,20200724000008,11011,2016,00151128,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncome,기타포괄손익,-,제 43 기,147575505,제 42 기,763333712,제 41 기,-332720605,1,
60,20200724000008,11011,2016,00151128,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncomeBeforeTaxAvailableforsaleFinancialAssets,매도가능금융자산평가손익,-,제 43 기,28252660,제 42 기,-160835480,제 41 기,157370359,3,
61,20200724000008,11011,2016,00151128,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncomeBeforeTaxExchangeDifferencesOnTranslation,해외사업장환산손익,-,제 43 기,-562608266,제 42 기,502651566,제 41 기,295212108,4,
62,20200724000008,11011,2016,00151128,CIS,포괄손익계산서,-표준계정코드 미사용-,법인세효과,-,제 43 기,129314055,제 42 기,-82719493,제 41 기,-110115381,5,
63,20200724000008,11011,2016,00151128,CIS,포괄손익계산서,-표준계정코드 미사용-,법인세효과 차감후 금액,-,제 43 기,-405041551,제 42 기,259096593,제 41 기,342467086,6,
64,20200724000008,11011,2016,00151128,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncomeBeforeTaxActuarialGainsLossesOnDefinedBenefitPlans,확정급여제도의 재측정요소,-,제 43 기,729046247,제 42 기,665220474,제 41 기,-890748933,8,
65,20200724000008,11011,2016,00151128,CIS,포괄손익계산서,-표준계정코드 미사용-,법인세효과,-,제 43 기,-176429191,제 42 기,-160983355,제 41 기,215561242,9,
66,20200724000008,11011,2016,00151128,CIS,포괄손익계산서,-표준계정코드 미사용-,법인세효과 차감후 금액,-,제 43 기,552617056,제 42 기,504237119,제 41 기,-675187691,10,
67,20200724000008,11011,2016,00151128,CIS,포괄손익계산서,ifrs_ComprehensiveIncome,총포괄손익,-,제 43 기,21896149175,제 42 기,9983725599,제 41 기,17170355502,11,
68,20200724000008,11011,2016,00151128,CIS,포괄손익계산서,ifrs_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업소유주지분,-,제 43 기,21896149175,제 42 기,9983725599,제 41 기,16594198827,13,
