,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 51 기,346249737846,제 50 기,320179494429,제 49 기,311550728677,1,
1,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 51 기,21131680645,제 50 기,16662846271,제 49 기,7769384573,2,
2,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,단기금융자산,-,제 51 기,195568553684,제 50 기,167854259975,제 49 기,150145220742,27,
3,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,매출채권,-,제 51 기,68751065062,제 50 기,67673947840,제 49 기,66376989843,29,
4,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,미수금,-,제 51 기,715976061,제 50 기,454850813,제 49 기,740526254,31,
5,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,미수수익,-,제 51 기,943840232,제 50 기,955629338,제 49 기,1558961070,33,
6,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,선급금,-,제 51 기,81650261,제 50 기,101572833,제 49 기,462377533,35,
7,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,선급비용,-,제 51 기,25329105146,제 50 기,27452030410,제 49 기,30259631234,37,
8,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_Inventories,재고자산,-,제 51 기,33727866755,제 50 기,39024356949,제 49 기,54237637428,46,
9,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 51 기,277501194163,제 50 기,296809027976,제 49 기,267301633155,67,
10,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,장기금융자산,-,제 51 기,27163155744,제 50 기,46237283564,제 49 기,16738065515,100,
11,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 51 기,226372913609,제 50 기,227672062673,제 49 기,229708687523,102,
12,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 51 기,2643953549,제 50 기,2514794517,제 49 기,2149919855,142,
13,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,보증금,-,제 51 기,19374999202,제 50 기,19076935510,제 49 기,17031114886,161,
14,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,장기선급금,-,제 51 기,1344024417,제 50 기,565428146,제 49 기,1173176053,162,
15,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,장기선급비용,-,제 51 기,549291477,제 50 기,742523566,제 49 기,500669323,163,
16,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 51 기,52856165,제 50 기,0,제 49 기,0,164,
17,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_Assets,자산총계,-,제 51 기,623750932009,제 50 기,616988522405,제 49 기,578852361832,165,
18,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 51 기,83021918726,제 50 기,72684311364,제 49 기,72379606302,167,
19,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,매입채무,-,제 51 기,40811953676,제 50 기,36582284054,제 49 기,37981106588,187,
20,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,미지급금,-,제 51 기,19359688307,제 50 기,19024130086,제 49 기,16828815387,189,
21,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 51 기,0,제 50 기,118000000,제 49 기,757000000,191,
22,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,미지급비용,-,제 51 기,9669390876,제 50 기,6342537752,제 49 기,6464414293,193,
23,20170331004876,11011,2016,00124726,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 51 기,5953014344,제 50 기,2288414994,제 49 기,5184021891,194,
24,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,미지급배당금,-,제 51 기,2398120,제 50 기,2462600,제 49 기,2520220,195,
25,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,기타유동부채,-,제 51 기,7225473403,제 50 기,8326481878,제 49 기,5161727923,196,
26,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 51 기,18973379034,제 50 기,27141126474,제 49 기,22460811362,197,
27,20170331004876,11011,2016,00124726,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 51 기,0,제 50 기,20650000,제 49 기,2055620000,218,
28,20170331004876,11011,2016,00124726,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여부채,-,제 51 기,6689537466,제 50 기,9659256916,제 49 기,8181464400,220,
29,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,장기수입보증금,-,제 51 기,5759138957,제 50 기,5861461023,제 49 기,6138889514,223,
30,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,장기미지급비용,-,제 51 기,3516703903,제 50 기,3308143398,제 49 기,4167092683,225,
31,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 51 기,2977998708,제 50 기,8261615137,제 49 기,1887744765,226,
32,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,기타비유동부채,-,제 51 기,30000000,제 50 기,30000000,제 49 기,30000000,227,
33,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 51 기,101995297760,제 50 기,99825437838,제 49 기,94840417664,230,
34,20170331004876,11011,2016,00124726,BS,재무상태표,dart_ContributedEquity,자본금,-,제 51 기,49756205000,제 50 기,49756205000,제 49 기,49756205000,232,
35,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,자본잉여금,-,제 51 기,64768908197,제 50 기,64768908197,제 49 기,64768908197,242,
36,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,기타자본항목,-,제 51 기,-22482303960,제 50 기,-22482303960,제 49 기,-22482303960,243,
37,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,기타포괄손익누계액,-,제 51 기,12961431934,제 50 기,27663562632,제 49 기,7624640722,244,
38,20170331004876,11011,2016,00124726,BS,재무상태표,-표준계정코드 미사용-,적립금,-,제 51 기,383370575965,제 50 기,369594575965,제 49 기,345817575965,245,
39,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금,-,제 51 기,33377908774,제 50 기,27859574879,제 49 기,38526918244,246,
40,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업소유주지분,-,제 51 기,521752725910,제 50 기,517160522713,제 49 기,484011944168,250,
41,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 51 기,2908339,제 50 기,2561854,제 49 기,0,251,
42,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_Equity,자본총계,-,제 51 기,521755634249,제 50 기,517163084567,제 49 기,484011944168,252,
43,20170331004876,11011,2016,00124726,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 51 기,623750932009,제 50 기,616988522405,제 49 기,578852361832,253,
44,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,ifrs_Revenue,매출액,-,제 51 기,813166106663,제 50 기,799571650621,제 49 기,820021629220,0,
45,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,ifrs_CostOfSales,매출원가,-,제 51 기,567128664550,제 50 기,575847254837,제 49 기,585652626300,8,
46,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,ifrs_GrossProfit,매출총이익,-,제 51 기,246037442113,제 50 기,223724395784,제 49 기,234369002920,16,
47,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 51 기,208801596031,제 50 기,192031682788,제 49 기,192669398111,17,
48,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익,-,제 51 기,37235846082,제 50 기,31692712996,제 49 기,41699604809,42,
49,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,ifrs_FinanceIncome,금융수익,-,제 51 기,4910957408,제 50 기,4228231752,제 49 기,6175334267,43,
50,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,ifrs_FinanceCosts,금융비용,-,제 51 기,692195038,제 50 기,420714057,제 49 기,600234513,46,
51,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,dart_OtherGains,기타영업외수익,-,제 51 기,1034522743,제 50 기,1672295956,제 49 기,6186180499,48,
52,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,dart_OtherLosses,기타영업외비용,-,제 51 기,5440857352,제 50 기,4729058617,제 49 기,5002675315,62,
53,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익,-,제 51 기,37048273843,제 50 기,32443468030,제 49 기,48458209747,83,
54,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 51 기,8317513448,제 50 기,7793353797,제 49 기,10995974738,84,
55,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,ifrs_ProfitLossFromContinuingOperations,계속영업이익,-,제 51 기,28730760395,제 50 기,24650114233,제 49 기,37462235009,85,
56,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,ifrs_ProfitLossFromDiscontinuedOperations,중단영업이익(세후),-,제 51 기,0,제 50 기,92474193,제 49 기,105425362,86,
57,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,ifrs_ProfitLoss,당기순이익,-,제 51 기,28730760395,제 50 기,24742588426,제 49 기,37567660371,87,
58,20170331004876,11011,2016,00124726,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncome,법인세비용차감후기타포괄손익,-,제 51 기,-13085959463,제 50 기,19455387223,제 49 기,-7531097670,88,
