,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 49 기,591153360568,제 48 기,530736268430,제 47 기,571907195239,1,
1,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 49 기,84367764213,제 48 기,36437903218,제 47 기,61548600657,2,
2,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동금융자산,-,제 49 기,6885683863,제 48 기,30697087313,제 47 기,4657254660,3,
3,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 49 기,344229613591,제 48 기,304144137228,제 47 기,296974764752,4,
4,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_Inventories,재고자산,-,제 49 기,131735904616,제 48 기,131200178649,제 47 기,191937201915,5,
5,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 49 기,72306081,제 48 기,743470225,제 47 기,324041682,6,
6,20181107000301,11011,2016,00145552,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 49 기,23862088204,제 48 기,27513491797,제 47 기,16465331573,7,
7,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 49 기,506725244845,제 48 기,497822290662,제 47 기,521871263851,8,
8,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,비유동금융자산,-,제 49 기,60613871803,제 48 기,56792125851,제 47 기,45874648828,9,
9,20181107000301,11011,2016,00145552,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기대여금 및 장기수취채권,-,제 49 기,99133813013,제 48 기,80657283745,제 47 기,139564640737,10,
10,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_InvestmentsInSubsidiariesJointVenturesAndAssociates,관계기업투자자산,-,제 49 기,982331415,제 48 기,1077821672,제 47 기,1935273713,11,
11,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_InvestmentsInJointVentures,공동지배기업투자자산,-,제 49 기,1387957038,제 48 기,5305948387,제 47 기,18253523967,12,
12,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 49 기,200598683363,제 48 기,191354165597,제 47 기,195713609436,13,
13,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 49 기,46983615627,제 48 기,61247307661,제 47 기,66853695450,14,
14,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 49 기,16191994655,제 48 기,15705439517,제 47 기,16663936370,15,
15,20181107000301,11011,2016,00145552,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 49 기,80832977931,제 48 기,85682198232,제 47 기,37011935350,16,
16,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_Assets,자산총계,-,제 49 기,1097878605413,제 48 기,1028558559092,제 47 기,1093778459090,17,
17,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 49 기,604948338593,제 48 기,483589622153,제 47 기,480847135288,19,
18,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 49 기,132990099473,제 48 기,82592042926,제 47 기,75868782211,20,
19,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 49 기,242382087597,제 48 기,118670977366,제 47 기,104180391416,21,
20,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 49 기,94220298635,제 48 기,171427688440,제 47 기,230701306024,22,
21,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 49 기,5496858055,제 48 기,,제 47 기,,23,
22,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 49 기,74378917281,제 48 기,64249483942,제 47 기,39679939507,24,
23,20181107000301,11011,2016,00145552,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 49 기,55480077552,제 48 기,46649429479,제 47 기,30416716130,25,
24,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 49 기,148812708483,제 48 기,194155194418,제 47 기,239163953340,26,
25,20181107000301,11011,2016,00145552,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타비유동채무,-,제 49 기,101970092216,제 48 기,160888608520,제 47 기,209080870217,27,
26,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,-,제 49 기,5789501785,제 48 기,7377443827,제 47 기,5540463252,28,
27,20181107000301,11011,2016,00145552,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여채무,-,제 49 기,13307232382,제 48 기,10807020628,제 47 기,9803902938,29,
28,20181107000301,11011,2016,00145552,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 49 기,12612249707,제 48 기,10919184320,제 47 기,11339601961,30,
29,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 49 기,15133632393,제 48 기,4162937123,제 47 기,3399114972,31,
30,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 49 기,753761047076,제 48 기,677744816571,제 47 기,720011088628,32,
31,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 49 기,293826049113,제 48 기,296082794385,제 47 기,334102292631,34,
32,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 49 기,76390000000,제 48 기,76390000000,제 47 기,76390000000,35,
33,20181107000301,11011,2016,00145552,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 49 기,137988341296,제 48 기,137028310277,제 47 기,130169961694,36,
34,20181107000301,11011,2016,00145552,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 49 기,-13239017380,제 48 기,-12163221510,제 47 기,-10031529330,37,
35,20181107000301,11011,2016,00145552,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 49 기,944685226,제 48 기,3539011138,제 47 기,-4139517110,38,
36,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금(결손금),-,제 49 기,91742039971,제 48 기,91288694480,제 47 기,141713377377,39,
37,20181107000301,11011,2016,00145552,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 49 기,50291509224,제 48 기,54730948136,제 47 기,39665077831,40,
