,과 목,제 12(당) 기,제 11(전) 기,제 10(전전)기
0,자 산,자 산000000,자 산000000,자 산000000
1,I. 현금 및 예치금,29226462000000,19745776000000,22257731000000
2,II. 단기매매금융자산,21777566000000,18580780000000,17218152000000
3,III. 당기손익인식지정금융자산,1837924000000,1414424000000,1045676000000
4,IV. 매도가능금융자산,40012085000000,37701159000000,35065938000000
5,V. 만기보유금융자산,5050119000000,5616734000000,4365450000000
6,VI. 대출채권,228607008000000,221336818000000,213963138000000
7,VII. 위험회피회계파생상품자산,25825000000,65442000000,87894000000
8,VIII. 관계기업 및 공동기업 투자주식,1037160000000,1155939000000,984294000000
9,IX. 유형자산,3003152000000,2873575000000,2759339000000
10,X. 투자부동산,748596000000,674774000000,512988000000
11,XI. 무형자산,1006836000000,1091866000000,1258332000000
12,XII. 이연법인세자산,153239000000,56616000000,51045000000
13,XIII. 당기법인세자산,5135000000,85326000000,7364000000
14,XIV. 매각예정비유동자산,21326000000,415000000,529000000
15,XV. 기타자산,15665058000000,16513064000000,15970376000000
16,자 산 총 계,348177491000000,326912708000000,315548246000000
17,부 채,부 채000000,부 채000000,부 채000000
18,I. 단기매매금융부채,7073272000000,5753318000000,5239660000000
19,II. 당기손익인식지정금융부채,9706839000000,8037863000000,6687800000000
20,III. 예수부채,222413004000000,206810358000000,201896985000000
21,IV. 차입부채,20031622000000,22202136000000,23263986000000
22,V. 사채,32305789000000,30008472000000,29308115000000
23,VI. 위험회피회계파생상품부채,121310000000,43008000000,50736000000
24,VII. 순확정급여부채,60794000000,161925000000,169168000000
25,VIII. 충당부채,408666000000,338772000000,364295000000
26,IX. 이연법인세부채,454068000000,392623000000,354258000000
27,X. 당기법인세부채,109466000000,14579000000,71675000000
28,XI. 기타부채,32102623000000,30177910000000,26247926000000
29,부 채 총 계,324787453000000,303940964000000,293654604000000
30,자 본,자 본000000,자 본000000,자 본000000
31,I. 자본금,1480015000000,1480015000000,1449470000000
32,II. 신종자본증권,443769000000,742890000000,299121000000
33,III. 연결자본잉여금,10463067000000,10464530000000,10351748000000
34,IV. 연결자본조정,"(13,183)000000","(13,232)000000","(13,122)000000"
35,V. 연결기타포괄손익누계액,"(461,369)000000","(6,382)000000",251158000000
36,VI. 연결이익잉여금,10575395000000,9481847000000,8788923000000
37,지배주주지분,22487694000000,22149668000000,21127298000000
38,VII. 비지배지분,902344000000,822076000000,766344000000
39,자 본 총 계,23390038000000,22971744000000,21893642000000
40,부채및자본총계,348177491000000,326912708000000,315548246000000
