,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 10 기,2372221000000,제 9 기,2357300000000,제 8 기,2640743000000,1,
1,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 10 기,138821000000,제 9 기,163004000000,제 8 기,350490000000,2,
2,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,단기예금,-,제 10 기,15084000000,제 9 기,13523000000,제 8 기,52470000000,13,
3,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,단기매도가능금융자산,-,제 10 기,0,제 9 기,4923000000,제 8 기,2848000000,14,
4,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,매출채권,-,제 10 기,134921000000,제 9 기,183171000000,제 8 기,276883000000,15,
5,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,미청구공사,-,제 10 기,741496000000,제 9 기,664172000000,제 8 기,795325000000,16,
6,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,미수금,-,제 10 기,175924000000,제 9 기,203637000000,제 8 기,232725000000,17,
7,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,선급금,-,제 10 기,157092000000,제 9 기,170668000000,제 8 기,209482000000,18,
8,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_Inventories,재고자산,-,제 10 기,675011000000,제 9 기,873978000000,제 8 기,655829000000,19,
9,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 10 기,16150000000,제 9 기,44071000000,제 8 기,25808000000,36,
10,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,기타유동자산,-,제 10 기,28814000000,제 9 기,36073000000,제 8 기,38803000000,44,
11,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,매각예정자산,-,제 10 기,288908000000,제 9 기,80000000,제 8 기,80000000,59,
12,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 10 기,2884243000000,제 9 기,3397467000000,제 8 기,3778781000000,69,
13,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 10 기,149544000000,제 9 기,148429000000,제 8 기,177919000000,84,
14,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,관계기업투자,-,제 10 기,2007000000,제 9 기,99957000000,제 8 기,120690000000,85,
15,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 10 기,2404052000000,제 9 기,2735463000000,제 8 기,2703561000000,86,
16,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 10 기,109929000000,제 9 기,211121000000,제 8 기,505206000000,126,
17,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,무형자산,-,제 10 기,43520000000,제 9 기,54024000000,제 8 기,68703000000,127,
18,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,장기대여금,-,제 10 기,88932000000,제 9 기,96167000000,제 8 기,136844000000,128,
19,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,장기매출채권,-,제 10 기,13466000000,제 9 기,11385000000,제 8 기,0,129,
20,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,보증금,-,제 10 기,25380000000,제 9 기,27607000000,제 8 기,19806000000,130,
21,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,장기미수금,-,제 10 기,2274000000,제 9 기,3833000000,제 8 기,1118000000,131,
22,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 10 기,43241000000,제 9 기,9481000000,제 8 기,44934000000,132,
23,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,기타비유동자산,-,제 10 기,1898000000,제 9 기,0,제 8 기,0,141,
24,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_Assets,자산총계,-,제 10 기,5256464000000,제 9 기,5754767000000,제 8 기,6419524000000,171,
25,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 10 기,2636927000000,제 9 기,3468681000000,제 8 기,2844706000000,173,
26,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,매입채무,-,제 10 기,291798000000,제 9 기,352916000000,제 8 기,292809000000,183,
27,20170331004688,11011,2016,00633835,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 10 기,514563000000,제 9 기,660354000000,제 8 기,489339000000,184,
28,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,유동성장기부채,-,제 10 기,1167460000000,제 9 기,1611587000000,제 8 기,1242328000000,185,
29,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,미지급금,-,제 10 기,106510000000,제 9 기,99698000000,제 8 기,110498000000,186,
30,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,초과청구공사,-,제 10 기,403322000000,제 9 기,621686000000,제 8 기,525908000000,187,
31,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,예수금,-,제 10 기,14729000000,제 9 기,14178000000,제 8 기,23130000000,188,
32,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,미지급비용,-,제 10 기,36870000000,제 9 기,36523000000,제 8 기,44138000000,189,
33,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,충당부채,-,제 10 기,12539000000,제 9 기,14079000000,제 8 기,2209000000,190,
34,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 10 기,26324000000,제 9 기,24273000000,제 8 기,26656000000,191,
35,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,기타유동부채,-,제 10 기,20989000000,제 9 기,33387000000,제 8 기,87691000000,192,
36,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,매각예정자산관련부채,-,제 10 기,41823000000,제 9 기,0,제 8 기,0,193,
37,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 10 기,1724354000000,제 9 기,1108050000000,제 8 기,2054207000000,207,
38,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,사채,-,제 10 기,182689000000,제 9 기,150000000000,제 8 기,250000000000,217,
39,20170331004688,11011,2016,00633835,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 10 기,1269833000000,제 9 기,628609000000,제 8 기,1408713000000,218,
40,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,장기초과청구공사,-,제 10 기,0,제 9 기,0,제 8 기,16648000000,219,
41,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,순확정급여부채,-,제 10 기,127533000000,제 9 기,143601000000,제 8 기,121712000000,220,
42,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,장기충당부채,-,제 10 기,12439000000,제 9 기,19141000000,제 8 기,17202000000,221,
43,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 10 기,117066000000,제 9 기,118011000000,제 8 기,196806000000,222,
44,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,-,제 10 기,7625000000,제 9 기,43810000000,제 8 기,43126000000,223,
45,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,기타비유동부채,-,제 10 기,7169000000,제 9 기,4878000000,제 8 기,0,224,
46,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 10 기,4361281000000,제 9 기,4576731000000,제 8 기,4898913000000,242,
47,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업소유주지분,-,제 10 기,895927000000,제 9 기,1178774000000,제 8 기,1521298000000,244,
48,20170331004688,11011,2016,00633835,BS,재무상태표,dart_ContributedEquity,자본금,-,제 10 기,530263000000,제 9 기,511442000000,제 8 기,511442000000,245,
49,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,주식발행초과금,-,제 10 기,708140000000,제 9 기,712133000000,제 8 기,712133000000,250,
50,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금(결손금),-,제 10 기,-527832000000,제 9 기,-204000000000,제 8 기,193166000000,251,
51,20170331004688,11011,2016,00633835,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본항목,-,제 10 기,185356000000,제 9 기,159199000000,제 8 기,104557000000,255,
52,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_TreasuryShares,자기주식,-,제 10 기,1423000000,제 9 기,1423000000,제 8 기,1423000000,256,
53,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산평가손익,-,제 10 기,-1594000000,제 9 기,-353000000,제 8 기,19626000000,257,
54,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,지분법자본변동,-,제 10 기,-487000000,제 9 기,897000000,제 8 기,897000000,258,
55,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,해외사업환산손익,-,제 10 기,177270000000,제 9 기,159775000000,제 8 기,85154000000,259,
56,20170331004688,11011,2016,00633835,BS,재무상태표,-표준계정코드 미사용-,전환권 대가,-,제 10 기,11287000000,제 9 기,0,제 8 기,0,261,
57,20170331004688,11011,2016,00633835,BS,재무상태표,dart_OtherCapitalSurplus,기타자본잉여금,-,제 10 기,303000000,제 9 기,303000000,제 8 기,303000000,262,
58,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 10 기,-744000000,제 9 기,-738000000,제 8 기,-687000000,264,
59,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_Equity,자본총계,-,제 10 기,895183000000,제 9 기,1178036000000,제 8 기,1520611000000,265,
60,20170331004688,11011,2016,00633835,BS,재무상태표,ifrs_EquityAndLiabilities,부채와자본총계,-,제 10 기,5256464000000,제 9 기,5754767000000,제 8 기,6419524000000,266,
61,20170331004688,11011,2016,00633835,IS,손익계산서,ifrs_Revenue,매출액,-,제 10 기,2813271000000,제 9 기,3063623000000,제 8 기,2520325000000,0,
62,20170331004688,11011,2016,00633835,IS,손익계산서,ifrs_CostOfSales,매출원가,-,제 10 기,2753545000000,제 9 기,3052318000000,제 8 기,2545400000000,8,
63,20170331004688,11011,2016,00633835,IS,손익계산서,ifrs_GrossProfit,매출총이익,-,제 10 기,59726000000,제 9 기,11305000000,제 8 기,-25075000000,16,
64,20170331004688,11011,2016,00633835,IS,손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 10 기,139045000000,제 9 기,234665000000,제 8 기,170183000000,17,
65,20170331004688,11011,2016,00633835,IS,손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 10 기,-79319000000,제 9 기,-223360000000,제 8 기,-195258000000,42,
66,20170331004688,11011,2016,00633835,IS,손익계산서,-표준계정코드 미사용-,기타수익,-,제 10 기,51420000000,제 9 기,68071000000,제 8 기,91768000000,57,
67,20170331004688,11011,2016,00633835,IS,손익계산서,-표준계정코드 미사용-,기타비용,-,제 10 기,218594000000,제 9 기,119182000000,제 8 기,88096000000,58,
68,20170331004688,11011,2016,00633835,IS,손익계산서,ifrs_FinanceIncome,금융수익,-,제 10 기,88234000000,제 9 기,52521000000,제 8 기,50069000000,74,
69,20170331004688,11011,2016,00633835,IS,손익계산서,-표준계정코드 미사용-,금융비용,-,제 10 기,165286000000,제 9 기,215381000000,제 8 기,215817000000,83,
70,20170331004688,11011,2016,00633835,IS,손익계산서,-표준계정코드 미사용-,관계기업에대한지분법손익,-,제 10 기,-14785000000,제 9 기,-23900000000,제 8 기,-12605000000,84,
71,20170331004688,11011,2016,00633835,IS,손익계산서,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 10 기,-338330000000,제 9 기,-461231000000,제 8 기,-369939000000,87,
72,20170331004688,11011,2016,00633835,IS,손익계산서,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용(수익),-,제 10 기,-3884000000,제 9 기,-68974000000,제 8 기,-19858000000,88,
73,20170331004688,11011,2016,00633835,IS,손익계산서,ifrs_ProfitLoss,당기순이익(손실),-,제 10 기,-334446000000,제 9 기,-392257000000,제 8 기,-350081000000,91,
74,20170331004688,11011,2016,00633835,IS,손익계산서,ifrs_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분,-,제 10 기,-334440000000,제 9 기,-392206000000,제 8 기,-349602000000,93,
75,20170331004688,11011,2016,00633835,IS,손익계산서,ifrs_ProfitLossAttributableToNoncontrollingInterests,비지배지분,-,제 10 기,-6000000,제 9 기,-51000000,제 8 기,-479000000,94,
76,20170331004688,11011,2016,00633835,IS,손익계산서,ifrs_BasicEarningsLossPerShare,기본주당이익(손실) (단위: 원),-,제 10 기,-3216,제 9 기,-3835,제 8 기,-3419,96,
77,20170331004688,11011,2016,00633835,IS,손익계산서,ifrs_DilutedEarningsLossPerShare,희석주당이익(손실) (단위: 원),-,제 10 기,-3216,제 9 기,-3835,제 8 기,-3419,99,
78,20170331004688,11011,2016,00633835,CIS,포괄손익계산서,ifrs_ProfitLoss,당기순이익(손실),-,제 10 기,-334446000000,제 9 기,-392257000000,제 8 기,-350081000000,0,
79,20170331004688,11011,2016,00633835,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncome,세후기타포괄손익,-,제 10 기,25478000000,제 9 기,49682000000,제 8 기,44692000000,1,
80,20170331004688,11011,2016,00633835,CIS,포괄손익계산서,-표준계정코드 미사용-,순확정급여부채의재측정요소,-,제 10 기,10610000000,제 9 기,-4968000000,제 8 기,-11518000000,3,
81,20170331004688,11011,2016,00633835,CIS,포괄손익계산서,-표준계정코드 미사용-,관계기업순확정급여부채의재측정요소,-,제 10 기,-2000000,제 9 기,8000000,제 8 기,-175000000,5,
82,20170331004688,11011,2016,00633835,CIS,포괄손익계산서,-표준계정코드 미사용-,매도가능금융자산평가손익,-,제 10 기,-1241000000,제 9 기,-19979000000,제 8 기,1340000000,16,
83,20170331004688,11011,2016,00633835,CIS,포괄손익계산서,-표준계정코드 미사용-,지분법자본변동,-,제 10 기,-1384000000,제 9 기,0,제 8 기,1830000000,17,
84,20170331004688,11011,2016,00633835,CIS,포괄손익계산서,-표준계정코드 미사용-,해외사업환산손익,-,제 10 기,17495000000,제 9 기,74621000000,제 8 기,53215000000,21,
85,20170331004688,11011,2016,00633835,CIS,포괄손익계산서,ifrs_ComprehensiveIncome,당기총포괄손익,-,제 10 기,-308968000000,제 9 기,-342575000000,제 8 기,-305389000000,30,
