,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 55 기,4663115000000,제 54 기,4155560000000,제 53 기,3851206000000,1,
1,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 55 기,1129035000000,제 54 기,870393000000,제 53 기,497211000000,2,
2,20170331004986,11011,2016,00120021,BS,재무상태표,-표준계정코드 미사용-,금융기관예치금,-,제 55 기,206845000000,제 54 기,375748000000,제 53 기,335558000000,13,
3,20170331004986,11011,2016,00120021,BS,재무상태표,-표준계정코드 미사용-,유동성파생상품자산,-,제 55 기,1376000000,제 54 기,1138000000,제 53 기,1409000000,14,
4,20170331004986,11011,2016,00120021,BS,재무상태표,-표준계정코드 미사용-,매출채권,-,제 55 기,2551435000000,제 54 기,2200006000000,제 53 기,2263398000000,15,
5,20170331004986,11011,2016,00120021,BS,재무상태표,-표준계정코드 미사용-,기타채권,-,제 55 기,74481000000,제 54 기,67236000000,제 53 기,77880000000,16,
6,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 55 기,7854000000,제 54 기,4842000000,제 53 기,4761000000,17,
7,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_OtherCurrentNonfinancialAssets,기타유동자산,-,제 55 기,369232000000,제 54 기,292679000000,제 53 기,361815000000,18,
8,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_Inventories,재고자산,-,제 55 기,322857000000,제 54 기,343518000000,제 53 기,307655000000,19,
9,20170331004986,11011,2016,00120021,BS,재무상태표,-표준계정코드 미사용-,매각예정자산,-,제 55 기,,제 54 기,,제 53 기,1519000000,50,
10,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 55 기,14826327000000,제 54 기,13967840000000,제 53 기,13481501000000,66,
11,20170331004986,11011,2016,00120021,BS,재무상태표,-표준계정코드 미사용-,파생상품자산,-,제 55 기,,제 54 기,,제 53 기,93000000,67,
12,20170331004986,11011,2016,00120021,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 55 기,91043000000,제 54 기,93124000000,제 53 기,103807000000,68,
13,20170331004986,11011,2016,00120021,BS,재무상태표,-표준계정코드 미사용-,장기매출채권,-,제 55 기,17032000000,제 54 기,8369000000,제 53 기,7232000000,69,
14,20170331004986,11011,2016,00120021,BS,재무상태표,-표준계정코드 미사용-,장기기타채권,-,제 55 기,14808000000,제 54 기,17374000000,제 53 기,19027000000,70,
15,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,관계기업및공동기업투자,-,제 55 기,10979154000000,제 54 기,10345631000000,제 53 기,9815312000000,71,
16,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 55 기,208887000000,제 54 기,194089000000,제 53 기,175280000000,72,
17,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_OtherNoncurrentNonfinancialAssets,기타비유동자산,-,제 55 기,56279000000,제 54 기,68782000000,제 53 기,93632000000,73,
18,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 55 기,2481390000000,제 54 기,2471315000000,제 53 기,2477695000000,88,
19,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 55 기,863726000000,제 54 기,652570000000,제 53 기,654962000000,128,
20,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 55 기,114008000000,제 54 기,116586000000,제 53 기,134461000000,131,
21,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_Assets,자산총계,-,제 55 기,19489442000000,제 54 기,18123400000000,제 53 기,17332707000000,164,
22,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 55 기,3567302000000,제 54 기,2712625000000,제 53 기,2896801000000,166,
23,20170331004986,11011,2016,00120021,BS,재무상태표,-표준계정코드 미사용-,유동성파생상품부채,-,제 55 기,4406000000,제 54 기,2817000000,제 53 기,2319000000,167,
24,20170331004986,11011,2016,00120021,BS,재무상태표,-표준계정코드 미사용-,매입채무,-,제 55 기,1635402000000,제 54 기,1353031000000,제 53 기,1371962000000,168,
25,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,기타채무,-,제 55 기,783695000000,제 54 기,536476000000,제 53 기,595862000000,169,
26,20170331004986,11011,2016,00120021,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 55 기,190795000000,제 54 기,168518000000,제 53 기,180230000000,177,
27,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 55 기,506975000000,제 54 기,320563000000,제 53 기,503821000000,178,
28,20170331004986,11011,2016,00120021,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,당기법인세부채,-,제 55 기,82386000000,제 54 기,70638000000,제 53 기,75349000000,179,
29,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_CurrentProvisions,유동성충당부채,-,제 55 기,51466000000,제 54 기,36437000000,제 53 기,24107000000,180,
30,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_OtherCurrentNonfinancialLiabilities,기타유동부채,-,제 55 기,312031000000,제 54 기,224145000000,제 53 기,141536000000,191,
31,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,매각예정자산관련부채,-,제 55 기,146000000,제 54 기,,제 53 기,1615000000,192,
32,20170331004986,11011,2016,00120021,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 55 기,1702056000000,제 54 기,2102531000000,제 53 기,1850071000000,193,
33,20170331004986,11011,2016,00120021,BS,재무상태표,-표준계정코드 미사용-,파생상품부채,-,제 55 기,53000000,제 54 기,520000000,제 53 기,3043000000,194,
