,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 53 기,619197194363,제 52 기,508987340588,제 51 기,503170218573,1,
1,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 53 기,96522864252,제 52 기,54611211383,제 51 기,58648232027,2,
2,20180921000473,11011,2016,00107598,BS,재무상태표,-표준계정코드 미사용-,당기손익인식금융자산,-,제 53 기,155529697240,제 52 기,60938659752,제 51 기,34640247054,3,
3,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 53 기,159101685877,제 52 기,154644308627,제 51 기,134954848212,4,
4,20180921000473,11011,2016,00107598,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 53 기,0,제 52 기,117585920,제 51 기,0,5,
5,20180921000473,11011,2016,00107598,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 53 기,108095000,제 52 기,100455000,제 51 기,91370000,6,
6,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_Inventories,재고자산,-,제 53 기,121877670583,제 52 기,164532330638,제 51 기,185781953999,7,
7,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 53 기,0,제 52 기,0,제 51 기,1237344085,8,
8,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 53 기,81411916366,제 52 기,70122162194,제 51 기,84323698309,9,
9,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_OtherCurrentNonfinancialAssets,기타유동자산,-,제 53 기,4645265045,제 52 기,3920627074,제 51 기,3492524887,10,
10,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 53 기,422304599406,제 52 기,485161186404,제 51 기,460047036349,11,
11,20180921000473,11011,2016,00107598,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 53 기,12400000000,제 52 기,11775896964,제 51 기,11183188000,12,
12,20180921000473,11011,2016,00107598,BS,재무상태표,-표준계정코드 미사용-,당기손익인식금융자산,-,제 53 기,2988000000,제 52 기,64946266250,제 51 기,28196041250,13,
13,20180921000473,11011,2016,00107598,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 53 기,10320942900,제 52 기,5195081530,제 51 기,215026890,14,
14,20180921000473,11011,2016,00107598,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 53 기,98430000,제 52 기,204125000,제 51 기,276615000,15,
15,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 53 기,3700424487,제 52 기,5261931319,제 51 기,10409970749,16,
16,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 53 기,319563675159,제 52 기,317724351098,제 51 기,334684395226,17,
17,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 53 기,23559255901,제 52 기,23917987406,제 51 기,24276718911,18,
18,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 53 기,5647317601,제 52 기,7255911790,제 51 기,7263635416,19,
19,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타금융자산,-,제 53 기,44026553358,제 52 기,48879635047,제 51 기,43541444907,20,
20,20180921000473,11011,2016,00107598,BS,재무상태표,ifrs_Assets,자산총계,-,제 53 기,1041501793769,제 52 기,994148526992,제 51 기,963217254922,21,
