,과 목,제 61 (당) 기,제 60 (전) 기,제 59 (전전) 기
0,"Ⅰ.현금및현금성자산(주석 9,37)",4723503000000,2276606000000,4216720000000
1,"Ⅱ.당기손익인식금융자산(주석 4,9)",2094584000000,2337133000000,2542066000000
2,"Ⅲ.매도가능금융자산(주석 5,9)",138214702000000,131894930000000,123984920000000
3,"Ⅳ.만기보유금융자산(주석 6,9)",328992000000,421906000000,748147000000
4,"V.대출채권및기타수취채권(주석 7,9)",60503788000000,36462636000000,32687421000000
5,"Ⅵ.위험회피목적파생상품자산(주석 8,9)",314897000000,82796000000,165433000000
6,Ⅶ.관계기업투자(주석 10),1490325000000,2603098000000,2463717000000
7,"Ⅷ.금융리스채권(주석 7,9)",792448000000,-000000,-000000
8,IX.매각예정자산(주석 41),260415000000,6530000000,2195000000
9,X.투자부동산(주석 11),6854774000000,7555922000000,6146006000000
10,XI.유형자산(주석 12),1454095000000,1756873000000,1800669000000
11,XII.무형자산(주석 13),876511000000,520765000000,451404000000
12,XIII.당기법인세자산,198549000000,171289000000,382000000
13,XIV.이연법인세자산(주석 20),5322000000,-000000,12000000
14,XV.기타자산(주석 14),5035748000000,4686714000000,4815483000000
15,XVI.특별계정자산(주석 15),41505148000000,39585698000000,34409139000000
16,자 산 총 계,"264,653,801==================000000","230,362,896==================000000","214,433,714=================000000"
17,nan,nan000000,nan000000,nan000000
18,Ⅰ.보험계약부채(주석 16),158729147000000,149118213000000,138982550000000
19,Ⅱ.계약자지분조정(주석 18),8075517000000,6969288000000,6771704000000
20,"Ⅲ.당기손익인식금융부채(주석 9,19)",71468000000,47981000000,89443000000
21,"Ⅳ.기타금융부채(주석 9,19)",18546201000000,4202160000000,3318418000000
22,"Ⅴ.위험회피목적파생상품부채(주석 8,9)",721269000000,620184000000,528978000000
23,Ⅵ.당기법인세부채,69599000000,15174000000,5880000000
24,Ⅶ.이연법인세부채(주석 20),4976383000000,4427612000000,4195262000000
25,Ⅷ.충당부채(주석 21),309532000000,162282000000,157222000000
26,Ⅸ.기타부채(주석 22),988811000000,506663000000,503705000000
27,X.특별계정부채(주석 15),43857426000000,40571594000000,37595813000000
28,부 채 총 계,236345353000000,206641151000000,192148975000000
29,nan,nan000000,nan000000,nan000000
30,Ⅰ.지배기업지분,26644237000000,23645836000000,22204919000000
31,1.자본금(주석 23),100000000000,100000000000,100000000000
32,2.자본잉여금(주석 23),63084000000,6131000000,7126000000
33,3.자본조정(주석 23),"(2,117,768)000000","(1,575,774)000000","(1,086,828)000000"
34,4.기타포괄손익누계액(주석 23),15310260000000,13548291000000,12488331000000
35,5.이익잉여금(주석 23),13288661000000,11567188000000,10696290000000
36,Ⅱ.비지배지분,1664211000000,75909000000,79820000000
37,자 본 총 계,28308448000000,23721745000000,22284739000000
38,nan,nan000000,nan000000,nan000000
39,부 채 와 자 본 총 계,"264,653,801===================000000","230,362,896===================000000","214,433,714=================000000"
40,Ⅰ.영업수익,30428633000000,27705927000000,27426368000000
41,1.보험료수익(주석 24),16768276000000,17354147000000,17461627000000
42,2.재보험수익(주석 25),278207000000,257780000000,233297000000
43,3.이자수익(주석 26),6681999000000,5729876000000,5702049000000
44,4.당기손익인식금융자산관련이익(주석 27),356218000000,333689000000,210150000000
45,5.매도가능금융자산관련이익(주석 27),197166000000,184815000000,685113000000
46,6.대출채권및기타수취채권관련이익(주석 27),-000000,912000000,1113000000
47,7.위험회피목적파생상품관련이익(주석 27),275110000000,118894000000,247306000000
48,8.외환거래이익,553611000000,717194000000,487471000000
49,9.수수료수익,2062554000000,158175000000,43020000000
50,10.배당금수익,450646000000,389569000000,284011000000
51,11.임대료수익,437955000000,444407000000,422481000000
52,12.특별계정수입수수료,1442637000000,1305766000000,1091894000000
53,13.특별계정수익(주석 15),393717000000,471945000000,433274000000
54,14.기타영업수익(주석 28),260915000000,238758000000,123562000000
55,15.리스수익,269622000000,-000000,-000000
56,nan,nan000000,nan000000,nan000000
57,Ⅱ.영업비용,29442112000000,26557433000000,26020836000000
58,1.책임준비금전입액(주석 16),9241518000000,9864308000000,10031329000000
59,2.지급보험금,10610167000000,10209610000000,10051134000000
60,3.재보험비용(주석 25),311242000000,289133000000,265819000000
61,4.사업비(주석 29),1523630000000,1558883000000,1568400000000
62,5.신계약비상각비(주석 14),2123811000000,2056932000000,2011555000000
63,6.재산관리비(주석 30),356139000000,371191000000,478153000000
64,7.이자비용,415263000000,137929000000,103104000000
65,8.당기손익인식금융자산관련손실(주석 27),318862000000,335154000000,209920000000
66,9.매도가능금융자산관련손실(주석 27),145150000000,120462000000,42393000000
67,10.대출채권및기타수취채권관련손실(주석 27),305978000000,6911000000,13708000000
68,11.위험회피목적파생상품관련손실(주석 27),468041000000,601678000000,378137000000
69,12.외환거래손실,356116000000,180205000000,250865000000
70,13.특별계정비용(주석 15),393717000000,471945000000,433274000000
71,14.기타영업비용(주석 28),2872478000000,353092000000,183045000000
