,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20170331002327,11011,2016,00146861,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 30 기,238347310663,제 29 기,232425866006,제 28 기,226950955317,1,
1,20170331002327,11011,2016,00146861,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 30 기,57663833310,제 29 기,59032081052,제 28 기,54573126588,2,
2,20170331002327,11011,2016,00146861,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 30 기,33600036208,제 29 기,26509919360,제 28 기,29131671241,13,
3,20170331002327,11011,2016,00146861,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동금융자산,-,제 30 기,121344238301,제 29 기,121796513648,제 28 기,118651615441,27,
4,20170331002327,11011,2016,00146861,BS,재무상태표,dart_CurrentFairValueFinancialAsset,유동당기손익인식금융자산,-,제 30 기,8232728,제 29 기,55641670,제 28 기,,28,
5,20170331002327,11011,2016,00146861,BS,재무상태표,dart_CurrentAvailableForSaleFinancialAssets,유동매도가능금융자산,-,제 30 기,7549505573,제 29 기,22479541978,제 28 기,21090325441,29,
6,20170331002327,11011,2016,00146861,BS,재무상태표,dart_CurrentFinancialAssetsHeldToMaturity,유동만기보유금융자산,-,제 30 기,16500000,제 29 기,11330000,제 28 기,16220000,30,
7,20170331002327,11011,2016,00146861,BS,재무상태표,dart_ShortTermFinancialInstrumentsGross,단기금융상품,-,제 30 기,113770000000,제 29 기,99250000000,제 28 기,97545070000,34,
8,20170331002327,11011,2016,00146861,BS,재무상태표,ifrs_OtherCurrentNonfinancialAssets,기타유동비금융자산,-,제 30 기,5870319061,제 29 기,5155654686,제 28 기,6970566652,35,
9,20170331002327,11011,2016,00146861,BS,재무상태표,ifrs_Inventories,재고자산,-,제 30 기,19868883783,제 29 기,19931697260,제 28 기,17623975395,36,
10,20170331002327,11011,2016,00146861,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 30 기,188450681985,제 29 기,166852708275,제 28 기,132629915726,61,
11,20170331002327,11011,2016,00146861,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 30 기,77210307124,제 29 기,80160850280,제 28 기,50394834629,62,
12,20170331002327,11011,2016,00146861,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,비유동매도가능금융자산,-,제 30 기,60801966456,제 29 기,63809391776,제 28 기,37046129165,63,
13,20170331002327,11011,2016,00146861,BS,재무상태표,dart_NonCurrentFinancialAssetsHeldToMaturity,비유동만기보유금융자산,-,제 30 기,49250000,제 29 기,49060000,제 28 기,41960000,64,
14,20170331002327,11011,2016,00146861,BS,재무상태표,dart_NonCurrentFairValueFinancialAsset,비유동당기손익인식금융자산,-,제 30 기,2893712767,제 29 기,2533527295,제 28 기,2994855291,65,
