,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20170331003881,11011,2016,00261285,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 34 기,8543873479145,제 33 기,10014573908788,제 32 기,13791330038290,1,
1,20170331003881,11011,2016,00261285,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 34 기,483482722647,제 33 기,138004666828,제 32 기,209433655281,2,
2,20170331003881,11011,2016,00261285,BS,재무상태표,ifrs_Cash,현금,-,제 34 기,303916788130,제 33 기,116501367276,제 32 기,194291126060,3,
3,20170331003881,11011,2016,00261285,BS,재무상태표,ifrs_CashEquivalents,현금성자산,-,제 34 기,179565934517,제 33 기,21503299552,제 32 기,15142529221,7,
4,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,유동금융자산,-,제 34 기,206429190801,제 33 기,6896249440,제 32 기,59580241918,13,
5,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,유동당기손익인식금융자산,-,제 34 기,28460054113,제 33 기,327300000,제 32 기,12563582654,14,
6,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,유동만기보유금융자산,-,제 34 기,243159230,제 33 기,284940000,제 32 기,749730000,15,
7,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,단기대여금,-,제 34 기,149630560,제 33 기,143369440,제 32 기,136364960,16,
8,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,단기금융상품,-,제 34 기,163473600000,제 33 기,6140640000,제 32 기,17014963000,17,
9,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,유동파생상품자산,-,제 34 기,14102746898,제 33 기,,제 32 기,29115601304,18,
10,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,매출채권 및 기타채권,-,제 34 기,5006402700865,제 33 기,4815443992762,제 32 기,7694671843951,19,
11,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,단기매출채권,-,제 34 기,4672464284810,제 33 기,4676569851569,제 32 기,7465620926582,20,
12,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,현재가치할인차금,-,제 34 기,29881734,제 33 기,33541366,제 32 기,43676665,21,
13,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,대손충당금,-,제 34 기,,제 33 기,,제 32 기,1269853898,22,
14,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,단기미수금,-,제 34 기,312868821186,제 33 기,121649979498,제 32 기,211130660628,23,
15,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,단기미수수익,-,제 34 기,16837846262,제 33 기,14233994427,제 32 기,13188220731,24,
16,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,단기보증금,-,제 34 기,143754823,제 33 기,115471868,제 32 기,121724307,25,
17,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,단기미청구공사,-,제 34 기,4117875518,제 33 기,2908236766,제 32 기,5923842266,26,
18,20170331003881,11011,2016,00261285,BS,재무상태표,ifrs_Inventories,재고자산,-,제 34 기,1069952137464,제 33 기,1794964588672,제 32 기,3579493188115,27,
19,20170331003881,11011,2016,00261285,BS,재무상태표,dart_RawMaterialsGross,원재료,-,제 34 기,712930620835,제 33 기,1541538266858,제 32 기,2843353563267,28,
20,20170331003881,11011,2016,00261285,BS,재무상태표,dart_FinishedGoodsGross,제품,-,제 34 기,61376212907,제 33 기,80872641386,제 32 기,84893094838,36,
21,20170331003881,11011,2016,00261285,BS,재무상태표,dart_SuppliesGross,저장품,-,제 34 기,47156360099,제 33 기,44129295522,제 32 기,36972721544,38,
22,20170331003881,11011,2016,00261285,BS,재무상태표,dart_GoodsInTransitGross,미착품,-,제 34 기,248488943623,제 33 기,128424384906,제 32 기,610644026928,40,
23,20170331003881,11011,2016,00261285,BS,재무상태표,dart_OtherInventoriesGross,기타재고,-,제 34 기,,제 33 기,,제 32 기,3629781538,42,
24,20170331003881,11011,2016,00261285,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 34 기,18725047915,제 33 기,2028125738,제 32 기,540574284,58,
25,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,유동비금융자산,-,제 34 기,1653539411849,제 33 기,3151845340657,제 32 기,2142627385067,59,
26,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,단기선급금,-,제 34 기,61956321738,제 33 기,106542826197,제 32 기,174164486663,60,
27,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,단기선급비용,-,제 34 기,125002511442,제 33 기,12570798697,제 32 기,14813180639,61,
28,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,기타유동비금융자산,-,제 34 기,1466580578669,제 33 기,3032731715763,제 32 기,1953649717765,62,
29,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,매각예정 또는 소유주 분배예정자산집단,-,제 34 기,105342267604,제 33 기,105390944691,제 32 기,104983149674,64,
30,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,매각예정자산집단,-,제 34 기,105342267604,제 33 기,105390944691,제 32 기,104983149674,65,
31,20170331003881,11011,2016,00261285,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 34 기,31383962199330,제 33 기,32370765774534,제 32 기,32980692386611,81,
32,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,비유동금융자산,-,제 34 기,558775539315,제 33 기,620895918131,제 32 기,712085416697,82,
33,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,비유동당기손익인식금융자산,-,제 34 기,103247276,제 33 기,22510326915,제 32 기,46406552669,83,
34,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,비유동매도가능금융자산,-,제 34 기,313553241514,제 33 기,424168988173,제 32 기,492874867320,84,
35,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,비유동만기보유금융자산,-,제 34 기,1336600000,제 33 기,1483724230,제 32 기,1665754230,85,
36,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,장기대여금,-,제 34 기,247241830783,제 33 기,201576831283,제 32 기,199569447820,86,
37,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,대손충당금,-,제 34 기,28475831258,제 33 기,35070606110,제 32 기,28475831258,87,
38,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,장기금융상품,-,제 34 기,16451000,제 33 기,15954500,제 32 기,,88,
39,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,비유동파생상품자산,-,제 34 기,,제 33 기,1210699140,제 32 기,44625916,89,
40,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,기타비유동금융자산,-,제 34 기,25000000000,제 33 기,5000000000,제 32 기,,90,
41,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,장기매출채권 및 기타채권,-,제 34 기,228058628416,제 33 기,181669705952,제 32 기,195743204106,91,
42,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,장기매출채권,-,제 34 기,2385647149,제 33 기,2507814650,제 32 기,3268305458,92,
43,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,현재가치할인차금,-,제 34 기,186387464,제 33 기,199453448,제 32 기,239153631,93,
44,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,대손충당금,-,제 34 기,563091330,제 33 기,563091330,제 32 기,1556992920,94,
45,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,장기미수금,-,제 34 기,140121956820,제 33 기,101040511184,제 32 기,116008199659,95,
46,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,장기보증금,-,제 34 기,86300503241,제 33 기,78883924896,제 32 기,78262845540,96,
47,20170331003881,11011,2016,00261285,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 34 기,26042367625555,제 33 기,26455473855405,제 32 기,25032074893319,97,
48,20170331003881,11011,2016,00261285,BS,재무상태표,dart_LandGross,토지,-,제 34 기,2900770206693,제 33 기,2874087598635,제 32 기,2537032645715,98,
49,20170331003881,11011,2016,00261285,BS,재무상태표,dart_BuildingsGross,건물,-,제 34 기,1095388199861,제 33 기,1063495215717,제 32 기,989267914711,101,
50,20170331003881,11011,2016,00261285,BS,재무상태표,dart_GovernmentGrantsBuildingsGross,정부보조금,-,제 34 기,2168417109,제 33 기,2257832487,제 32 기,2347247868,102,
51,20170331003881,11011,2016,00261285,BS,재무상태표,dart_AccumulatedDepreciationBuildingsGross,감가상각누계액,-,제 34 기,327478886405,제 33 기,290576979654,제 32 기,255810111321,103,
52,20170331003881,11011,2016,00261285,BS,재무상태표,dart_AccumulatedImpairmentLossBuildingsGross,손상차손누계액,-,제 34 기,515687265,제 33 기,,제 32 기,,104,
53,20170331003881,11011,2016,00261285,BS,재무상태표,dart_StructureGross,구축물,-,제 34 기,5707464216786,제 33 기,5477326659810,제 32 기,5007405885709,105,
54,20170331003881,11011,2016,00261285,BS,재무상태표,dart_GovernmentGrantsStructureGross,정부보조금,-,제 34 기,1971321053,제 33 기,2068616232,제 32 기,2174704663,106,
55,20170331003881,11011,2016,00261285,BS,재무상태표,dart_AccumulatedDepreciationStructureGross,감가상각누계액,-,제 34 기,1549417618886,제 33 기,1330694563759,제 32 기,1128111450932,107,
56,20170331003881,11011,2016,00261285,BS,재무상태표,dart_AccumulatedImpairmentLossStructureGross,손상차손누계액,-,제 34 기,802088218,제 33 기,,제 32 기,,108,
57,20170331003881,11011,2016,00261285,BS,재무상태표,dart_MachineryGross,기계장치,-,제 34 기,14406400487357,제 33 기,12770581640269,제 32 기,10480526405921,109,
58,20170331003881,11011,2016,00261285,BS,재무상태표,dart_GovernmentGrantsMachineryGross,정부보조금,-,제 34 기,133495320258,제 33 기,139066770349,제 32 기,132522963579,110,
59,20170331003881,11011,2016,00261285,BS,재무상태표,dart_AccumulatedDepreciationMachineryGross,감가상각누계액,-,제 34 기,4010907634031,제 33 기,3447557708155,제 32 기,2989808776805,111,
60,20170331003881,11011,2016,00261285,BS,재무상태표,dart_AccumulatedImpairmentLossMachineryGross,손상차손누계액,-,제 34 기,329769013317,제 33 기,41027614484,제 32 기,,112,
61,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,전산설비,-,제 34 기,77497746312,제 33 기,75734215048,제 32 기,65310375728,113,
62,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,정부보조금,-,제 34 기,131824458,제 33 기,160592966,제 32 기,170268786,114,
63,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,감가상각누계액,-,제 34 기,62250854990,제 33 기,57983967313,제 32 기,52581368308,115,
64,20170331003881,11011,2016,00261285,BS,재무상태표,-표준계정코드 미사용-,손상차손누계액,-,제 34 기,385760040,제 33 기,,제 32 기,,116,
65,20170331003881,11011,2016,00261285,BS,재무상태표,dart_VehiclesGross,차량운반구,-,제 34 기,34881752946,제 33 기,33805661129,제 32 기,34310123546,117,
66,20170331003881,11011,2016,00261285,BS,재무상태표,dart_GovernmentGrantsVehiclesGross,정부보조금,-,제 34 기,1883334,제 33 기,,제 32 기,,118,
