,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20170331000466,11011,2016,00362238,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 17 기,370471048757,제 16 기,366673401442,제 15 기,414669129890,1,
1,20170331000466,11011,2016,00362238,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 17 기,47983608500,제 16 기,41358281073,제 15 기,40146235277,2,
2,20170331000466,11011,2016,00362238,BS,재무상태표,-표준계정코드 미사용-,단기금융상품,-,제 17 기,15656915050,제 16 기,32148096861,제 15 기,41965527856,13,
3,20170331000466,11011,2016,00362238,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권,-,제 17 기,147479725534,제 16 기,143210034491,제 15 기,164609086945,14,
4,20170331000466,11011,2016,00362238,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타채권,-,제 17 기,1994429730,제 16 기,4346819251,제 15 기,9929934720,28,
5,20170331000466,11011,2016,00362238,BS,재무상태표,-표준계정코드 미사용-,미청구공사,-,제 17 기,17046858108,제 16 기,20948597891,제 15 기,19660280378,36,
6,20170331000466,11011,2016,00362238,BS,재무상태표,ifrs_Inventories,재고자산,-,제 17 기,119834479620,제 16 기,110508754194,제 15 기,128148645910,37,
7,20170331000466,11011,2016,00362238,BS,재무상태표,-표준계정코드 미사용-,기타금융자산,-,제 17 기,373208142,제 16 기,217431440,제 15 기,773219049,54,
8,20170331000466,11011,2016,00362238,BS,재무상태표,ifrs_OtherCurrentNonfinancialAssets,기타유동비금융자산,-,제 17 기,18807785527,제 16 기,13935386241,제 15 기,9436199755,55,
9,20170331000466,11011,2016,00362238,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 17 기,1294038546,제 16 기,,제 15 기,,56,
10,20170331000466,11011,2016,00362238,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 17 기,543654231895,제 16 기,489915650865,제 15 기,485021443887,64,
11,20170331000466,11011,2016,00362238,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 17 기,454483049872,제 16 기,398811276172,제 15 기,395159084550,65,
12,20170331000466,11011,2016,00362238,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 17 기,175754669,제 16 기,358512134,제 15 기,364378210,105,
13,20170331000466,11011,2016,00362238,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 17 기,76098102461,제 16 기,79133098006,제 15 기,79912427157,106,
