,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 60 기,913745074012,제 59 기,904239910989,제 58 기,899828893581,1,
1,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 60 기,117301702235,제 59 기,118299167791,제 58 기,169790326561,2,
2,20180921000363,11011,2017,00103006,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,-,제 60 기,16227569954,제 59 기,11775103636,제 58 기,10678745445,3,
3,20180921000363,11011,2017,00103006,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 60 기,422373912165,제 59 기,432946476895,제 58 기,374855783752,4,
4,20180921000363,11011,2017,00103006,BS,재무상태표,dart_ShortTermOtherReceivables,기타수취채권,-,제 60 기,25044604235,제 59 기,20957799312,제 58 기,14482880004,5,
5,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동금융자산,-,제 60 기,31776105604,제 59 기,21683233905,제 58 기,12636194352,6,
6,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_Inventories,재고자산,-,제 60 기,272182197412,제 59 기,270542639258,제 58 기,296212881747,7,
7,20180921000363,11011,2017,00103006,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 60 기,24357759439,제 59 기,22329180820,제 58 기,20112912738,8,
8,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 60 기,4481222968,제 59 기,5706309372,제 58 기,1059168982,9,
9,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 60 기,1486812960450,제 59 기,1548852426818,제 58 기,1525957923681,10,
10,20180921000363,11011,2017,00103006,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,-,제 60 기,9414910,제 59 기,7358500,제 58 기,6857200,11,
11,20180921000363,11011,2017,00103006,BS,재무상태표,dart_LongTermLeaseholdDeposits,기타수취채권,-,제 60 기,6440154348,제 59 기,8536042681,제 58 기,11338602663,12,
12,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 60 기,17830014606,제 59 기,37375564011,제 58 기,44221694028,13,
13,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 60 기,1017617388209,제 59 기,1074046997802,제 58 기,1091844201810,14,
14,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 60 기,18697551257,제 59 기,22741098100,제 58 기,16252501024,15,
15,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_InvestmentsInAssociates,관계기업에 대한 투자자산,-,제 60 기,252989962126,제 59 기,236733177047,제 58 기,221245104662,16,
16,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 60 기,107026093017,제 59 기,101179238353,제 58 기,71718944093,17,
17,20180921000363,11011,2017,00103006,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 60 기,65299951141,제 59 기,66025386338,제 58 기,67543558428,18,
18,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 60 기,902430836,제 59 기,2207563986,제 58 기,1786459773,19,
19,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_Assets,자산총계,-,제 60 기,2400558034462,제 59 기,2453092337807,제 58 기,2425786817262,20,
20,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 60 기,714478662963,제 59 기,733876297186,제 58 기,725053820777,22,
21,20180921000363,11011,2017,00103006,BS,재무상태표,dart_ShortTermTradePayables,단기매입채무,-,제 60 기,151362444623,제 59 기,150269231117,제 58 기,134685882836,23,
22,20180921000363,11011,2017,00103006,BS,재무상태표,dart_ShortTermOtherPayables,기타지급채무,-,제 60 기,72679638984,제 59 기,61491417316,제 58 기,76830939786,24,
23,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 60 기,385080764346,제 59 기,418717083432,제 58 기,465816262330,25,
24,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 60 기,72470833848,제 59 기,68667679398,제 58 기,17290079051,26,
25,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 60 기,,제 59 기,,제 58 기,129682724,27,
26,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 60 기,3702652492,제 59 기,1323268730,제 58 기,5151232242,28,
27,20180921000363,11011,2017,00103006,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 60 기,29182328670,제 59 기,33407617193,제 58 기,25149741808,29,
28,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 60 기,227780147603,제 59 기,236882713133,제 58 기,244704410880,30,
29,20180921000363,11011,2017,00103006,BS,재무상태표,dart_LongTermOtherGuaranteeDepositReceivedGross,기타지급채무,-,제 60 기,13625510190,제 59 기,9138154876,제 58 기,3998085821,31,
30,20180921000363,11011,2017,00103006,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 60 기,68566146851,제 59 기,90982749101,제 58 기,94091105258,32,
31,20180921000363,11011,2017,00103006,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여부채,-,제 60 기,1233191344,제 59 기,1532983374,제 58 기,5428563538,33,
32,20180921000363,11011,2017,00103006,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 60 기,2252480154,제 59 기,2403518995,제 58 기,1706257552,34,
33,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 60 기,142102819064,제 59 기,132825306787,제 58 기,139480398711,35,
34,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 60 기,942258810566,제 59 기,970759010319,제 58 기,969758231657,36,
35,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 60 기,1365648924611,제 59 기,1384952710830,제 58 기,1356049150992,38,
36,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 60 기,18000000000,제 59 기,18000000000,제 58 기,18000000000,39,
37,20180921000363,11011,2017,00103006,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 60 기,11577493358,제 59 기,11577493358,제 58 기,8580313111,40,
38,20180921000363,11011,2017,00103006,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 60 기,-61227791322,제 59 기,-22193361325,제 58 기,-15313278207,41,
39,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금(결손금),-,제 60 기,1397299222575,제 59 기,1377568578797,제 58 기,1344782116088,42,
40,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 60 기,92650299285,제 59 기,97380616658,제 58 기,99979434613,43,
41,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_Equity,자본총계,-,제 60 기,1458299223896,제 59 기,1482333327488,제 58 기,1456028585605,44,
42,20180921000363,11011,2017,00103006,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 60 기,2400558034462,제 59 기,2453092337807,제 58 기,2425786817262,45,
