,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180330003169,11011,2017,00260383,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 49 기,411658107119,제 48 기,428271449863,제 47 기,410453730577,1,
1,20180330003169,11011,2017,00260383,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 49 기,9696045907,제 48 기,87046624159,제 47 기,134354790299,2,
2,20180330003169,11011,2017,00260383,BS,재무상태표,dart_CurrentFinancialAssetDesignationAsAtFairValueThroughProfitOrLoss,유동당기손익인식지정금융자산,-,제 49 기,,제 48 기,10012519907,제 47 기,,3,
3,20180330003169,11011,2017,00260383,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 49 기,222956411295,제 48 기,190294707461,제 47 기,144408045229,4,
4,20180330003169,11011,2017,00260383,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 49 기,2970197666,제 48 기,2184981593,제 47 기,2941246601,5,
5,20180330003169,11011,2017,00260383,BS,재무상태표,ifrs_Inventories,재고자산,-,제 49 기,174202030351,제 48 기,138732616743,제 47 기,128749128348,6,
6,20180330003169,11011,2017,00260383,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 49 기,,제 48 기,,제 47 기,520100,7,
7,20180330003169,11011,2017,00260383,BS,재무상태표,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,-,제 49 기,1833421900,제 48 기,,제 47 기,,8,
8,20180330003169,11011,2017,00260383,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 49 기,1558922321984,제 48 기,1335371804304,제 47 기,1118610327332,9,
9,20180330003169,11011,2017,00260383,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,비유동매도가능금융자산,-,제 49 기,83967685,제 48 기,2085760826,제 47 기,2114004441,10,
10,20180330003169,11011,2017,00260383,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 49 기,3179484250,제 48 기,2928636690,제 47 기,2811358050,11,
11,20180330003169,11011,2017,00260383,BS,재무상태표,ifrs_InvestmentsInSubsidiariesJointVenturesAndAssociates,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",-,제 49 기,139947987549,제 48 기,137887037664,제 47 기,133199517663,12,
