,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 25 기,142505352875,제 24 기,133589039019,제 23 기,109569741171,1,
1,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 25 기,21744676017,제 24 기,33452616690,제 23 기,12612706225,2,
2,20180402004470,11011,2017,00219574,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 25 기,60850191971,제 24 기,57384708566,제 23 기,32155463872,3,
3,20180402004470,11011,2017,00219574,BS,재무상태표,-표준계정코드 미사용-,단기금융자산,-,제 25 기,4315663216,제 24 기,9785165865,제 23 기,43598604448,4,
4,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_Inventories,재고자산,-,제 25 기,40442117546,제 24 기,26291733592,제 23 기,18240831490,5,
5,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 25 기,157765121,제 24 기,317400,제 23 기,101060,6,
6,20180402004470,11011,2017,00219574,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 25 기,14994939004,제 24 기,6674496906,제 23 기,2962034076,7,
7,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 25 기,598307616121,제 24 기,537118579749,제 23 기,434993174408,8,
8,20180402004470,11011,2017,00219574,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융자산,-,제 25 기,9317954825,제 24 기,7740590980,제 23 기,5010456596,9,
9,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_InvestmentsInAssociates,관계기업에 대한 투자자산,-,제 25 기,262582780748,제 24 기,261944650724,제 23 기,231571249597,10,
10,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 25 기,291321527741,제 24 기,234631745129,제 23 기,173433884740,11,
11,20180402004470,11011,2017,00219574,BS,재무상태표,-표준계정코드 미사용-,무형자산,-,제 25 기,25182758832,제 24 기,24556268113,제 23 기,19383311219,12,
12,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 25 기,9531633367,제 24 기,7968099375,제 23 기,5467887226,13,
13,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 25 기,370960608,제 24 기,277225428,제 23 기,126385030,14,
14,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_Assets,자산총계,-,제 25 기,740812968996,제 24 기,670707618768,제 23 기,544562915579,15,
15,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 25 기,291685121053,제 24 기,155186420925,제 23 기,120108313570,17,
16,20180402004470,11011,2017,00219574,BS,재무상태표,dart_ShortTermTradePayables,매입채무,-,제 25 기,48062060863,제 24 기,38227679641,제 23 기,27866483242,18,
17,20180402004470,11011,2017,00219574,BS,재무상태표,-표준계정코드 미사용-,단기금융부채,-,제 25 기,223072414598,제 24 기,105478191702,제 23 기,87177250273,19,
18,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 25 기,963746357,제 24 기,5082851297,제 23 기,2651366206,20,
19,20180402004470,11011,2017,00219574,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 25 기,19586899235,제 24 기,6397698285,제 23 기,2413213849,21,
20,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 25 기,105450048575,제 24 기,168873497620,제 23 기,99042783733,22,
21,20180402004470,11011,2017,00219574,BS,재무상태표,-표준계정코드 미사용-,장기금융부채,-,제 25 기,90414127574,제 24 기,155155077307,제 23 기,89209117500,23,
22,20180402004470,11011,2017,00219574,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여부채,-,제 25 기,14421908674,제 24 기,13053135135,제 23 기,8595689549,24,
23,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 25 기,614012327,제 24 기,665285178,제 23 기,1237976684,25,
24,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 25 기,397135169628,제 24 기,324059918545,제 23 기,219151097303,26,
25,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 25 기,288840942290,제 24 기,290224896626,제 23 기,279288509083,28,
26,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 25 기,4801960500,제 24 기,4801960500,제 23 기,4801960500,29,
27,20180402004470,11011,2017,00219574,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 25 기,236461276053,제 24 기,244866425382,제 23 기,244861867747,30,
28,20180402004470,11011,2017,00219574,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 25 기,-43667292878,제 24 기,-43590903968,제 23 기,-43619397031,31,
29,20180402004470,11011,2017,00219574,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 25 기,-2941126848,제 24 기,-1668799106,제 23 기,1152186929,32,
30,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금,-,제 25 기,94186125463,제 24 기,85816213818,제 23 기,72091890938,33,
31,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 25 기,54836857078,제 24 기,56422803597,제 23 기,46123309193,34,
32,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_Equity,자본총계,-,제 25 기,343677799368,제 24 기,346647700223,제 23 기,325411818276,35,
33,20180402004470,11011,2017,00219574,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 25 기,740812968996,제 24 기,670707618768,제 23 기,544562915579,36,
34,20180402004470,11011,2017,00219574,CIS,포괄손익계산서,ifrs_Revenue,매출액,-,제 25 기,298287327227,제 24 기,266924996312,제 23 기,199869310099,0,
35,20180402004470,11011,2017,00219574,CIS,포괄손익계산서,ifrs_CostOfSales,매출원가,-,제 25 기,231586382274,제 24 기,204118750494,제 23 기,159245570940,1,
36,20180402004470,11011,2017,00219574,CIS,포괄손익계산서,ifrs_GrossProfit,매출총이익,-,제 25 기,66700944953,제 24 기,62806245818,제 23 기,40623739159,2,
37,20180402004470,11011,2017,00219574,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 25 기,56565754343,제 24 기,42648073071,제 23 기,29364399798,3,
38,20180402004470,11011,2017,00219574,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익,-,제 25 기,10135190610,제 24 기,20158172747,제 23 기,11259339361,4,
