,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 6 기,365921200622,제 5 기,264054334356,제 4 기,185567942093,1,
1,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 6 기,14278103046,제 5 기,26904682970,제 4 기,16221874187,2,
2,20180330001710,11011,2017,00939331,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 6 기,68362907687,제 5 기,3975300000,제 4 기,3150000000,3,
3,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 6 기,160534670949,제 5 기,128363686254,제 4 기,90826906261,4,
4,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동금융자산,-,제 6 기,38868595,제 5 기,1043533249,제 4 기,25046972600,5,
5,20180330001710,11011,2017,00939331,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 6 기,16672736088,제 5 기,17691994420,제 4 기,4513871581,6,
6,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_Inventories,재고자산,-,제 6 기,105713906041,제 5 기,86075137463,제 4 기,45808317464,7,
7,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 6 기,320008216,제 5 기,,제 4 기,,8,
8,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 6 기,302627352904,제 5 기,228873773156,제 4 기,158728331228,9,
9,20180330001710,11011,2017,00939331,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,-,제 6 기,3000447050,제 5 기,2765202490,제 4 기,2720182461,10,
10,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 6 기,57972312072,제 5 기,40455633755,제 4 기,9622600203,11,
11,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 6 기,236207003634,제 5 기,184945249423,제 4 기,145845456205,12,
12,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 6 기,4301672228,제 5 기,115574263,제 4 기,89234263,13,
13,20180330001710,11011,2017,00939331,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 6 기,90720102,제 5 기,69940000,제 4 기,69940000,14,
14,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 6 기,1055197818,제 5 기,522173225,제 4 기,380918096,15,
15,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_Assets,자산총계,-,제 6 기,668548553526,제 5 기,492928107512,제 4 기,344296273321,16,
16,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 6 기,211960057752,제 5 기,196167570894,제 4 기,114630189296,18,
17,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 6 기,111798942912,제 5 기,114490842019,제 4 기,73930466288,19,
18,20180330001710,11011,2017,00939331,BS,재무상태표,-표준계정코드 미사용-,차입금,-,제 6 기,78732263427,제 5 기,58342876599,제 4 기,24847128439,20,
19,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 6 기,6194243662,제 5 기,9464381663,제 4 기,8294841012,21,
20,20180330001710,11011,2017,00939331,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 6 기,15234607751,제 5 기,13869470613,제 4 기,7557753557,22,
21,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 6 기,123951953088,제 5 기,9073680345,제 4 기,8982404448,23,
22,20180330001710,11011,2017,00939331,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 6 기,4265867713,제 5 기,4113429095,제 4 기,4790363684,24,
23,20180330001710,11011,2017,00939331,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타비유동채무,-,제 6 기,119253920681,제 5 기,4777570865,제 4 기,4138640764,25,
24,20180330001710,11011,2017,00939331,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 6 기,108000000,제 5 기,182680385,제 4 기,53400000,26,
25,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 6 기,324164694,제 5 기,,제 4 기,,27,
26,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 6 기,335912010840,제 5 기,205241251239,제 4 기,123612593744,28,
27,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 6 기,305131213923,제 5 기,269872948841,제 4 기,220683679577,30,
28,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 6 기,10552230500,제 5 기,10550075500,제 4 기,10550075500,31,
29,20180330001710,11011,2017,00939331,BS,재무상태표,dart_IssuedCapitalOfCommonStock,보통주자본금,-,제 6 기,10552230500,제 5 기,10550075500,제 4 기,10550075500,32,
30,20180330001710,11011,2017,00939331,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 6 기,116357993281,제 5 기,116260583576,제 4 기,116260583576,33,
31,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_SharePremium,주식발행초과금,-,제 6 기,115355190649,제 5 기,115249693826,제 4 기,115249693826,34,
32,20180330001710,11011,2017,00939331,BS,재무상태표,dart_OtherCapitalSurplus,기타자본잉여금,-,제 6 기,1002802632,제 5 기,1010889750,제 4 기,1010889750,35,
33,20180330001710,11011,2017,00939331,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 6 기,-2434272994,제 5 기,1859013778,제 4 기,195035255,36,
34,20180330001710,11011,2017,00939331,BS,재무상태표,dart_GainsValuationAvailableForSaleFinancialAssets,매도가능금융자산평가이익,-,제 6 기,180727,제 5 기,180727,제 4 기,180727,37,
35,20180330001710,11011,2017,00939331,BS,재무상태표,dart_GainsCumulativeEffectForeignCurrencyTranslation,해외사업환산손익,-,제 6 기,-2434453721,제 5 기,1858833051,제 4 기,194854528,38,
36,20180330001710,11011,2017,00939331,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금(결손금),-,제 6 기,180655263136,제 5 기,141203275987,제 4 기,93677985246,39,
