,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 75 기,58316551218,제 74 기,79510402844,제 73 기,301273835799,1,
1,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 75 기,34458089918,제 74 기,54846798229,제 73 기,70067955768,2,
2,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 75 기,15868143163,제 74 기,14355857810,제 73 기,150485923280,3,
3,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,금융자산,-,제 75 기,2391422000,제 74 기,5091422000,제 73 기,3975822000,4,
4,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_Inventories,재고자산,-,제 75 기,5374366520,제 74 기,4933797673,제 73 기,76149384832,5,
5,20180402001967,11011,2017,00146083,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 75 기,224529617,제 74 기,282527132,제 73 기,594749919,6,
6,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 75 기,216522166721,제 74 기,124577445189,제 73 기,404364087428,7,
7,20180402001967,11011,2017,00146083,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권및기타채권,-,제 75 기,576505379,제 74 기,657234609,제 73 기,8692553635,8,
8,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,비유동금융자산,-,제 75 기,6384096700,제 74 기,18077334500,제 73 기,8186128500,9,
9,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 75 기,49673641633,제 74 기,49461506155,제 73 기,311205912044,10,
10,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 75 기,39602425813,제 74 기,40046709816,제 73 기,,11,
11,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 75 기,1287057242,제 74 기,1317569863,제 73 기,61474755551,12,
12,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,지분법적용 투자지분,-,제 75 기,117484779644,제 74 기,13836744482,제 73 기,14066958515,13,
13,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 75 기,1513660310,제 74 기,1180345764,제 73 기,737779183,14,
14,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_Assets,자산총계,-,제 75 기,274838717939,제 74 기,204087848033,제 73 기,705637923227,15,
15,20180402001967,11011,2017,00146083,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 75 기,81601751506,제 74 기,48925450492,제 73 기,203060463847,17,
