,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 65 기,353662840900,제 64 기,368924210893,제 63 기,337757265953,1,
1,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 65 기,107494652116,제 64 기,115579822578,제 63 기,108132860776,2,
2,20180813000640,11011,2017,00160843,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 65 기,27259605734,제 64 기,23702614434,제 63 기,4616429456,3,
3,20180813000640,11011,2017,00160843,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 65 기,85706099352,제 64 기,110259609625,제 63 기,92048491883,4,
4,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,기타수취채권,-,제 65 기,52098810968,제 64 기,36804228538,제 63 기,42780629813,5,
5,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_Inventories,재고자산,-,제 65 기,75018890438,제 64 기,76344777763,제 63 기,83459568037,6,
6,20180813000640,11011,2017,00160843,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 65 기,6084782292,제 64 기,6233157955,제 63 기,6501925282,7,
7,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 65 기,,제 64 기,,제 63 기,217360706,8,
8,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 65 기,640287879496,제 64 기,617864361381,제 63 기,646886445788,9,
9,20180813000640,11011,2017,00160843,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융자산,-,제 65 기,78236763,제 64 기,87012088,제 63 기,84036513,10,
10,20180813000640,11011,2017,00160843,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기기타수취채권,-,제 65 기,2079050747,제 64 기,1240315434,제 63 기,8439717389,11,
11,20180813000640,11011,2017,00160843,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 65 기,7891319441,제 64 기,8646759933,제 63 기,11919371557,12,
12,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_InvestmentsInAssociates,관계기업에 대한 투자자산,-,제 65 기,26851851578,제 64 기,34523654640,제 63 기,59100487540,13,
13,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 65 기,555566834586,제 64 기,547700934327,제 63 기,533140340401,14,
14,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 65 기,25827934295,제 64 기,25664845445,제 63 기,34197267491,15,
15,20180813000640,11011,2017,00160843,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 65 기,7259314697,제 64 기,839514,제 63 기,5224897,16,
16,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 65 기,14733337389,제 64 기,0,제 63 기,,17,
17,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_Assets,자산총계,-,제 65 기,993950720396,제 64 기,986788572274,제 63 기,984643711741,18,
18,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 65 기,145225195286,제 64 기,274231114801,제 63 기,244044784854,20,
19,20180813000640,11011,2017,00160843,BS,재무상태표,dart_ShortTermTradePayables,매입채무,-,제 65 기,33883222897,제 64 기,44199478895,제 63 기,44271639860,21,
20,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 65 기,11286143187,제 64 기,15253525225,제 63 기,5218482053,22,
21,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 65 기,28689828733,제 64 기,124561869720,제 63 기,120707447631,23,
22,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,기타지급채무,-,제 65 기,35031327710,제 64 기,58430258319,제 63 기,51736650467,24,
23,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타금융부채,-,제 65 기,,제 64 기,12764108505,제 63 기,15337995831,25,
24,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 65 기,18273706906,제 64 기,4311661301,제 63 기,0,26,
25,20180813000640,11011,2017,00160843,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 65 기,13144033648,제 64 기,7659090931,제 63 기,4463917068,27,
26,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 65 기,4916932205,제 64 기,7051121905,제 63 기,2308651944,28,
27,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 65 기,392927579423,제 64 기,370640142188,제 63 기,486541435802,29,
28,20180813000640,11011,2017,00160843,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 65 기,315595985458,제 64 기,282487036992,제 63 기,399748737358,30,
29,20180813000640,11011,2017,00160843,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기기타지급채무,-,제 65 기,3597980663,제 64 기,3606161293,제 63 기,3657721258,31,
30,20180813000640,11011,2017,00160843,BS,재무상태표,dart_PostemploymentBenefitObligations,확정급여채무,-,제 65 기,72698726424,제 64 기,72978046145,제 63 기,63192668525,32,
31,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 65 기,,제 64 기,10616051053,제 63 기,19403401674,33,
32,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_NoncurrentProvisions,비유동충당부채,-,제 65 기,1034886878,제 64 기,952846705,제 63 기,538906987,34,
33,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 65 기,538152774709,제 64 기,644871256989,제 63 기,730586220656,35,
34,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 65 기,455797945687,제 64 기,341917315285,제 63 기,254057491085,37,
35,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 65 기,222555835000,제 64 기,222555835000,제 63 기,222555835000,38,
36,20180813000640,11011,2017,00160843,BS,재무상태표,dart_IssuedCapitalOfCommonStock,보통주자본금,-,제 65 기,221839160000,제 64 기,221839160000,제 63 기,221839160000,39,
37,20180813000640,11011,2017,00160843,BS,재무상태표,dart_IssuedCapitalOfPreferredStock,우선주자본금,-,제 65 기,716675000,제 64 기,716675000,제 63 기,716675000,40,
38,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_SharePremium,주식발행초과금,-,제 65 기,127328276294,제 64 기,127328276294,제 63 기,127328276294,41,
39,20180813000640,11011,2017,00160843,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 65 기,-72366835521,제 64 기,-73675709595,제 63 기,-70437842418,42,
40,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금(결손금),-,제 65 기,178280669914,제 64 기,65708913586,제 63 기,-25388777791,43,
41,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 65 기,0,제 64 기,0,제 63 기,0,44,
42,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_Equity,자본총계,-,제 65 기,455797945687,제 64 기,341917315285,제 63 기,254057491085,45,
43,20180813000640,11011,2017,00160843,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 65 기,993950720396,제 64 기,986788572274,제 63 기,984643711741,46,
44,20180813000640,11011,2017,00160843,IS,손익계산서,ifrs_Revenue,매출액,-,제 65 기,679737743507,제 64 기,773140180180,제 63 기,666594986583,0,
45,20180813000640,11011,2017,00160843,IS,손익계산서,dart_RevenueFromSaleOfGoodsProduct,제품매출액,-,제 65 기,661782393075,제 64 기,757092296228,제 63 기,646489914896,1,
46,20180813000640,11011,2017,00160843,IS,손익계산서,ifrs_OtherRevenue,기타매출액,-,제 65 기,17955350432,제 64 기,16047883952,제 63 기,20105071687,2,
47,20180813000640,11011,2017,00160843,IS,손익계산서,ifrs_CostOfSales,매출원가,-,제 65 기,426170592097,제 64 기,483129939120,제 63 기,436915515281,3,
48,20180813000640,11011,2017,00160843,IS,손익계산서,dart_CostOfSalesFromSaleOfGoodsProduct,제품매출원가,-,제 65 기,426170592097,제 64 기,483129939120,제 63 기,436915515281,4,
49,20180813000640,11011,2017,00160843,IS,손익계산서,ifrs_GrossProfit,매출총이익,-,제 65 기,253567151410,제 64 기,290010241060,제 63 기,229679471302,5,
50,20180813000640,11011,2017,00160843,IS,손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 65 기,110371983659,제 64 기,117582311375,제 63 기,104710656427,6,
51,20180813000640,11011,2017,00160843,IS,손익계산서,dart_SalariesWages,급여,-,제 65 기,24875162023,제 64 기,25249986235,제 63 기,21306745582,7,
52,20180813000640,11011,2017,00160843,IS,손익계산서,dart_ProvisionForSeveranceIndemnities,퇴직급여,-,제 65 기,2512519596,제 64 기,2713672276,제 63 기,2585947128,8,
53,20180813000640,11011,2017,00160843,IS,손익계산서,dart_EmployeeBenefits,복리후생비,-,제 65 기,3600954944,제 64 기,3167753524,제 63 기,3583290672,9,
54,20180813000640,11011,2017,00160843,IS,손익계산서,dart_TravelExpenses,여비교통비,-,제 65 기,814394995,제 64 기,735694692,제 63 기,710039346,10,
55,20180813000640,11011,2017,00160843,IS,손익계산서,dart_CommunicationExpenses,통신비,-,제 65 기,196642273,제 64 기,230337174,제 63 기,244038604,11,
56,20180813000640,11011,2017,00160843,IS,손익계산서,dart_ElectricPowerExpense,전력비,-,제 65 기,0,제 64 기,0,제 63 기,1291633,12,
57,20180813000640,11011,2017,00160843,IS,손익계산서,dart_TaxesDues,세금과공과,-,제 65 기,1275922737,제 64 기,867801687,제 63 기,1337937879,13,
58,20180813000640,11011,2017,00160843,IS,손익계산서,dart_SupplyExpenses,소모품비,-,제 65 기,282915099,제 64 기,227776478,제 63 기,258683142,14,
59,20180813000640,11011,2017,00160843,IS,손익계산서,dart_EngagementExpenses,업무추진비,-,제 65 기,630249030,제 64 기,778624551,제 63 기,1113209953,15,
60,20180813000640,11011,2017,00160843,IS,손익계산서,dart_AdvertisingExpenses,광고선전비,-,제 65 기,327362909,제 64 기,284480045,제 63 기,307820712,16,
61,20180813000640,11011,2017,00160843,IS,손익계산서,dart_FreightExpenses,운반보관료,-,제 65 기,903596353,제 64 기,1277744170,제 63 기,912889493,17,
62,20180813000640,11011,2017,00160843,IS,손익계산서,dart_Commissions,지급수수료,-,제 65 기,7319560843,제 64 기,7212317823,제 63 기,6046930657,18,
63,20180813000640,11011,2017,00160843,IS,손익계산서,dart_RentalExpenses,지급임차료,-,제 65 기,2072352541,제 64 기,2002462869,제 63 기,2061337691,19,
64,20180813000640,11011,2017,00160843,IS,손익계산서,dart_RepairExpenses,수선비,-,제 65 기,47725010,제 64 기,67059523,제 63 기,58824110,20,
65,20180813000640,11011,2017,00160843,IS,손익계산서,dart_VehicleMaintenanceExpenses,차량유지비,-,제 65 기,128984830,제 64 기,157791619,제 63 기,199258168,21,
66,20180813000640,11011,2017,00160843,IS,손익계산서,dart_PublicationExpenses,도서인쇄비,-,제 65 기,305888199,제 64 기,315094808,제 63 기,319138660,22,
67,20180813000640,11011,2017,00160843,IS,손익계산서,dart_TrainingExpenses,교육훈련비,-,제 65 기,427883929,제 64 기,534686412,제 63 기,673690973,23,
68,20180813000640,11011,2017,00160843,IS,손익계산서,dart_OrdinaryDevelopmentExpense,경상개발비,-,제 65 기,54427777207,제 64 기,53737523928,제 63 기,49406178834,24,
69,20180813000640,11011,2017,00160843,IS,손익계산서,dart_InsurancePremiums,보험료,-,제 65 기,125857581,제 64 기,131011437,제 63 기,145669609,25,
70,20180813000640,11011,2017,00160843,IS,손익계산서,dart_DepreciationExpense,감가상각비,-,제 65 기,853885369,제 64 기,804505071,제 63 기,974593834,26,
71,20180813000640,11011,2017,00160843,IS,손익계산서,dart_AmortisationExpense,무형자산상각비,-,제 65 기,6615097204,제 64 기,10292394558,제 63 기,10914752404,27,
72,20180813000640,11011,2017,00160843,IS,손익계산서,dart_BadDebtExpenses,대손상각비,-,제 65 기,-47691027,제 64 기,-25598723,제 63 기,-401999208,28,
73,20180813000640,11011,2017,00160843,IS,손익계산서,dart_ProductWarrantyExpensesRecovery,판매보증비,-,제 65 기,1133592821,제 64 기,5172996856,제 63 기,543835772,29,
74,20180813000640,11011,2017,00160843,IS,손익계산서,-표준계정코드 미사용-,해외지사비,-,제 65 기,1527998745,제 64 기,1632317405,제 63 기,1391931430,30,
75,20180813000640,11011,2017,00160843,IS,손익계산서,dart_ConferenceExpenses,회의비,-,제 65 기,13350448,제 64 기,13876957,제 63 기,14619349,31,
76,20180813000640,11011,2017,00160843,IS,손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 65 기,143195167751,제 64 기,172427929685,제 63 기,124968814875,32,
77,20180813000640,11011,2017,00160843,IS,손익계산서,ifrs_FinanceIncome,금융수익,-,제 65 기,23672426474,제 64 기,7379061267,제 63 기,2856827423,33,
78,20180813000640,11011,2017,00160843,IS,손익계산서,dart_InterestIncomeFinanceIncome,이자수익,-,제 65 기,1965805935,제 64 기,1651663307,제 63 기,1336143677,34,
