,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180330000861,11011,2017,00146269,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 60 기,354556977985,제 59 기,359937981813,제 58 기,341592824379,1,
1,20180330000861,11011,2017,00146269,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 60 기,25931893620,제 59 기,27698347202,제 58 기,13721104582,2,
2,20180330000861,11011,2017,00146269,BS,재무상태표,ifrs_Cash,현금,-,제 60 기,30479,제 59 기,2312481,제 58 기,2732215,3,
3,20180330000861,11011,2017,00146269,BS,재무상태표,ifrs_CashEquivalents,현금성자산,-,제 60 기,25931863141,제 59 기,27696034721,제 58 기,13718372367,4,
4,20180330000861,11011,2017,00146269,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동금융자산,-,제 60 기,178527381243,제 59 기,170474223582,제 58 기,168086553756,5,
5,20180330000861,11011,2017,00146269,BS,재무상태표,dart_CurrentFinancialAssetHeldForTrading,유동단기매매금융자산,-,제 60 기,135683163013,제 59 기,121406129813,제 58 기,165065553756,6,
6,20180330000861,11011,2017,00146269,BS,재무상태표,dart_CurrentFinancialAssetDesignationAsAtFairValueThroughProfitOrLoss,유동당기손익인식지정금융자산,-,제 60 기,42844218230,제 59 기,49068093769,제 58 기,3021000000,7,
7,20180330000861,11011,2017,00146269,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 60 기,59823664242,제 59 기,59552156908,제 58 기,56215425537,8,
8,20180330000861,11011,2017,00146269,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 60 기,55030493072,제 59 기,54535626686,제 58 기,47291828699,9,
9,20180330000861,11011,2017,00146269,BS,재무상태표,dart_AllowanceForDoubtfulAcccountShortTermTradeReceivable,대손충당금,-,제 60 기,872387736,제 59 기,521226868,제 58 기,185287939,10,
10,20180330000861,11011,2017,00146269,BS,재무상태표,dart_ShortTermOtherReceivables,단기미수금,-,제 60 기,2934168527,제 59 기,2565935245,제 58 기,3122769403,11,
11,20180330000861,11011,2017,00146269,BS,재무상태표,dart_AllowanceForDoubtfulAcccountShortTermOtherReceivables,대손충당금,-,제 60 기,114008946,제 59 기,114008946,제 58 기,114008946,12,
12,20180330000861,11011,2017,00146269,BS,재무상태표,dart_ShortTermAccruedIncome,단기미수수익,-,제 60 기,429793458,제 59 기,446027906,제 58 기,1076812230,13,
13,20180330000861,11011,2017,00146269,BS,재무상태표,dart_CurrentValueAddedTaxReceivables,부가가치세대급금,-,제 60 기,2045005867,제 59 기,2269202885,제 58 기,4271216366,14,
14,20180330000861,11011,2017,00146269,BS,재무상태표,dart_LeaseholdDeposits,단기임차보증금,-,제 60 기,0,제 59 기,0,제 58 기,20507724,15,
15,20180330000861,11011,2017,00146269,BS,재무상태표,dart_ShortTermLoans,단기대여금,-,제 60 기,370600000,제 59 기,370600000,제 58 기,731588000,16,
16,20180330000861,11011,2017,00146269,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 60 기,0,제 59 기,0,제 58 기,0,17,
17,20180330000861,11011,2017,00146269,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 60 기,2623968985,제 59 기,1991505340,제 58 기,3278502627,18,
18,20180330000861,11011,2017,00146269,BS,재무상태표,-표준계정코드 미사용-,단기선급금,-,제 60 기,2211593720,제 59 기,1734508415,제 58 기,3042220205,19,
19,20180330000861,11011,2017,00146269,BS,재무상태표,-표준계정코드 미사용-,단기선급비용,-,제 60 기,219592265,제 59 기,256996925,제 58 기,236282422,20,
20,20180330000861,11011,2017,00146269,BS,재무상태표,dart_CurrentEmissionRight,유동배출권,-,제 60 기,192783000,제 59 기,0,제 58 기,0,21,
21,20180330000861,11011,2017,00146269,BS,재무상태표,ifrs_Inventories,재고자산,-,제 60 기,87650069895,제 59 기,100221748781,제 58 기,100291237877,22,
22,20180330000861,11011,2017,00146269,BS,재무상태표,dart_RawMaterialsGross,원재료,-,제 60 기,8603670992,제 59 기,12413380153,제 58 기,23867195468,23,
23,20180330000861,11011,2017,00146269,BS,재무상태표,dart_MerchandiseGross,상품,-,제 60 기,28286082025,제 59 기,32380283799,제 58 기,30279985385,24,
24,20180330000861,11011,2017,00146269,BS,재무상태표,dart_AccumulatedImpairmentLossMerchandiseGross,평가충당금,-,제 60 기,226849414,제 59 기,67240571,제 58 기,78814035,25,
25,20180330000861,11011,2017,00146269,BS,재무상태표,dart_ProductionSuppliesGross,소모품,-,제 60 기,1174100907,제 59 기,984147678,제 58 기,1131462948,26,
26,20180330000861,11011,2017,00146269,BS,재무상태표,dart_WorkInProgressGross,재공품,-,제 60 기,2923746500,제 59 기,3142186043,제 58 기,2881684273,27,
27,20180330000861,11011,2017,00146269,BS,재무상태표,dart_FinishedGoodsGross,제품,-,제 60 기,23957361688,제 59 기,25018060042,제 58 기,21559082313,28,
28,20180330000861,11011,2017,00146269,BS,재무상태표,dart_AccumulatedImpairmentLossFinishedGoodsGross,평가충당금,-,제 60 기,768755909,제 59 기,101468443,제 58 기,111730699,29,
29,20180330000861,11011,2017,00146269,BS,재무상태표,dart_GoodsInTransitGross,미착품,-,제 60 기,23337392435,제 59 기,26046846027,제 58 기,20535070126,30,
30,20180330000861,11011,2017,00146269,BS,재무상태표,dart_ByProductGross,부산물,-,제 60 기,363320671,제 59 기,405554053,제 58 기,227302098,31,
