,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 49 기,146982464000000,제 48 기,141429704000000,제 47 기,124814725000000,1,
1,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 49 기,30545130000000,제 48 기,32111442000000,제 47 기,22636744000000,2,
2,20180402005019,11011,2017,00126380,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 49 기,49447696000000,제 48 기,52432411000000,제 47 기,44228800000000,3,
3,20180402005019,11011,2017,00126380,BS,재무상태표,-표준계정코드 미사용-,단기매도가능금융자산,-,제 49 기,3191375000000,제 48 기,3638460000000,제 47 기,4627530000000,4,
4,20180402005019,11011,2017,00126380,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 49 기,27695995000000,제 48 기,24279211000000,제 47 기,25168026000000,5,
5,20180402005019,11011,2017,00126380,BS,재무상태표,-표준계정코드 미사용-,미수금,-,제 49 기,4108961000000,제 48 기,3521197000000,제 47 기,3352663000000,6,
6,20180402005019,11011,2017,00126380,BS,재무상태표,-표준계정코드 미사용-,선급금,-,제 49 기,1753673000000,제 48 기,1439938000000,제 47 기,1706003000000,7,
7,20180402005019,11011,2017,00126380,BS,재무상태표,-표준계정코드 미사용-,선급비용,-,제 49 기,3835219000000,제 48 기,3502083000000,제 47 기,3170632000000,8,
8,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_Inventories,재고자산,-,제 49 기,24983355000000,제 48 기,18353503000000,제 47 기,18811794000000,9,
9,20180402005019,11011,2017,00126380,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 49 기,1421060000000,제 48 기,1315653000000,제 47 기,1035460000000,10,
10,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정분류자산,-,제 49 기,,제 48 기,835806000000,제 47 기,77073000000,11,
11,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 49 기,154769626000000,제 48 기,120744620000000,제 47 기,117364796000000,12,
12,20180402005019,11011,2017,00126380,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기매도가능금융자산,-,제 49 기,7752180000000,제 48 기,6804276000000,제 47 기,8332480000000,13,
13,20180402005019,11011,2017,00126380,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 49 기,106751000000,제 48 기,,제 47 기,,14,
14,20180402005019,11011,2017,00126380,BS,재무상태표,-표준계정코드 미사용-,관계기업 및 공동기업 투자,-,제 49 기,6802351000000,제 48 기,5837884000000,제 47 기,5276348000000,15,
15,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 49 기,111665648000000,제 48 기,91473041000000,제 47 기,86477110000000,16,
16,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_InvestmentProperty,무형자산,-,제 49 기,14760483000000,제 48 기,5344020000000,제 47 기,5396311000000,17,
17,20180402005019,11011,2017,00126380,BS,재무상태표,dart_LongTermPrepaidExpenses,장기선급비용,-,제 49 기,3434375000000,제 48 기,3834831000000,제 47 기,4294401000000,18,
18,20180402005019,11011,2017,00126380,BS,재무상태표,dart_DepositsForSeveranceInsurance,순확정급여자산,-,제 49 기,825892000000,제 48 기,557091000000,제 47 기,,19,
19,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 49 기,5061687000000,제 48 기,5321450000000,제 47 기,5589108000000,20,
20,20180402005019,11011,2017,00126380,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 49 기,4360259000000,제 48 기,1572027000000,제 47 기,1999038000000,21,
21,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_Assets,자산총계,-,제 49 기,301752090000000,제 48 기,262174324000000,제 47 기,242179521000000,22,
22,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 49 기,67175114000000,제 48 기,54704095000000,제 47 기,50502909000000,24,
23,20180402005019,11011,2017,00126380,BS,재무상태표,-표준계정코드 미사용-,매입채무,-,제 49 기,9083907000000,제 48 기,6485039000000,제 47 기,6187291000000,25,
24,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 49 기,15767619000000,제 48 기,12746789000000,제 47 기,11155425000000,26,
25,20180402005019,11011,2017,00126380,BS,재무상태표,-표준계정코드 미사용-,미지급금,-,제 49 기,13899633000000,제 48 기,11525910000000,제 47 기,8864378000000,27,
26,20180402005019,11011,2017,00126380,BS,재무상태표,-표준계정코드 미사용-,선수금,-,제 49 기,1249174000000,제 48 기,1358878000000,제 47 기,1343432000000,28,
27,20180402005019,11011,2017,00126380,BS,재무상태표,-표준계정코드 미사용-,예수금,-,제 49 기,793582000000,제 48 기,685028000000,제 47 기,992733000000,29,
28,20180402005019,11011,2017,00126380,BS,재무상태표,-표준계정코드 미사용-,미지급비용,-,제 49 기,13996273000000,제 48 기,12527300000000,제 47 기,11628739000000,30,
29,20180402005019,11011,2017,00126380,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 49 기,7408348000000,제 48 기,2837353000000,제 47 기,3401625000000,31,
30,20180402005019,11011,2017,00126380,BS,재무상태표,-표준계정코드 미사용-,유동성장기부채,-,제 49 기,278619000000,제 48 기,1232817000000,제 47 기,221548000000,32,
31,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 49 기,4294820000000,제 48 기,4597417000000,제 47 기,6420603000000,33,
32,20180402005019,11011,2017,00126380,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 49 기,403139000000,제 48 기,351176000000,제 47 기,287135000000,34,
33,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,매각예정분류부채,-,제 49 기,,제 48 기,356388000000,제 47 기,,35,
34,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 49 기,20085548000000,제 48 기,14507196000000,제 47 기,12616807000000,36,
35,20180402005019,11011,2017,00126380,BS,재무상태표,dart_BondsIssued,사채,-,제 49 기,953361000000,제 48 기,58542000000,제 47 기,1230448000000,37,
36,20180402005019,11011,2017,00126380,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 49 기,1814446000000,제 48 기,1244238000000,제 47 기,266542000000,38,
37,20180402005019,11011,2017,00126380,BS,재무상태표,dart_LongTermOtherPayablesGross,장기미지급금,-,제 49 기,2043729000000,제 48 기,3317054000000,제 47 기,3041687000000,39,
38,20180402005019,11011,2017,00126380,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 49 기,389922000000,제 48 기,173656000000,제 47 기,358820000000,40,
39,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 49 기,11710781000000,제 48 기,7293514000000,제 47 기,5154792000000,41,
40,20180402005019,11011,2017,00126380,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기충당부채,-,제 49 기,464324000000,제 48 기,358126000000,제 47 기,522378000000,42,
41,20180402005019,11011,2017,00126380,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 49 기,2708985000000,제 48 기,2062066000000,제 47 기,2042140000000,43,
42,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 49 기,87260662000000,제 48 기,69211291000000,제 47 기,63119716000000,44,
43,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업 소유주지분,-,제 49 기,207213416000000,제 48 기,186424328000000,제 47 기,172876767000000,46,
44,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 49 기,897514000000,제 48 기,897514000000,제 47 기,897514000000,47,
45,20180402005019,11011,2017,00126380,BS,재무상태표,dart_IssuedCapitalOfPreferredStock,우선주자본금,-,제 49 기,119467000000,제 48 기,119467000000,제 47 기,119467000000,48,
46,20180402005019,11011,2017,00126380,BS,재무상태표,dart_IssuedCapitalOfCommonStock,보통주자본금,-,제 49 기,778047000000,제 48 기,778047000000,제 47 기,778047000000,49,
47,20180402005019,11011,2017,00126380,BS,재무상태표,ifrs_SharePremium,주식발행초과금,-,제 49 기,4403893000000,제 48 기,4403893000000,제 47 기,4403893000000,50,
