,과 목,제 49 기,제 48 기,제 47 기
0,자 산,nan0,nan0,nan0
1,I. 현금및현금성자산,13744489699040,20060287211630,3910208243830
2,II. 당기손익인식금융자산,302675328234910,331877918048580,193161838642620
3,III. 매도가능금융자산,88385201073540,87397167506820,24707563111950
4,IV. 대여금및수취채권,469234254784590,100802350495710,55165368541340
5,V. 관계기업투자자산,6730558616300,4151539733820,3571497421180
6,Ⅵ. 유형자산,1985764419000,3477560155290,109186312990
7,Ⅶ. 투자부동산,11405996278510,11150863663290,1165304137270
8,VIII. 무형자산,6500536328280,6558813508310,266424447490
9,IX. 기타자산,1139106235790,1207068284570,1918182529810
10,X. 당기법인세자산,17853347150,1216314802070,184642689660
11,XI. 이연법인세자산,4446903998420,4777876201180,-0
12,자 산 총 계,906265993015530,572677759611270,284160216078140
13,부 채,nan0,nan0,nan0
14,I. 당기손익인식금융부채,174324606377750,220490936364160,96075401677670
15,II. 예수부채,51188772304890,41250752979900,9451348695450
16,III. 차입부채,493901961849890,189468939142010,97151706129860
17,IV. 발행사채,30854966720570,27256250175600,14960656552950
18,V. 충당부채,203770523320,151521165220,50193027250
19,VI. 기타부채,81711356391840,27376013973240,31363049552360
20,VII. 당기법인세부채,227820137680,25698742000,43870583350
21,VIII. 이연법인세부채,7681413230,-0,543617160460
22,부 채 총 계,832420935719170,506020112542130,249639843379350
23,자 본,nan0,nan0,nan0
24,I. 자본금,34019607900000,34019607900000,16980775850000
25,II. 자본잉여금,21646492281720,18132650004590,3210469451460
26,III. 이익잉여금(대손준비금 적립액)(대손준비금 적립예정금액),"1,874,982,489,194(50,848,967,579)(37,732,034,291)0","1,397,747,543,513(82,105,710,218)31,256,742,6390","1,398,258,400,458(44,214,327,296)(37,891,382,922)0"
27,IV. 자본조정,"(7,714,262,282)0","(103,038,495,934)0","(56,924,982,587)0"
28,V. 기타포괄손익누계액,"(77,205,546,703)0",1289297611110,682095825270
29,VI. 비지배지분,278330312550,269001077650,233697393350
30,자 본 총 계,73845057296360,66657647069140,34520372698790
31,부 채 및 자 본 총 계,906265993015530,572677759611270,284160216078140
32,I. 영업수익,102986498286680,78340218006830,41924999223320
33,1. 수수료수익,8952393086140,6712224159740,2961086889390
34,2. 당기손익인식금융상품관련이익,70026861823990,53895942625320,31601319963650
35,3. 매도가능금융자산관련이익,1144869939430,703768549800,904810844090
36,4. 이자수익,11527676654040,9255269785080,5105576217360
37,5. 대여금및수취채권관련이익,50312421350,87478929540,516119860
38,6. 외환거래이익,7426589139940,5765844775400,812050347890
39,7. 기타의영업수익,3857795221790,1919689181950,539638841080
40,II. 영업비용,96708972581310,78308511132220,40440316854130
41,1. 수수료비용,1610431264530,1270674694620,505164999410
42,2. 당기손익인식금융상품관련손실,68568529693110,60377761791230,32639450999080
43,3. 매도가능금융자산관련손실,522262180530,802822698080,497400509560
44,4. 이자비용,5814526202350,3829555841330,2397472413720
45,5. 대여금및수취채권관련손실,21415459560,202057442780,371826536200
46,6. 외환거래손실,8983089394870,3732536460090,690123775480
47,7. 인건비,6472724034180,4599430751430,1894299552900
48,8. 판매관리비,4369189708350,3329304412600,1390191600310
49,9. 기타의영업비용,346804643830,164367040060,54386467470
50,III. 영업이익,6277525705370,31706874610,1484682369190
51,IV. 영업외손익,369964362570,177702535620,776341338050
52,1. 영업외수익,1116241820810,477478623610,1132642092440
53,2. 영업외비용,746277458240,299776087990,356300754390
54,V. 법인세비용차감전순이익,6647490067940,209409410230,2261023707240
55,VI. 법인세비용,1598152803060,52400398810,514628206330
56,VII. 당기순이익,5049337264880,157009011420,1746395500910
57,1. 지배기업의 소유주지분,5031755036310,392914990050,1697505375920
58,2. 비지배지분,17582228570,"(23,590,597,863)0",48890124990
59,VIII. 기타포괄손익,"(206,358,081,953)0",546593736300,"(14,944,273,406)0"
60,1. 후속적으로 당기손익으로 재분류 될 수 있는 항목,nan0,nan0,nan0
61,(1) 매도가능금융자산평가손익,"(24,346,294,579)0",222688173920,"(10,900,364,914)0"
