,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 45 기,412446117791,제 44 기,554445655784,제 43 기,460251907270,1,
1,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 45 기,75449525328,제 44 기,150112317764,제 43 기,68600685897,2,
2,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 45 기,132786057869,제 44 기,127478205549,제 43 기,124282060951,3,
3,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동금융자산,-,제 45 기,111091206943,제 44 기,191167411584,제 43 기,184563500362,4,
4,20180629000751,11011,2017,00161693,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 45 기,19806752357,제 44 기,17794456870,제 43 기,18606532110,5,
5,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 45 기,215172977,제 44 기,246134898,제 43 기,734387951,6,
6,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_Inventories,재고자산,-,제 45 기,73097402317,제 44 기,67647129119,제 43 기,63464739999,7,
7,20180629000751,11011,2017,00161693,BS,재무상태표,-표준계정코드 미사용-,매각예정비유동자산,-,제 45 기,1604749942,제 44 기,,제 43 기,,8,
8,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 45 기,561655195213,제 44 기,344972524877,제 43 기,308597262239,9,
9,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_InvestmentsInSubsidiariesJointVenturesAndAssociates,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",-,제 45 기,28212324733,제 44 기,25579397014,제 43 기,20561025156,10,
10,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 45 기,314725349992,제 44 기,220572073281,제 43 기,207628949919,11,
11,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 45 기,92693384226,제 44 기,900660546,제 43 기,786626127,12,
12,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,-,제 45 기,15785312833,제 44 기,10745665519,제 43 기,7001909970,13,
13,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 45 기,71665415045,제 44 기,58445394745,제 43 기,52576392990,14,
14,20180629000751,11011,2017,00161693,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 45 기,29103360365,제 44 기,18948649639,제 43 기,10111026108,15,
15,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 45 기,9470048019,제 44 기,9780684133,제 43 기,9931331969,16,
16,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_Assets,자산총계,-,제 45 기,975706062946,제 44 기,899418180661,제 43 기,768849169509,17,
17,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 45 기,406461474380,제 44 기,337751677042,제 43 기,316102047232,19,
18,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 45 기,246536629467,제 44 기,264192384882,제 43 기,240545243041,20,
19,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 45 기,107672245768,제 44 기,17004790975,제 43 기,22379130541,21,
20,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 45 기,17932193461,제 44 기,23294421750,제 43 기,20709346406,22,
21,20180629000751,11011,2017,00161693,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 45 기,17734567361,제 44 기,13490186516,제 43 기,13774201930,23,
22,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_CurrentProvisions,유동충당부채,-,제 45 기,16585838323,제 44 기,19769892919,제 43 기,18694125314,24,
23,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 45 기,61628225586,제 44 기,20133521346,제 43 기,17553119644,25,
24,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,-,제 45 기,5703127714,제 44 기,1816773708,제 43 기,1912536954,26,
25,20180629000751,11011,2017,00161693,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 45 기,692833060,제 44 기,175960766,제 43 기,134924364,27,
26,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_NoncurrentProvisions,비유동충당부채,-,제 45 기,133890546,제 44 기,51138067,제 43 기,,28,
27,20180629000751,11011,2017,00161693,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여부채,-,제 45 기,12098374266,제 44 기,15089648805,제 43 기,15300187999,29,
28,20180629000751,11011,2017,00161693,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 45 기,43000000000,제 44 기,3000000000,제 43 기,,30,
29,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 45 기,,제 44 기,,제 43 기,205470327,31,
30,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 45 기,468089699966,제 44 기,357885198388,제 43 기,333655166876,32,
31,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 45 기,507517050123,제 44 기,541437575935,제 43 기,435095014381,34,
32,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 45 기,23533928000,제 44 기,23533928000,제 43 기,23533928000,35,
33,20180629000751,11011,2017,00161693,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 45 기,38097439100,제 44 기,38095381602,제 43 기,38095381602,36,
34,20180629000751,11011,2017,00161693,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 45 기,-155775221350,제 44 기,-49395971372,제 43 기,-49421455776,37,
35,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금(결손금),-,제 45 기,601660904373,제 44 기,529204237705,제 43 기,422887160555,38,
36,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 45 기,99312857,제 44 기,95406338,제 43 기,98988252,39,
37,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_Equity,자본총계,-,제 45 기,507616362980,제 44 기,541532982273,제 43 기,435194002633,40,
38,20180629000751,11011,2017,00161693,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 45 기,975706062946,제 44 기,899418180661,제 43 기,768849169509,41,
39,20180629000751,11011,2017,00161693,CIS,포괄손익계산서,ifrs_Revenue,수익(매출액),-,제 45 기,2062514511785,제 44 기,1934547148891,제 43 기,1710544310317,0,
40,20180629000751,11011,2017,00161693,CIS,포괄손익계산서,ifrs_CostOfSales,매출원가,-,제 45 기,1464195301907,제 44 기,1335770026774,제 43 기,1185074214442,1,
41,20180629000751,11011,2017,00161693,CIS,포괄손익계산서,ifrs_GrossProfit,매출총이익,-,제 45 기,598319209878,제 44 기,598777122117,제 43 기,525470095875,2,
