,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180402004893,11011,2017,00115977,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 43 기,1537151515961,제 42 기,1382371111988,제 41 기,1240577877553,1,
1,20180402004893,11011,2017,00115977,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 43 기,239207492276,제 42 기,216012363455,제 41 기,192722639486,2,
2,20180402004893,11011,2017,00115977,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 43 기,662791880005,제 42 기,513239889342,제 41 기,220388004499,3,
3,20180402004893,11011,2017,00115977,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동금융자산,-,제 43 기,203191822,제 42 기,1198000000,제 41 기,9970346165,4,
4,20180402004893,11011,2017,00115977,BS,재무상태표,-표준계정코드 미사용-,미청구공사,-,제 43 기,5465658730,제 42 기,5776421487,제 41 기,3675748368,5,
5,20180402004893,11011,2017,00115977,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 43 기,354320615,제 42 기,423012416,제 41 기,121090896,6,
6,20180402004893,11011,2017,00115977,BS,재무상태표,ifrs_Inventories,재고자산,-,제 43 기,448656027990,제 42 기,536931435771,제 41 기,761915237199,7,
7,20180402004893,11011,2017,00115977,BS,재무상태표,dart_OtherCurrentAssets,기타유동비금융자산,-,제 43 기,180472944523,제 42 기,108789989517,제 41 기,51784810940,8,
8,20180402004893,11011,2017,00115977,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 43 기,735018073629,제 42 기,692001528333,제 41 기,604188602686,9,
9,20180402004893,11011,2017,00115977,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,-,제 43 기,43814638016,제 42 기,37310764058,제 41 기,24243576542,10,
10,20180402004893,11011,2017,00115977,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 43 기,32585173731,제 42 기,19060678370,제 41 기,15124400544,11,
11,20180402004893,11011,2017,00115977,BS,재무상태표,ifrs_InvestmentsInSubsidiariesJointVenturesAndAssociates,관계기업및종속기업투자,-,제 43 기,20500308885,제 42 기,0,제 41 기,0,12,
12,20180402004893,11011,2017,00115977,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 43 기,579381854320,제 42 기,583018551305,제 41 기,534318152789,13,
13,20180402004893,11011,2017,00115977,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 43 기,41003571247,제 42 기,37089725190,제 41 기,13936151171,14,
14,20180402004893,11011,2017,00115977,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,-,제 43 기,12123946412,제 42 기,8465723094,제 41 기,8811935777,15,
15,20180402004893,11011,2017,00115977,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동비금융자산,-,제 43 기,520621250,제 42 기,1132497880,제 41 기,619738895,16,
