,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 43 기,6774846000000,제 42 기,7974398000000,제 41 기,5689780000000,1,
1,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 43 기,480052000000,제 42 기,767438000000,제 41 기,201203000000,2,
2,20180402004868,11011,2017,00138279,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 43 기,1538758000000,제 42 기,1154608000000,제 41 기,1030881000000,3,
3,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,기타채권,-,제 43 기,219631000000,제 42 기,181249000000,제 41 기,253208000000,4,
4,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 43 기,1711098000000,제 42 기,3433772000000,제 41 기,2497628000000,5,
5,20180402004868,11011,2017,00138279,BS,재무상태표,dart_CurrentDerivativeAsset,파생상품자산,-,제 43 기,24312000000,제 42 기,2078000000,제 41 기,17302000000,6,
6,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_Inventories,재고자산,-,제 43 기,2790742000000,제 42 기,2423440000000,제 41 기,1598710000000,7,
7,20180402004868,11011,2017,00138279,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 43 기,10048000000,제 42 기,11813000000,제 41 기,16709000000,8,
8,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 43 기,205000000,제 42 기,,제 41 기,74139000000,9,
9,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 43 기,8312605000000,제 42 기,5984629000000,제 41 기,5105746000000,10,
10,20180402004868,11011,2017,00138279,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,기타채권,-,제 43 기,62941000000,제 42 기,64895000000,제 41 기,72007000000,11,
11,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타금융자산,-,제 43 기,49843000000,제 42 기,49308000000,제 41 기,50154000000,12,
12,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_InvestmentsInSubsidiariesJointVenturesAndAssociates,"종속기업, 공동기업 및 관계기업 투자",-,제 43 기,32353000000,제 42 기,33295000000,제 41 기,35433000000,13,
13,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 43 기,7968693000000,제 42 기,5710804000000,제 41 기,4730793000000,14,
14,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 43 기,105155000000,제 42 기,54462000000,제 41 기,47243000000,15,
15,20180402004868,11011,2017,00138279,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 43 기,27823000000,제 42 기,43731000000,제 41 기,170116000000,16,
16,20180402004868,11011,2017,00138279,BS,재무상태표,-표준계정코드 미사용-,순확정급여자산,-,제 43 기,65797000000,제 42 기,28134000000,제 41 기,,17,
17,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_Assets,자산총계,-,제 43 기,15087451000000,제 42 기,13959027000000,제 41 기,10795526000000,18,
18,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 43 기,4544416000000,제 42 기,4832781000000,제 41 기,3222157000000,20,
19,20180402004868,11011,2017,00138279,BS,재무상태표,dart_ShortTermTradePayables,매입채무,-,제 43 기,1733325000000,제 42 기,1140725000000,제 41 기,589528000000,21,
20,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,기타채무,-,제 43 기,1033756000000,제 42 기,1022911000000,제 41 기,911229000000,22,
21,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_ShorttermBorrowings,차입금,-,제 43 기,1369533000000,제 42 기,2145876000000,제 41 기,1587942000000,23,
22,20180402004868,11011,2017,00138279,BS,재무상태표,dart_CurrentDerivativeLiabilities,파생상품부채,-,제 43 기,7345000000,제 42 기,50873000000,제 41 기,11081000000,24,
23,20180402004868,11011,2017,00138279,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 43 기,257450000000,제 42 기,348255000000,제 41 기,7073000000,25,
24,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 43 기,1797000000,제 42 기,1803000000,제 41 기,4678000000,26,
25,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_DeferredIncomeClassifiedAsCurrent,이연수익,-,제 43 기,24937000000,제 42 기,27433000000,제 41 기,28016000000,27,
26,20180402004868,11011,2017,00138279,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 43 기,116273000000,제 42 기,94905000000,제 41 기,82610000000,28,
27,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 43 기,3700415000000,제 42 기,2734661000000,제 41 기,2183452000000,29,
28,20180402004868,11011,2017,00138279,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,기타채무,-,제 43 기,32204000000,제 42 기,27036000000,제 41 기,23581000000,30,
29,20180402004868,11011,2017,00138279,BS,재무상태표,dart_LongTermBorrowingsGross,차입금,-,제 43 기,3474677000000,제 42 기,2563585000000,제 41 기,2007255000000,31,
30,20180402004868,11011,2017,00138279,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 43 기,,제 42 기,,제 41 기,4523000000,32,
31,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 43 기,193534000000,제 42 기,144040000000,제 41 기,148093000000,33,
32,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 43 기,8244831000000,제 42 기,7567442000000,제 41 기,5405609000000,34,
33,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 43 기,6842620000000,제 42 기,6391585000000,제 41 기,5389917000000,36,
34,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 43 기,291512000000,제 42 기,291512000000,제 41 기,291512000000,37,
35,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_SharePremium,주식발행초과금,-,제 43 기,379190000000,제 42 기,379190000000,제 41 기,379190000000,38,
36,20180402004868,11011,2017,00138279,BS,재무상태표,-표준계정코드 미사용-,적립금,-,제 43 기,975662000000,제 42 기,977353000000,제 41 기,977968000000,39,
37,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_TreasuryShares,자기주식,-,제 43 기,1876000000,제 42 기,1876000000,제 41 기,1876000000,40,
38,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금,-,제 43 기,5198132000000,제 42 기,4745406000000,제 41 기,3743123000000,41,
39,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_Equity,자본총계,-,제 43 기,6842620000000,제 42 기,6391585000000,제 41 기,5389917000000,42,
40,20180402004868,11011,2017,00138279,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 43 기,15087451000000,제 42 기,13959027000000,제 41 기,10795526000000,43,
41,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,ifrs_Revenue,매출액,-,제 43 기,20891374000000,제 42 기,16321843000000,제 41 기,17890272000000,0,
42,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,ifrs_CostOfSales,매출원가,-,제 43 기,18783141000000,제 42 기,14020892000000,제 41 기,16438773000000,1,
43,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,ifrs_GrossProfit,매출총이익,-,제 43 기,2108233000000,제 42 기,2300951000000,제 41 기,1451499000000,2,
44,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 43 기,734968000000,제 42 기,684062000000,제 41 기,633895000000,3,
45,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 43 기,1373265000000,제 42 기,1616889000000,제 41 기,817604000000,4,
46,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,dart_OtherGains,기타수익,-,제 43 기,377085000000,제 42 기,486419000000,제 41 기,485716000000,5,
47,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,dart_OtherLosses,기타비용,-,제 43 기,314010000000,제 42 기,475037000000,제 41 기,392871000000,6,
48,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,ifrs_FinanceIncome,금융수익,-,제 43 기,330283000000,제 42 기,185006000000,제 41 기,145963000000,7,
49,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,ifrs_FinanceCosts,금융비용,-,제 43 기,126884000000,제 42 기,244830000000,제 41 기,253480000000,8,
50,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,-표준계정코드 미사용-,공동기업및관계기업투자주식지분법손익,-,제 43 기,5130000000,제 42 기,6649000000,제 41 기,9799000000,9,
51,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 43 기,1644869000000,제 42 기,1575096000000,제 41 기,812731000000,10,
52,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 43 기,398380000000,제 42 기,369732000000,제 41 기,181409000000,11,
53,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,ifrs_ProfitLoss,당기순이익(손실),-,제 43 기,1246489000000,제 42 기,1205364000000,제 41 기,631322000000,12,
54,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncome,기타포괄손익(법인세효과 차감 후),-,제 43 기,7945000000,제 42 기,5957000000,제 41 기,-22263000000,13,
55,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는 항목,-,제 43 기,9636000000,제 42 기,6572000000,제 41 기,-22419000000,14,
56,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여자산부채의 재측정요소,-,제 43 기,9636000000,제 42 기,6572000000,제 41 기,-22419000000,15,
57,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,-,제 43 기,-1691000000,제 42 기,-615000000,제 41 기,156000000,16,
58,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,ifrs_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업환산손익,-,제 43 기,-113000000,제 42 기,31000000,제 41 기,61000000,17,
59,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,ifrs_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,매도가능금융자산평가손익,-,제 43 기,-307000000,제 42 기,-646000000,제 41 기,116000000,18,
60,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,ifrs_GainsLossesOnCashFlowHedgesNetOfTax,현금흐름위험회피,-,제 43 기,-1234000000,제 42 기,,제 41 기,,19,
61,20180402004868,11011,2017,00138279,CIS,포괄손익계산서,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,공동기업투자주식 기타포괄손익에 대한 지분해당액,-,제 43 기,-37000000,제 42 기,,제 41 기,-21000000,20,
