,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 38 기,449171989772,제 37 기,431637617112,제 36 기,510398942169,1,
1,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 38 기,91490927431,제 37 기,127164471282,제 36 기,80819292125,2,
2,20180330001836,11011,2017,00159786,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 38 기,23512983099,제 37 기,23207636261,제 36 기,51932425000,3,
3,20180330001836,11011,2017,00159786,BS,재무상태표,dart_CurrentFinancialAssetDesignationAsAtFairValueThroughProfitOrLoss,유동당기손익인식지정금융자산,-,제 38 기,49783934006,제 37 기,22796913682,제 36 기,55488990485,4,
4,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 38 기,183799259411,제 37 기,169535651429,제 36 기,187516149327,5,
5,20180330001836,11011,2017,00159786,BS,재무상태표,dart_CurrentFinancialAssetsHeldToMaturity,유동만기보유금융자산,-,제 38 기,49495000,제 37 기,70270000,제 36 기,179105000,6,
6,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_Inventories,재고자산,-,제 38 기,85825664230,제 37 기,73481066152,제 36 기,114316382016,7,
7,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동금융자산,-,제 38 기,727757544,제 37 기,1174374437,제 36 기,1453206412,8,
8,20180330001836,11011,2017,00159786,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 38 기,13981969051,제 37 기,14207233869,제 36 기,18693391804,9,
9,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 38 기,663976618652,제 37 기,615147379398,제 36 기,526410076375,10,
10,20180330001836,11011,2017,00159786,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 38 기,5500000,제 37 기,5500000,제 36 기,7500000,11,
11,20180330001836,11011,2017,00159786,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,-,제 38 기,170000000,제 37 기,170000000,제 36 기,150000000,12,
12,20180330001836,11011,2017,00159786,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,비유동매도가능금융자산,-,제 38 기,53876859105,제 37 기,56987137424,제 36 기,62557492500,13,
13,20180330001836,11011,2017,00159786,BS,재무상태표,dart_NonCurrentFinancialAssetsHeldToMaturity,비유동만기보유금융자산,-,제 38 기,197465000,제 37 기,217345000,제 36 기,294655000,14,
14,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 38 기,507416200192,제 37 기,458383342849,제 36 기,438815578691,15,
15,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 38 기,77062568423,제 37 기,77872873552,제 36 기,1639197238,16,
16,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,-,제 38 기,18938566658,제 37 기,19529807943,제 36 기,21191468776,17,
17,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 38 기,4937902301,제 37 기,976329317,제 36 기,784171066,18,
18,20180330001836,11011,2017,00159786,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 38 기,639099429,제 37 기,1005043313,제 36 기,970013104,19,
19,20180330001836,11011,2017,00159786,BS,재무상태표,dart_InvestedAssetForPostemploymentBenefit,퇴직급여운용자산/퇴직연금운용자산,-,제 38 기,732457544,제 37 기,,제 36 기,,20,
20,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_Assets,자산총계,-,제 38 기,1113148608424,제 37 기,1046784996510,제 36 기,1036809018544,21,
21,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 38 기,269567899851,제 37 기,293333598600,제 36 기,328418899550,23,
22,20180330001836,11011,2017,00159786,BS,재무상태표,dart_CurrentFinancialLiabilitiesDesignationAsAtFairValueThroughProfitOrLoss,유동당기손익인식지정금융부채,-,제 38 기,836276084,제 37 기,,제 36 기,9136615,24,
23,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 38 기,60445998588,제 37 기,75846704632,제 36 기,57492962960,25,
24,20180330001836,11011,2017,00159786,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 38 기,200434561156,제 37 기,203809274954,제 36 기,247530386529,26,
