,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 54 기,12248547740964,제 53 기,13338032506951,제 52 기,12469315864941,1,
1,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 54 기,2993152157548,제 53 기,2698530047186,제 52 기,2066404434255,2,
2,20180402004872,11011,2017,00149655,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 54 기,100721485460,제 53 기,1058872464092,제 52 기,65704789868,3,
3,20180402004872,11011,2017,00149655,BS,재무상태표,dart_CurrentAvailableForSaleFinancialAssets,단기매도가능금융자산,-,제 54 기,,제 53 기,2032555147,제 52 기,1089494861,4,
4,20180402004872,11011,2017,00149655,BS,재무상태표,-표준계정코드 미사용-,기타포괄손익-공정가치측정금융자산,-,제 54 기,309125000,제 53 기,,제 52 기,,5,
5,20180402004872,11011,2017,00149655,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 54 기,4992458818939,제 53 기,5383852843921,제 52 기,5633953353495,6,
6,20180402004872,11011,2017,00149655,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 54 기,2628871860637,제 53 기,2881915458432,제 52 기,3316118299112,7,
7,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_Inventories,재고자산,-,제 54 기,1533034293380,제 53 기,1312829138173,제 52 기,1386045493350,8,
8,20180402004872,11011,2017,00149655,BS,재무상태표,-표준계정코드 미사용-,매각예정자산,-,제 54 기,71956527636,제 53 기,20521949341,제 52 기,71815776563,9,
9,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 54 기,36728398668810,제 53 기,31099960933371,제 52 기,29820299323633,10,
10,20180402004872,11011,2017,00149655,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 54 기,,제 53 기,17497195967700,제 52 기,15975618367945,11,
11,20180402004872,11011,2017,00149655,BS,재무상태표,-표준계정코드 미사용-,당기손익-공정가치측정금융자산,-,제 54 기,24438662149,제 53 기,,제 52 기,,12,
12,20180402004872,11011,2017,00149655,BS,재무상태표,-표준계정코드 미사용-,기타포괄손익-공정가치측정금융자산,-,제 54 기,23204423401454,제 53 기,,제 52 기,,13,
13,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_InvestmentsInSubsidiariesJointVenturesAndAssociates,"종속기업, 관계기업 및 공동기업투자",-,제 54 기,5741754249092,제 53 기,5699709108051,제 52 기,5642058394513,14,
14,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 54 기,4985943781942,제 53 기,5281208823038,제 52 기,5134281873664,15,
15,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 54 기,671660504028,제 53 기,116280966914,제 52 기,133046246566,16,
16,20180402004872,11011,2017,00149655,BS,재무상태표,dart_NonCurrentBiologicalAssetsGross,생물자산,-,제 54 기,2203705000,제 53 기,2504971000,제 52 기,2415119435,17,
17,20180402004872,11011,2017,00149655,BS,재무상태표,-표준계정코드 미사용-,무형자산,-,제 54 기,1311472279052,제 53 기,1601302846865,제 52 기,1840171861983,18,
18,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 54 기,75375626898,제 53 기,52815645641,제 52 기,43095015908,19,
19,20180402004872,11011,2017,00149655,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 54 기,711126459195,제 53 기,848942604162,제 52 기,1049612443619,20,
20,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_Assets,자산총계,-,제 54 기,49048902937410,제 53 기,44458515389663,제 52 기,42361430965137,21,
21,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 54 기,14458305947005,제 53 기,14704948364331,제 52 기,15074383088757,23,
22,20180402004872,11011,2017,00149655,BS,재무상태표,dart_ShortTermTradePayables,매입채무,-,제 54 기,1785617349572,제 53 기,1823809668627,제 52 기,1738438472545,24,
23,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 54 기,2093310312358,제 53 기,1865815270275,제 52 기,2286527547843,25,
24,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기채무,-,제 54 기,1346801023457,제 53 기,1607366876850,제 52 기,1516718657849,26,
25,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 54 기,51742303246,제 53 기,51527848972,제 52 기,150110379697,27,
26,20180402004872,11011,2017,00149655,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 54 기,9180834958372,제 53 기,9356428699607,제 52 기,9382588030823,28,
27,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 54 기,9439346864019,제 53 기,8647856338361,제 52 기,8973112258044,29,
28,20180402004872,11011,2017,00149655,BS,재무상태표,-표준계정코드 미사용-,사채 및 장기차입금,-,제 54 기,2594095375918,제 53 기,3657277698204,제 52 기,3943011404511,30,
29,20180402004872,11011,2017,00149655,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 54 기,58356609520,제 53 기,100687333311,제 52 기,121425319331,31,
30,20180402004872,11011,2017,00149655,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 54 기,6295262683649,제 53 기,4253106577684,제 52 기,3942461720724,32,
