,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180618000160,11011,2017,00244455,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 31 기,3390507292192,제 30 기,3196594922650,제 29 기,3102493521047,1,
1,20180618000160,11011,2017,00244455,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 31 기,1756979126818,제 30 기,1606528863857,제 29 기,1789778922314,2,
2,20180618000160,11011,2017,00244455,BS,재무상태표,dart_GoodwillGross,영업권,-,제 31 기,5717138971,제 30 기,15061163051,제 29 기,15061163051,3,
3,20180618000160,11011,2017,00244455,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,-,제 31 기,79030835404,제 30 기,89868176762,제 29 기,90367231213,4,
4,20180618000160,11011,2017,00244455,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 31 기,330998857548,제 30 기,341579727245,제 29 기,164488529467,5,
5,20180618000160,11011,2017,00244455,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,지분법적용 투자지분,-,제 31 기,51030988219,제 30 기,56475780608,제 29 기,51520505252,6,
6,20180618000160,11011,2017,00244455,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,비유동매도가능금융자산,-,제 31 기,471762743361,제 30 기,385095773871,제 29 기,364681018030,7,
7,20180618000160,11011,2017,00244455,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 31 기,6350597000,제 30 기,11297000,제 29 기,12297000,8,
8,20180618000160,11011,2017,00244455,BS,재무상태표,-표준계정코드 미사용-,장기예치금,-,제 31 기,510223375080,제 30 기,503591967003,제 29 기,403965847627,9,
9,20180618000160,11011,2017,00244455,BS,재무상태표,dart_LongTermAdvancePaymentsGross,장기선급금,-,제 31 기,69773731927,제 30 기,86592031600,제 29 기,107722858700,10,
10,20180618000160,11011,2017,00244455,BS,재무상태표,dart_LongTermPrepaidExpenses,장기선급비용,-,제 31 기,5547561711,제 30 기,6090835467,제 29 기,7128389820,11,
11,20180618000160,11011,2017,00244455,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,-,제 31 기,63687114014,제 30 기,69942355654,제 29 기,75070781840,12,
12,20180618000160,11011,2017,00244455,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 31 기,39405222139,제 30 기,35756950532,제 29 기,32695976733,13,
13,20180618000160,11011,2017,00244455,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 31 기,6585398250753,제 30 기,6594326977316,제 29 기,5564171293311,14,
14,20180618000160,11011,2017,00244455,BS,재무상태표,ifrs_Inventories,재고자산,-,제 31 기,2317466486017,제 30 기,2265354526975,제 29 기,2119114025436,15,
15,20180618000160,11011,2017,00244455,BS,재무상태표,dart_CurrentAvailableForSaleFinancialAssets,유동매도가능금융자산,-,제 31 기,0,제 30 기,1500000000,제 29 기,0,16,
16,20180618000160,11011,2017,00244455,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동금융자산,-,제 31 기,1563899746161,제 30 기,1657338333465,제 29 기,1136905995439,17,
