,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 33 기,10473703000000,제 32 기,10484186000000,제 31 기,9531634000000,1,
1,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 33 기,2602560000000,제 32 기,1558696000000,제 31 기,751662000000,2,
2,20180402004137,11011,2017,00105873,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,-,제 33 기,758078000000,제 32 기,1163750000000,제 31 기,1772337000000,3,
3,20180402004137,11011,2017,00105873,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 33 기,4325120000000,제 32 기,4957993000000,제 31 기,4097836000000,4,
4,20180402004137,11011,2017,00105873,BS,재무상태표,-표준계정코드 미사용-,기타채권,-,제 33 기,164827000000,제 32 기,143592000000,제 31 기,105815000000,5,
5,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 33 기,27252000000,제 32 기,28016000000,제 31 기,4904000000,6,
6,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_Inventories,재고자산,-,제 33 기,2350084000000,제 32 기,2287785000000,제 31 기,2351669000000,7,
7,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 33 기,3854000000,제 32 기,592000000,제 31 기,3469000000,8,
8,20180402004137,11011,2017,00105873,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 33 기,241928000000,제 32 기,343762000000,제 31 기,443942000000,9,
9,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 33 기,18685984000000,제 32 기,14400150000000,제 31 기,13045526000000,10,
10,20180402004137,11011,2017,00105873,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,-,제 33 기,11000000,제 32 기,13000000,제 31 기,13000000,11,
11,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,지분법적용 투자지분,-,제 33 기,122507000000,제 32 기,172683000000,제 31 기,384755000000,12,
12,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 33 기,68574000000,제 32 기,74633000000,제 31 기,49732000000,13,
13,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 33 기,16201960000000,제 32 기,12031449000000,제 31 기,10546020000000,14,
14,20180402004137,11011,2017,00105873,BS,재무상태표,-표준계정코드 미사용-,무형자산,-,제 33 기,912821000000,제 32 기,894937000000,제 31 기,838730000000,15,
15,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 33 기,985352000000,제 32 기,867011000000,제 31 기,930629000000,16,
16,20180402004137,11011,2017,00105873,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 33 기,394759000000,제 32 기,359424000000,제 31 기,295647000000,17,
17,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_Assets,자산총계,-,제 33 기,29159687000000,제 32 기,24884336000000,제 31 기,22577160000000,18,
18,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 33 기,8978682000000,제 32 기,7058219000000,제 31 기,6606712000000,20,
19,20180402004137,11011,2017,00105873,BS,재무상태표,dart_ShortTermTradePayables,매입채무,-,제 33 기,2875090000000,제 32 기,2877326000000,제 31 기,2764694000000,21,
20,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,금융부채,-,제 33 기,1452926000000,제 32 기,667909000000,제 31 기,1416112000000,22,
21,20180402004137,11011,2017,00105873,BS,재무상태표,dart_ShortTermOtherPayables,미지급금,-,제 33 기,3169937000000,제 32 기,2449517000000,제 31 기,1499722000000,23,
22,20180402004137,11011,2017,00105873,BS,재무상태표,dart_ShortTermAccruedExpenses,미지급비용,-,제 33 기,812615000000,제 32 기,639629000000,제 31 기,633113000000,24,
23,20180402004137,11011,2017,00105873,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 33 기,321978000000,제 32 기,257082000000,제 31 기,91726000000,25,
24,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 33 기,76016000000,제 32 기,55972000000,제 31 기,109897000000,26,
25,20180402004137,11011,2017,00105873,BS,재무상태표,dart_ShortTermAdvancesCustomers,선수금,-,제 33 기,194129000000,제 32 기,61818000000,제 31 기,51127000000,27,
26,20180402004137,11011,2017,00105873,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 33 기,75991000000,제 32 기,48966000000,제 31 기,40321000000,28,
27,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 33 기,5199495000000,제 32 기,4363729000000,제 31 기,3265492000000,29,
28,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_OtherNoncurrentFinancialLiabilities,비유동금융부채,-,제 33 기,4150192000000,제 32 기,4111333000000,제 31 기,2808204000000,30,
29,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_NoncurrentProvisions,비유동충당부채,-,제 33 기,28312000000,제 32 기,8155000000,제 31 기,11817000000,31,
30,20180402004137,11011,2017,00105873,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 33 기,95447000000,제 32 기,142987000000,제 31 기,353798000000,32,
31,20180402004137,11011,2017,00105873,BS,재무상태표,dart_LongTermAdvancesCustomers,장기선수금,-,제 33 기,830335000000,제 32 기,0,제 31 기,0,33,
32,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 33 기,24646000000,제 32 기,32108000000,제 31 기,34663000000,34,
33,20180402004137,11011,2017,00105873,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 33 기,70563000000,제 32 기,69146000000,제 31 기,57010000000,35,
34,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 33 기,14178177000000,제 32 기,11421948000000,제 31 기,9872204000000,36,
35,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 33 기,14373483000000,제 32 기,12955997000000,제 31 기,12192952000000,38,
36,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 33 기,1789079000000,제 32 기,1789079000000,제 31 기,1789079000000,39,
37,20180402004137,11011,2017,00105873,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 33 기,2251113000000,제 32 기,2251113000000,제 31 기,2251113000000,40,
38,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금(결손금),-,제 33 기,10621571000000,제 32 기,9004283000000,제 31 기,8158526000000,41,
39,20180402004137,11011,2017,00105873,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타자본,-,제 33 기,-288280000000,제 32 기,-88478000000,제 31 기,-5766000000,42,
40,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 33 기,608027000000,제 32 기,506391000000,제 31 기,512004000000,43,
41,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_Equity,자본총계,-,제 33 기,14981510000000,제 32 기,13462388000000,제 31 기,12704956000000,44,
42,20180402004137,11011,2017,00105873,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 33 기,29159687000000,제 32 기,24884336000000,제 31 기,22577160000000,45,
43,20180402004137,11011,2017,00105873,CIS,포괄손익계산서,ifrs_Revenue,매출,-,제 33 기,27790216000000,제 32 기,26504074000000,제 31 기,28383884000000,0,
44,20180402004137,11011,2017,00105873,CIS,포괄손익계산서,ifrs_CostOfSales,매출원가,-,제 33 기,22424661000000,제 32 기,22754270000000,제 31 기,24069572000000,1,
45,20180402004137,11011,2017,00105873,CIS,포괄손익계산서,ifrs_GrossProfit,매출총이익,-,제 33 기,5365555000000,제 32 기,3749804000000,제 31 기,4314312000000,2,
