,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_CurrentAssets,l. 유동자산,-,제 21 기,1759033105083,제 20 기,2164296050928,제 19 기,1809513458288,1,
1,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 21 기,48854127099,제 20 기,105573030318,제 19 기,92998433662,2,
2,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 21 기,13903975264,제 20 기,5502724353,제 19 기,4334479669,3,
3,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_Inventories,재고자산,-,제 21 기,1148805400,제 20 기,1299617012,제 19 기,1309512942,4,
4,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타의 유동금융자산,-,제 21 기,1681023189879,제 20 기,2030207934230,제 19 기,1696041210054,5,
5,20190401000418,11011,2018,00255619,BS,재무상태표,dart_OtherCurrentAssets,기타의 유동자산,-,제 21 기,14103007441,제 20 기,21712745015,제 19 기,14829821961,6,
6,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_NoncurrentAssets,ll. 비유동자산,-,제 21 기,2472208249236,제 20 기,2021361436353,제 19 기,2169474115325,7,
7,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,투자지분증권,-,제 21 기,52914839615,제 20 기,53028046704,제 19 기,53101227162,8,
8,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 21 기,1314038392789,제 20 기,1297980610136,제 19 기,1315715882174,9,
9,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 21 기,865616505,제 20 기,1251678913,제 19 기,1855455399,10,
10,20190401000418,11011,2018,00255619,BS,재무상태표,-표준계정코드 미사용-,순확정급여자산,-,제 21 기,1945150027,제 20 기,25595845791,제 19 기,0,11,
11,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 21 기,163889061252,제 20 기,162227102933,제 19 기,169473504343,12,
12,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타의 비유동금융자산,-,제 21 기,931138067186,제 20 기,472366547437,제 19 기,617232617899,13,
13,20190401000418,11011,2018,00255619,BS,재무상태표,dart_OtherNonCurrentAssets,기타의 비유동자산,-,제 21 기,7417121862,제 20 기,8911604439,제 19 기,12095428348,14,
14,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_Assets,자산총계,-,제 21 기,4231241354319,제 20 기,4185657487281,제 19 기,3978987573613,15,
15,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_CurrentLiabilities,l. 유동부채,-,제 21 기,636028473034,제 20 기,681337932339,제 19 기,718893172793,17,
16,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 21 기,53577566870,제 20 기,34454690095,제 19 기,49803216535,18,
17,20190401000418,11011,2018,00255619,BS,재무상태표,dart_ShortTermAccruedExpenses,미지급비용,-,제 21 기,380332996522,제 20 기,421493947204,제 19 기,443183148041,19,
18,20190401000418,11011,2018,00255619,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 21 기,61241631596,제 20 기,80382907551,제 19 기,83505992862,20,
19,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_DividendsPayable,미지급배당금,-,제 21 기,0,제 20 기,0,제 19 기,0,21,
20,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타의 유동금융부채,-,제 21 기,15709545,제 20 기,6105149608,제 19 기,6431518551,22,
21,20190401000418,11011,2018,00255619,BS,재무상태표,dart_OtherCurrentLiabilities,기타의 유동부채,-,제 21 기,79017351823,제 20 기,77192421203,제 19 기,73909196299,23,
22,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 21 기,61843216678,제 20 기,61708816678,제 19 기,62060100505,24,
23,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_NoncurrentLiabilities,ll. 비유동부채,-,제 21 기,8435792006,제 20 기,3083621685,제 19 기,7366941947,25,
24,20190401000418,11011,2018,00255619,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,매입채무및기타채무,-,제 21 기,0,제 20 기,156329479,제 19 기,203772840,26,
25,20190401000418,11011,2018,00255619,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 21 기,0,제 20 기,1400000000,제 19 기,940000000,27,
26,20190401000418,11011,2018,00255619,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 21 기,426189406,제 20 기,537038686,제 19 기,5253175427,28,
27,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_OtherNoncurrentFinancialLiabilities,기타의 비유동금융부채,-,제 21 기,7442704515,제 20 기,885389151,제 19 기,864198990,29,
28,20190401000418,11011,2018,00255619,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타의 비유동부채,-,제 21 기,566898085,제 20 기,104864369,제 19 기,105794690,30,
29,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 21 기,644464265040,제 20 기,684421554024,제 19 기,726260114740,31,
30,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,l. 지배기업지분,-,제 21 기,3586735094255,제 20 기,3501104677291,제 19 기,3252522200981,33,
31,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_IssuedCapital,l. 자본금,-,제 21 기,106970250000,제 20 기,106970250000,제 19 기,106970250000,34,
32,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_SharePremium,ll. 주식발행초과금,-,제 21 기,127784355174,제 20 기,127784355174,제 19 기,127784355174,35,
33,20190401000418,11011,2018,00255619,BS,재무상태표,ifrs_RetainedEarnings,lll. 이익잉여금,-,제 21 기,3524520490647,제 20 기,3438847834683,제 19 기,3190265358373,36,
34,20190401000418,11011,2018,00255619,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,lV. 기타의 자본항목,-,제 21 기,-172540001566,제 20 기,-172497762566,제 19 기,-172497762566,37,
