,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20190401004454,11011,2018,00129679,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 50 기,893430408748,제 49 기,926536972932,제 48 기,801377451911,1,
1,20190401004454,11011,2018,00129679,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 50 기,96635650935,제 49 기,170978987133,제 48 기,56920250501,2,
2,20190401004454,11011,2018,00129679,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 50 기,391231373059,제 49 기,368208396825,제 48 기,344970619852,3,
3,20190401004454,11011,2018,00129679,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,기타금융상품,-,제 50 기,10107887663,제 49 기,268026121,제 48 기,60276998226,4,
4,20190401004454,11011,2018,00129679,BS,재무상태표,ifrs_Inventories,재고자산,-,제 50 기,386925117256,제 49 기,381267191673,제 48 기,320752651018,5,
5,20190401004454,11011,2018,00129679,BS,재무상태표,dart_CurrentDerivativeAsset,파생상품자산,-,제 50 기,191338513,제 49 기,613978420,제 48 기,,6,
6,20190401004454,11011,2018,00129679,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 50 기,8339041322,제 49 기,5200392760,제 48 기,18456932314,7,
7,20190401004454,11011,2018,00129679,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 50 기,829979457697,제 49 기,777044552130,제 48 기,749237212117,8,
8,20190401004454,11011,2018,00129679,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 50 기,21827764802,제 49 기,8743347362,제 48 기,8135854362,9,
9,20190401004454,11011,2018,00129679,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,기타금융자산,-,제 50 기,55818022527,제 49 기,40345447182,제 48 기,26095927060,10,
10,20190401004454,11011,2018,00129679,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,관계기업투자,-,제 50 기,71875574826,제 49 기,62706244038,제 48 기,67352954178,11,
