,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 19 기,4426821769966,제 18 기,3767433937541,제 17 기,3049570550756,1,
1,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 19 기,1053016029210,제 18 기,943481141254,제 17 기,538577771079,2,
2,20190329003895,11011,2018,00344287,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 19 기,261439186727,제 18 기,160166932394,제 17 기,148025668394,3,
3,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,단기투자증권,-,제 19 기,14288402916,제 18 기,34182400175,제 17 기,3030992836,4,
4,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 19 기,1353418884045,제 18 기,1197046622163,제 17 기,1030593672444,5,
5,20190329003895,11011,2018,00344287,BS,재무상태표,dart_CurrentDerivativeAsset,파생상품자산,-,제 19 기,8956727423,제 18 기,1868202287,제 17 기,6219743447,6,
6,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_Inventories,재고자산,-,제 19 기,1524363766335,제 18 기,1254963515735,제 17 기,1177009110959,7,
7,20190329003895,11011,2018,00344287,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 19 기,211338773310,제 18 기,175725123533,제 17 기,146113591597,8,
8,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 19 기,6602344922078,제 18 기,6508656194909,제 17 기,6977238089770,9,
9,20190329003895,11011,2018,00344287,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 19 기,848391912,제 18 기,10500000,제 17 기,2011500000,10,
10,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,장기투자증권,-,제 19 기,99008790522,제 18 기,93687457663,제 17 기,148120965082,11,
11,20190329003895,11011,2018,00344287,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,-,제 19 기,10891458308,제 18 기,16150386229,제 17 기,7015864222,12,
12,20190329003895,11011,2018,00344287,BS,재무상태표,dart_NonCurrentDerivativeAssets,비유동파생상품자산,-,제 19 기,7996253597,제 18 기,4387862259,제 17 기,0,13,
13,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,종속기업및관계기업,-,제 19 기,67912129252,제 18 기,91838684125,제 17 기,29030018221,14,
14,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 19 기,1782632844011,제 18 기,1786904298672,제 17 기,1823100285900,15,
15,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 19 기,4328656381720,제 18 기,4169281753860,제 17 기,4440698436635,16,
16,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 19 기,26308106687,제 18 기,20609998094,제 17 기,51375818001,17,
17,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 19 기,205848185403,제 18 기,251122643405,제 17 기,365928831884,18,
18,20190329003895,11011,2018,00344287,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 19 기,72242380666,제 18 기,74662610602,제 17 기,109956369825,19,
19,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_Assets,자산총계,-,제 19 기,11029166692044,제 18 기,10276090132450,제 17 기,10026808640526,20,
20,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 19 기,3778574164373,제 18 기,3695645442786,제 17 기,3653193724477,22,
21,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타채무,-,제 19 기,1613823764093,제 18 기,1281736493268,제 17 기,1041875892086,23,
22,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 19 기,937599855700,제 18 기,1409287187360,제 17 기,952163757440,24,
23,20190329003895,11011,2018,00344287,BS,재무상태표,dart_CurrentPortionOfBonds,유동성사채,-,제 19 기,505338874285,제 18 기,474641545632,제 17 기,764734004459,25,
24,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 19 기,173048137404,제 18 기,96310179828,제 17 기,540098382122,26,
25,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 19 기,25849607446,제 18 기,32398041440,제 17 기,13098873730,27,
26,20190329003895,11011,2018,00344287,BS,재무상태표,dart_CurrentDerivativeLiabilities,파생상품부채,-,제 19 기,12301480333,제 18 기,4026802750,제 17 기,1542154578,28,
27,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 19 기,179066431365,제 18 기,167059619793,제 17 기,147784958483,29,
28,20190329003895,11011,2018,00344287,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 19 기,331546013747,제 18 기,230185572715,제 17 기,191895701579,30,
29,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 19 기,3429777644098,제 18 기,3407283060510,제 17 기,2925238173921,31,
30,20190329003895,11011,2018,00344287,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,기타비유동채무,-,제 19 기,1156747007,제 18 기,1218603784,제 17 기,1253774857,32,
31,20190329003895,11011,2018,00344287,BS,재무상태표,dart_BondsIssued,사채,-,제 19 기,944061136540,제 18 기,1154956082362,제 17 기,714649461884,33,
32,20190329003895,11011,2018,00344287,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 19 기,1708761427603,제 18 기,1513805807222,제 17 기,1451538091287,34,
33,20190329003895,11011,2018,00344287,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 19 기,406106460314,제 18 기,451858134854,제 17 기,510101486646,35,
34,20190329003895,11011,2018,00344287,BS,재무상태표,dart_NonCurrentDerivativeLiabilities,비유동파생상품부채,-,제 19 기,4127632054,제 18 기,41708762306,제 17 기,0,36,
35,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 19 기,204364376024,제 18 기,93587876395,제 17 기,78243717573,37,
36,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_NoncurrentProvisions,비유동충당부채,-,제 19 기,20377900315,제 18 기,9584045726,제 17 기,25167184042,38,
37,20190329003895,11011,2018,00344287,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 19 기,140821964241,제 18 기,140563747861,제 17 기,144284457632,39,
38,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 19 기,7208351808471,제 18 기,7102928503296,제 17 기,6578431898398,40,
39,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업 소유주지분,-,제 19 기,1916877778024,제 18 기,1593740454100,제 17 기,2060458643480,42,
40,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 19 기,1040790385000,제 18 기,1040000595000,제 17 기,1037276570000,43,
41,20190329003895,11011,2018,00344287,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 19 기,213014383085,제 18 기,211545565029,제 17 기,249488144851,44,
42,20190329003895,11011,2018,00344287,BS,재무상태표,-표준계정코드 미사용-,신종자본증권,-,제 19 기,0,제 18 기,0,제 17 기,508259603649,45,
43,20190329003895,11011,2018,00344287,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본항목,-,제 19 기,-129310962134,제 18 기,-108457073777,제 17 기,-42440546020,46,
44,20190329003895,11011,2018,00344287,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 19 기,-256805144728,제 18 기,-334050917882,제 17 기,-270371100895,47,
45,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금(결손금),-,제 19 기,1049189116801,제 18 기,784702285730,제 17 기,578245971895,48,
46,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 19 기,1903937105549,제 18 기,1579421175054,제 17 기,1387918098648,49,
47,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_Equity,자본총계,-,제 19 기,3820814883573,제 18 기,3173161629154,제 17 기,3448376742128,50,
48,20190329003895,11011,2018,00344287,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 19 기,11029166692044,제 18 기,10276090132450,제 17 기,10026808640526,51,
49,20190329003895,11011,2018,00344287,IS,손익계산서,ifrs_Revenue,매출액,-,제 19 기,7730107942853,제 18 기,6567897225498,제 17 기,5729550204080,0,
50,20190329003895,11011,2018,00344287,IS,손익계산서,ifrs_CostOfSales,매출원가,-,제 19 기,5936246301169,제 18 기,5024999368311,제 17 기,4404458833345,1,
51,20190329003895,11011,2018,00344287,IS,손익계산서,ifrs_GrossProfit,매출총이익,-,제 19 기,1793861641684,제 18 기,1542897857187,제 17 기,1325091370735,2,
52,20190329003895,11011,2018,00344287,IS,손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 19 기,945734195514,제 18 기,882128558541,제 17 기,834273183329,3,
53,20190329003895,11011,2018,00344287,IS,손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 19 기,848127446170,제 18 기,660769298646,제 17 기,490818187406,4,
54,20190329003895,11011,2018,00344287,IS,손익계산서,ifrs_FinanceIncome,금융수익,-,제 19 기,104252463898,제 18 기,296665608495,제 17 기,176163146947,5,
55,20190329003895,11011,2018,00344287,IS,손익계산서,ifrs_FinanceCosts,금융비용,-,제 19 기,303338799287,제 18 기,455734726941,제 17 기,427649808272,6,
56,20190329003895,11011,2018,00344287,IS,손익계산서,dart_OtherGains,기타영업외수익,-,제 19 기,36084086449,제 18 기,64152908525,제 17 기,56182312441,7,
57,20190329003895,11011,2018,00344287,IS,손익계산서,dart_OtherLosses,기타영업외비용,-,제 19 기,63697135116,제 18 기,72931806741,제 17 기,213312054726,8,
58,20190329003895,11011,2018,00344287,IS,손익계산서,-표준계정코드 미사용-,지분법이익(손실),-,제 19 기,-5001734320,제 18 기,-3294696326,제 17 기,-151702916,9,
59,20190329003895,11011,2018,00344287,IS,손익계산서,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 19 기,616426327794,제 18 기,489626585658,제 17 기,82050080880,10,
60,20190329003895,11011,2018,00344287,IS,손익계산서,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 19 기,222256598381,제 18 기,192983826788,제 17 기,162639901346,11,
61,20190329003895,11011,2018,00344287,IS,손익계산서,ifrs_ProfitLossFromContinuingOperations,계속영업이익(손실),-,제 19 기,394169729413,제 18 기,296642758870,제 17 기,-80589820466,12,
62,20190329003895,11011,2018,00344287,IS,손익계산서,ifrs_ProfitLossFromDiscontinuedOperations,중단영업이익,-,제 19 기,0,제 18 기,0,제 17 기,196574676248,13,
63,20190329003895,11011,2018,00344287,IS,손익계산서,ifrs_ProfitLoss,당기순이익(손실),-,제 19 기,394169729413,제 18 기,296642758870,제 17 기,115984855782,14,
64,20190329003895,11011,2018,00344287,IS,손익계산서,ifrs_ProfitLossAttributableToOwnersOfParent,지배기업 소유주지분,-,제 19 기,246409919128,제 18 기,148594494986,제 17 기,63180866208,16,
65,20190329003895,11011,2018,00344287,IS,손익계산서,ifrs_ProfitLossAttributableToNoncontrollingInterests,비지배지분,-,제 19 기,147759810285,제 18 기,148048263884,제 17 기,52803989574,17,
66,20190329003895,11011,2018,00344287,IS,손익계산서,-표준계정코드 미사용-,기본주당순이익,-,제 19 기,1184,제 18 기,627,제 17 기,214,20,
67,20190329003895,11011,2018,00344287,IS,손익계산서,-표준계정코드 미사용-,희석주당순이익,-,제 19 기,1115,제 18 기,620,제 17 기,214,21,
68,20190329003895,11011,2018,00344287,IS,손익계산서,-표준계정코드 미사용-,기본주당순이익,-,제 19 기,1184,제 18 기,627,제 17 기,-734,23,
69,20190329003895,11011,2018,00344287,IS,손익계산서,-표준계정코드 미사용-,희석주당순이익,-,제 19 기,1115,제 18 기,620,제 17 기,-734,24,
70,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,ifrs_ProfitLoss,당기순이익(손실),-,제 19 기,394169729413,제 18 기,296642758870,제 17 기,115984855782,0,
71,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncome,기타포괄손익,-,제 19 기,172909009024,제 18 기,-139498812722,제 17 기,24912421744,1,
72,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 포괄손익,-,제 19 기,40748667078,제 18 기,28155359379,제 17 기,-28799330105,2,
73,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,확정급여제도의 재측정요소,-,제 19 기,37545492014,제 18 기,-6717591709,제 17 기,1076069895,3,
74,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation,유형자산 재평가잉여금,-,제 19 기,3000935957,제 18 기,34547697525,제 17 기,-29875400000,4,
75,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,-표준계정코드 미사용-,기타포괄손익-공정가치 측정 금융자산 평가손익,-,제 19 기,311745173,제 18 기,0,제 17 기,0,5,
76,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,지분법자본변동,-,제 19 기,0,제 18 기,397099884,제 17 기,0,6,
77,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,-표준계정코드 미사용-,지분법이익잉여금변동,-,제 19 기,-109506066,제 18 기,-71846321,제 17 기,0,7,
78,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 포괄손익,-,제 19 기,132160341946,제 18 기,-167654172101,제 17 기,53711751849,8,
79,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,ifrs_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,매도가능금융자산평가손익,-,제 19 기,0,제 18 기,-4403370796,제 17 기,7509623052,9,
80,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,ifrs_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업환산손익,-,제 19 기,129649536168,제 18 기,-157850633039,제 17 기,28106613754,10,
81,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,ifrs_GainsLossesOnCashFlowHedgesNetOfTax,현금흐름위험회피 파생상품평가손익,-,제 19 기,2510805778,제 18 기,-5400168266,제 17 기,18149753211,11,
82,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,-표준계정코드 미사용-,지분법이익잉여금변동,-,제 19 기,0,제 18 기,0,제 17 기,-54238168,12,
83,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,ifrs_ComprehensiveIncome,당기총포괄이익,-,제 19 기,567078738437,제 18 기,157143946148,제 17 기,140897277526,13,
84,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,ifrs_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업 소유주지분,-,제 19 기,342631656647,제 18 기,70873060791,제 17 기,46187327828,15,
85,20190329003895,11011,2018,00344287,CIS,포괄손익계산서,ifrs_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,-,제 19 기,224447081790,제 18 기,86270885357,제 17 기,94709949698,16,
86,20190329003895,11011,2018,00344287,CF,현금흐름표,ifrs_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-,제 19 기,837777742308,제 18 기,665691368633,제 17 기,512992500314,0,
87,20190329003895,11011,2018,00344287,CF,현금흐름표,dart_ProfitLossForStatementOfCashFlows,당기순이익(손실),-,제 19 기,394169729413,제 18 기,296642758870,제 17 기,115984855782,1,
88,20190329003895,11011,2018,00344287,CF,현금흐름표,ifrs_AdjustmentsForReconcileProfitLoss,조정,-,제 19 기,731167416259,제 18 기,683827770950,제 17 기,653349944296,2,
89,20190329003895,11011,2018,00344287,CF,현금흐름표,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로인한자산ㆍ부채의변동,-,제 19 기,-82048871379,제 18 기,-83731338160,제 17 기,20023264004,3,
90,20190329003895,11011,2018,00344287,CF,현금흐름표,ifrs_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,-,제 19 기,15117484431,제 18 기,11127322178,제 17 기,13406879435,4,
