,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 58 기,19745068000000,제 57 기,19141707000000,제 56 기,19708526000000,1,
1,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 58 기,1358345000000,제 57 기,2369739000000,제 56 기,3051353000000,2,
2,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,유동금융자산,-,제 58 기,2359895000000,제 57 기,1958357000000,제 56 기,2671989000000,3,
3,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 58 기,7793592000000,제 57 기,7928972000000,제 56 기,7788876000000,4,
4,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_Inventories,재고자산,-,제 58 기,7188253000000,제 57 기,6002086000000,제 56 기,5479443000000,5,
5,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 58 기,143214000000,제 57 기,100590000000,제 56 기,19163000000,6,
6,20190401001643,11011,2018,00159193,BS,재무상태표,dart_OtherCurrentAssets,유동비금융자산,-,제 58 기,878888000000,제 57 기,753992000000,제 56 기,631860000000,7,
7,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정자산,-,제 58 기,22881000000,제 57 기,27971000000,제 56 기,65842000000,8,
8,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 58 기,165503993000000,제 57 기,162647208000000,제 56 기,158128516000000,9,
9,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,비유동금융자산,-,제 58 기,2113613000000,제 57 기,2038913000000,제 56 기,2657494000000,10,
10,20190401001643,11011,2018,00159193,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권및기타채권,-,제 58 기,1819845000000,제 57 기,1754797000000,제 56 기,1903515000000,11,
11,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 58 기,152743194000000,제 57 기,150882414000000,제 56 기,145743056000000,12,
12,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 58 기,159559000000,제 57 기,284714000000,제 56 기,353680000000,13,
13,20190401001643,11011,2018,00159193,BS,재무상태표,dart_GoodwillGross,영업권,-,제 58 기,2582000000,제 57 기,2582000000,제 56 기,2582000000,14,
14,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,-,제 58 기,1225942000000,제 57 기,1187121000000,제 56 기,980821000000,15,
15,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_InvestmentsInAssociates,관계기업투자지분,-,제 58 기,4064820000000,제 57 기,3837421000000,제 56 기,4092252000000,16,
16,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_InvestmentsInJointVentures,공동기업투자지분,-,제 58 기,1813525000000,제 57 기,1493275000000,제 56 기,1418196000000,17,
17,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 58 기,1233761000000,제 57 기,919153000000,제 56 기,795131000000,18,
18,20190401001643,11011,2018,00159193,BS,재무상태표,dart_OtherNonCurrentAssets,비유동비금융자산,-,제 58 기,327152000000,제 57 기,246818000000,제 56 기,181789000000,19,
19,20190401001643,11011,2018,00159193,BS,재무상태표,ifrs_Assets,자산총계,-,제 58 기,185249061000000,제 57 기,181788915000000,제 56 기,177837042000000,20,
