,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 42 기,19720482000000,제 41 기,18217814000000,제 40 기,18263133000000,1,
1,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 42 기,2335060000000,제 41 기,2407890000000,제 40 기,2049303000000,2,
2,20190401004112,11011,2018,00164788,BS,재무상태표,-표준계정코드 미사용-,당기손익인식금융자산,-,제 42 기,,제 41 기,3690675000000,제 40 기,3175972000000,3,
3,20190401004112,11011,2018,00164788,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 42 기,,제 41 기,2945283000000,제 40 기,2716997000000,4,
4,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 42 기,7772921000000,제 41 기,,제 40 기,,5,
5,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 42 기,6662423000000,제 41 기,6234130000000,제 40 기,7252741000000,6,
6,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_Inventories,재고자산,-,제 42 기,2762915000000,제 41 기,2690294000000,제 40 기,2830135000000,7,
7,20190401004112,11011,2018,00164788,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 42 기,187163000000,제 41 기,249542000000,제 40 기,237985000000,8,
8,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 42 기,23350650000000,제 41 기,23519005000000,제 40 기,23448475000000,9,
9,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 42 기,8029517000000,제 41 기,8206353000000,제 40 기,8516416000000,10,
10,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 42 기,931426000000,제 41 기,957009000000,제 40 기,961024000000,11,
11,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 42 기,107767000000,제 41 기,111647000000,제 40 기,80802000000,12,
12,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,관계기업및공동기업투자주식,-,제 42 기,13893664000000,제 41 기,13944293000000,제 40 기,13695749000000,13,
13,20190401004112,11011,2018,00164788,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 42 기,,제 41 기,52703000000,제 40 기,39467000000,14,
14,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,비유동금융자산,-,제 42 기,69549000000,제 41 기,,제 40 기,,15,
15,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 42 기,172960000000,제 41 기,71436000000,제 40 기,42947000000,16,
16,20190401004112,11011,2018,00164788,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 42 기,145767000000,제 41 기,175564000000,제 40 기,112070000000,17,
17,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_Assets,자산총계,-,제 42 기,43071132000000,제 41 기,41736819000000,제 40 기,41711608000000,18,
18,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 42 기,8242176000000,제 41 기,7893236000000,제 40 기,8833409000000,20,
19,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 42 기,5193013000000,제 41 기,4907264000000,제 40 기,6027059000000,21,
20,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_ShorttermBorrowings,유동성장기부채및단기차입금,-,제 42 기,1642107000000,제 41 기,1746227000000,제 40 기,1623869000000,22,
21,20190401004112,11011,2018,00164788,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 42 기,315794000000,제 41 기,218355000000,제 40 기,361044000000,23,
22,20190401004112,11011,2018,00164788,BS,재무상태표,dart_CurrentProvisionsForProductWarranties,유동성판매보증충당부채,-,제 42 기,528507000000,제 41 기,338201000000,제 40 기,282397000000,24,
23,20190401004112,11011,2018,00164788,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 42 기,562755000000,제 41 기,683189000000,제 40 기,539040000000,25,
24,20190401004112,11011,2018,00164788,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 42 기,4125528000000,제 41 기,4484625000000,제 40 기,4320210000000,26,
