,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 43 기,3890796337846,제 42 기,3859384688340,제 41 기,3743344112085,1,
1,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 43 기,335766489610,제 42 기,931335151866,제 41 기,799263907582,2,
2,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동금융자산,-,제 43 기,864728390746,제 42 기,576751999557,제 41 기,691466174007,3,
3,20190401004312,11011,2018,00106623,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 43 기,1669987383189,제 42 기,1172586252091,제 41 기,1188716193879,4,
4,20190401004312,11011,2018,00106623,BS,재무상태표,-표준계정코드 미사용-,대여금및기타채권,-,제 43 기,66939959235,제 42 기,63086259299,제 41 기,70780247691,5,
5,20190401004312,11011,2018,00106623,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 43 기,38237205566,제 42 기,61533351893,제 41 기,43405272722,6,
6,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 43 기,,제 42 기,7968125332,제 41 기,,7,
7,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_Inventories,재고자산,-,제 43 기,803082587915,제 42 기,890939858796,제 41 기,771588300071,8,
8,20190401004312,11011,2018,00106623,BS,재무상태표,dart_ShortTermDueFromCustomersForContractWork,미청구공사,-,제 43 기,95226407159,제 42 기,155183689506,제 41 기,178124016133,9,
9,20190401004312,11011,2018,00106623,BS,재무상태표,-표준계정코드 미사용-,매각예정비유동자산,-,제 43 기,16827914426,제 42 기,,제 41 기,0,10,
10,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 43 기,3216651039657,제 42 기,3334297289679,제 41 기,3278735030990,11,
11,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 43 기,61207697604,제 42 기,73909104240,제 41 기,70961475066,12,
12,20190401004312,11011,2018,00106623,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,비유동대여금및기타채권,-,제 43 기,44086732230,제 42 기,59187883615,제 41 기,36929437375,13,
13,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 43 기,2569455983157,제 42 기,2600274429076,제 41 기,2548322913146,14,
14,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 43 기,4565944045,제 42 기,1522714000,제 41 기,1522714000,15,
15,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 43 기,213184565971,제 42 기,243739964023,제 41 기,245653812521,16,
16,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_InvestmentsInAssociates,관계기업투자,-,제 43 기,292095044864,제 42 기,326781783351,제 41 기,349005960961,17,
17,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_InvestmentsInJointVentures,공동기업투자,-,제 43 기,18007931206,제 42 기,18639228077,제 41 기,22407130947,18,
18,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 43 기,13706419402,제 42 기,9953269589,제 41 기,1980477044,19,
19,20190401004312,11011,2018,00106623,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 43 기,340721178,제 42 기,288913708,제 41 기,1951109930,20,
20,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_Assets,자산총계,-,제 43 기,7107447377503,제 42 기,7193681978019,제 41 기,7022079143075,21,
21,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 43 기,1862772476318,제 42 기,1727926131338,제 41 기,1698890079053,23,
22,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무,-,제 43 기,1191029357529,제 42 기,1246031502802,제 41 기,1307622734766,24,
23,20190401004312,11011,2018,00106623,BS,재무상태표,dart_ShortTermTradePayables,기타채무,-,제 43 기,129871977406,제 42 기,152653521670,제 41 기,85668079810,25,
24,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 43 기,51996041885,제 42 기,14889776840,제 41 기,,26,
25,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기부채,-,제 43 기,304846572690,제 42 기,182823879406,제 41 기,154939044400,27,
26,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 43 기,784649608,제 42 기,3075368523,제 41 기,29682147858,28,
27,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 43 기,1040442657,제 42 기,61294794,제 41 기,441725906,29,
28,20190401004312,11011,2018,00106623,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 43 기,26256584488,제 42 기,20098363227,제 41 기,17334282694,30,
