,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 109 기,2180844614750,제 108 기,1803525144813,제 107 기,1511133286259,1,
1,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 109 기,163334766909,제 108 기,154297914675,제 107 기,138707350243,2,
2,20191002000600,11011,2018,00113410,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 109 기,35493942401,제 108 기,21121010934,제 107 기,16856974899,3,
3,20191002000600,11011,2018,00113410,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 109 기,1524562676319,제 108 기,1307444027746,제 107 기,1061758765515,4,
4,20191002000600,11011,2018,00113410,BS,재무상태표,dart_ShortTermDueFromCustomersForContractWork,미청구공사,-,제 109 기,77839853454,제 108 기,17770252744,제 107 기,76018931353,5,
5,20191002000600,11011,2018,00113410,BS,재무상태표,-표준계정코드 미사용-,기타수취채권,-,제 109 기,165464816727,제 108 기,157305062349,제 107 기,90358240942,6,
6,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 109 기,521895940,제 108 기,523466237,제 107 기,0,7,
7,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 109 기,6538333584,제 108 기,5575022952,제 107 기,175402530,8,
8,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_Inventories,재고자산,-,제 109 기,21224161938,제 108 기,15658455079,제 107 기,15248404330,9,
9,20191002000600,11011,2018,00113410,BS,재무상태표,dart_OtherCurrentAssets,기타자산,-,제 109 기,184143966778,제 108 기,122089146097,제 107 기,109843560589,10,
10,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정자산,-,제 109 기,1720200700,제 108 기,1740786000,제 107 기,2165655858,11,
11,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 109 기,5687722160496,제 108 기,4482458231085,제 107 기,3971803633116,12,
12,20191002000600,11011,2018,00113410,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 109 기,6236981383,제 108 기,4416393016,제 107 기,8640284283,13,
13,20191002000600,11011,2018,00113410,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,기타수취채권,-,제 109 기,168596705109,제 108 기,150094661551,제 107 기,152282869414,14,
14,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타금융자산,-,제 109 기,18050527463,제 108 기,3633877816,제 107 기,10976136778,15,
15,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,관계기업 및 공동기업투자,-,제 109 기,85907228397,제 108 기,73938260848,제 107 기,84365095895,16,
16,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 109 기,3306401976471,제 108 기,2429542803073,제 107 기,2036542846509,17,
17,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 109 기,102896108485,제 108 기,124867332247,제 107 기,152831354589,18,
18,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 109 기,1776658802763,제 108 기,1468402240117,제 107 기,1368105834505,19,
19,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 109 기,8363510305,제 108 기,26132311904,제 107 기,32355723160,20,
20,20191002000600,11011,2018,00113410,BS,재무상태표,dart_OtherNonCurrentAssets,기타자산,-,제 109 기,214610320120,제 108 기,201430350513,제 107 기,125703487983,21,
21,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_Assets,자산총계,-,제 109 기,7868566775246,제 108 기,6285983375898,제 107 기,5482936919375,22,
22,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주지분,-,제 109 기,2654072832179,제 108 기,2348693489445,제 107 기,2307837386989,24,
23,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 109 기,114061720000,제 108 기,114061720000,제 107 기,114061720000,25,
24,20191002000600,11011,2018,00113410,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 109 기,2459691746768,제 108 기,2248360488713,제 107 기,2248654670045,26,
25,20191002000600,11011,2018,00113410,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본,-,제 109 기,-459811439915,제 108 기,-511106517589,제 107 기,-511196205610,27,
26,20191002000600,11011,2018,00113410,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 109 기,-52014556555,제 108 기,-53184017499,제 107 기,-47032992108,28,
27,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금,-,제 109 기,592145361881,제 108 기,550561815820,제 107 기,503350194662,29,
28,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 109 기,476665008194,제 108 기,411078954907,제 107 기,393171711434,30,
29,20191002000600,11011,2018,00113410,BS,재무상태표,-표준계정코드 미사용-,비지배지분,-,제 109 기,476665008194,제 108 기,411078954907,제 107 기,393171711434,31,
30,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_Equity,자본총계,-,제 109 기,3130737840373,제 108 기,2759772444352,제 107 기,2701009098423,32,
31,20191002000600,11011,2018,00113410,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 109 기,2614012911832,제 108 기,1890070241317,제 107 기,1362369307140,34,
