,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20190329004259,11011,2018,00162461,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 45 기,5012470672605,제 44 기,4222467067272,제 43 기,4523869264617,1,
1,20190329004259,11011,2018,00162461,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 45 기,1024121436014,제 44 기,804983081320,제 43 기,1012313392800,2,
2,20190329004259,11011,2018,00162461,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 45 기,1758577996403,제 44 기,1706780802682,제 43 기,1561381114010,3,
3,20190329004259,11011,2018,00162461,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 45 기,414808360144,제 44 기,370508335591,제 43 기,248706298390,4,
4,20190329004259,11011,2018,00162461,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 45 기,315226423470,제 44 기,186578903026,제 43 기,158917244880,5,
5,20190329004259,11011,2018,00162461,BS,재무상태표,ifrs_Inventories,재고자산,-,제 45 기,1467462398605,제 44 기,1143758174436,제 43 기,1420646719394,6,
6,20190329004259,11011,2018,00162461,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 45 기,14094159291,제 44 기,7724630179,제 43 기,19261162486,7,
7,20190329004259,11011,2018,00162461,BS,재무상태표,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,-,제 45 기,18179898678,제 44 기,2133140038,제 43 기,102643332657,8,
8,20190329004259,11011,2018,00162461,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 45 기,10219004774952,제 44 기,9427020832468,제 43 기,9294043864686,9,
9,20190329004259,11011,2018,00162461,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 45 기,,제 44 기,240996854973,제 43 기,228523417806,10,
10,20190329004259,11011,2018,00162461,BS,재무상태표,-표준계정코드 미사용-,당기손익-공정가치 금융자산,-,제 45 기,81613807,제 44 기,,제 43 기,,11,
11,20190329004259,11011,2018,00162461,BS,재무상태표,-표준계정코드 미사용-,기타포괄손익-공정가치 금융자산,-,제 45 기,80230460838,제 44 기,,제 43 기,,12,
12,20190329004259,11011,2018,00162461,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권및기타채권,-,제 45 기,2921411467,제 44 기,11540802420,제 43 기,5852035754,13,
13,20190329004259,11011,2018,00162461,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타금융자산,-,제 45 기,87323080168,제 44 기,63654877410,제 43 기,115721738100,14,
14,20190329004259,11011,2018,00162461,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,관계기업등투자자산,-,제 45 기,2622361268060,제 44 기,2682319452285,제 43 기,2284495196831,15,
15,20190329004259,11011,2018,00162461,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 45 기,190335564744,제 44 기,349947326890,제 43 기,397568949417,16,
16,20190329004259,11011,2018,00162461,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 45 기,6684051915938,제 44 기,5588231454920,제 43 기,5760968279670,17,
17,20190329004259,11011,2018,00162461,BS,재무상태표,-표준계정코드 미사용-,무형자산,-,제 45 기,479383485027,제 44 기,422049606582,제 43 기,426200340285,18,
