,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20190401004585,11011,2018,00164724,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 35 기,901104061201,제 34 기,945231044555,제 33 기,1045088587364,1,
1,20190401004585,11011,2018,00164724,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 35 기,338152090105,제 34 기,323871844492,제 33 기,489901998618,2,
2,20190401004585,11011,2018,00164724,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 35 기,38628705645,제 34 기,60369340829,제 33 기,8000000000,3,
3,20190401004585,11011,2018,00164724,BS,재무상태표,dart_CurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 35 기,0,제 34 기,531272188,제 33 기,246926398,4,
4,20190401004585,11011,2018,00164724,BS,재무상태표,ifrs_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 35 기,148146716,제 34 기,0,제 33 기,0,5,
5,20190401004585,11011,2018,00164724,BS,재무상태표,dart_CurrentFinancialAssetsHeldToMaturity,만기보유금융자산,-,제 35 기,288460000,제 34 기,674810000,제 33 기,102380000,6,
6,20190401004585,11011,2018,00164724,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 35 기,254744999934,제 34 기,308663149639,제 33 기,273895584646,7,
7,20190401004585,11011,2018,00164724,BS,재무상태표,dart_ShortTermDueFromCustomersForContractWork,미청구공사채권,-,제 35 기,0,제 34 기,152895956527,제 33 기,148150114284,8,
8,20190401004585,11011,2018,00164724,BS,재무상태표,ifrs_CurrentContractAssets,계약자산,-,제 35 기,149971334631,제 34 기,0,제 33 기,0,9,
9,20190401004585,11011,2018,00164724,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,기타채권,-,제 35 기,9614818778,제 34 기,7440176346,제 33 기,9230837729,10,
10,20190401004585,11011,2018,00164724,BS,재무상태표,dart_CurrentDerivativeAsset,파생금융자산,-,제 35 기,465818986,제 34 기,2787619729,제 33 기,3670088428,11,
11,20190401004585,11011,2018,00164724,BS,재무상태표,ifrs_Inventories,재고자산,-,제 35 기,62604632065,제 34 기,38353133638,제 33 기,60135300594,12,
12,20190401004585,11011,2018,00164724,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 35 기,7441380564,제 34 기,7276804421,제 33 기,21283227638,13,
13,20190401004585,11011,2018,00164724,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 35 기,27594828807,제 34 기,27555548501,제 33 기,28844424664,14,
14,20190401004585,11011,2018,00164724,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 35 기,4090462082,제 34 기,6195659914,제 33 기,1627704365,15,
15,20190401004585,11011,2018,00164724,BS,재무상태표,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정자산,-,제 35 기,7358382888,제 34 기,8615728331,제 33 기,0,16,
16,20190401004585,11011,2018,00164724,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 35 기,1473733679676,제 34 기,1342419005443,제 33 기,1062469912816,17,
17,20190401004585,11011,2018,00164724,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 35 기,1868780000,제 34 기,453860000,제 33 기,22500000,18,
18,20190401004585,11011,2018,00164724,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 35 기,0,제 34 기,44667305079,제 33 기,10889890121,19,
