,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 25 기,315224626445,제 24 기,438201259390,제 23 기,983439970935,1,
1,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 25 기,12525946607,제 24 기,16024605448,제 23 기,101391622848,2,
2,20190401003382,11011,2018,00219097,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 25 기,36454650000,제 24 기,362340627720,제 23 기,519947513288,3,
3,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 25 기,9614441825,제 24 기,8972005085,제 23 기,149615820614,4,
4,20190401003382,11011,2018,00219097,BS,재무상태표,dart_CurrentFinancialAssetDesignationAsAtFairValueThroughProfitOrLoss,당기손익인식금융자산,-,제 25 기,239773464135,제 24 기,12297591987,제 23 기,38410362000,5,
5,20190401003382,11011,2018,00219097,BS,재무상태표,dart_CurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 25 기,,제 24 기,22476224483,제 23 기,20001945000,6,
6,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 25 기,33327862,제 24 기,5277902,제 23 기,622791459,7,
7,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 25 기,13145797384,제 24 기,12924422629,제 23 기,47057493665,8,
8,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_Inventories,재고자산,-,제 25 기,3292346684,제 24 기,2514982475,제 23 기,80763742262,9,
9,20190401003382,11011,2018,00219097,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 25 기,384651948,제 24 기,645521661,제 23 기,10732959799,10,
10,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정비유동자산,-,제 25 기,,제 24 기,,제 23 기,14895720000,11,
11,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 25 기,1309650097821,제 24 기,419917345479,제 23 기,934161329073,12,
12,20190401003382,11011,2018,00219097,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 25 기,14000000,제 24 기,4000000,제 23 기,45351764,13,
13,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타금융자산,-,제 25 기,3711823610,제 24 기,7142625104,제 23 기,162882654056,14,
14,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,관계기업투자,-,제 25 기,931902833445,제 24 기,45448592307,제 23 기,6948625189,15,
15,20190401003382,11011,2018,00219097,BS,재무상태표,dart_NonCurrentFairValueFinancialAsset,당기손익인식금융자산,-,제 25 기,13564723623,제 24 기,,제 23 기,7041685000,16,
16,20190401003382,11011,2018,00219097,BS,재무상태표,-표준계정코드 미사용-,기타포괄손익인식금융자산,-,제 25 기,38795077410,제 24 기,,제 23 기,,17,
17,20190401003382,11011,2018,00219097,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 25 기,,제 24 기,82804499997,제 23 기,36270308026,18,
18,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 25 기,196524611117,제 24 기,215256406828,제 23 기,577393035189,19,
19,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 25 기,85439848873,제 24 기,48435758537,제 23 기,22572704059,20,
20,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 25 기,30436903926,제 24 기,17571353777,제 23 기,85796218062,21,
21,20190401003382,11011,2018,00219097,BS,재무상태표,dart_InvestedAssetForPostemploymentBenefit,순확정급여자산,-,제 25 기,490950217,제 24 기,2374616099,제 23 기,1147375828,22,
22,20190401003382,11011,2018,00219097,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 25 기,6060000,제 24 기,49972462,제 23 기,33020493818,23,
23,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 25 기,8763265600,제 24 기,829520368,제 23 기,1042878082,24,
24,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_Assets,자산총계,-,제 25 기,1624874724266,제 24 기,858118604869,제 23 기,1917601300008,25,
25,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 25 기,57669532526,제 24 기,89036876199,제 23 기,739074405063,27,
26,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타채무,-,제 25 기,2853451783,제 24 기,25889510,제 23 기,486819604533,28,
27,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타금융부채,-,제 25 기,20410981086,제 24 기,19138230499,제 23 기,124409578487,29,
28,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 25 기,19368000000,제 24 기,15994000000,제 23 기,38989000000,30,
29,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 25 기,2500000000,제 24 기,2500000000,제 23 기,5888888913,31,
30,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 25 기,4611563728,제 24 기,42348248734,제 23 기,34007400538,32,
31,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 25 기,,제 24 기,,제 23 기,5543174347,33,
32,20190401003382,11011,2018,00219097,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 25 기,7925535929,제 24 기,9030507456,제 23 기,43416758245,34,
33,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 25 기,34991006174,제 24 기,43850781374,제 23 기,236365700440,35,
34,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_OtherNoncurrentFinancialLiabilities,기타금융부채,-,제 25 기,2288912096,제 24 기,9179109316,제 23 기,181561437684,36,
35,20190401003382,11011,2018,00219097,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 25 기,5827000000,제 24 기,5827000000,제 23 기,10500000000,37,
36,20190401003382,11011,2018,00219097,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 25 기,2435116480,제 24 기,1208899450,제 23 기,1705002709,38,
37,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_NoncurrentProvisions,충당부채,-,제 25 기,,제 24 기,,제 23 기,1300966621,39,
38,20190401003382,11011,2018,00219097,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 25 기,191691837,제 24 기,229604491,제 23 기,12617431514,40,
39,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 25 기,24248285761,제 24 기,27406168117,제 23 기,28680861912,41,
40,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 25 기,92660538700,제 24 기,132887657573,제 23 기,975440105503,42,
41,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주지분,-,제 25 기,1499090642575,제 24 기,708242789266,제 23 기,923989323400,44,
42,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 25 기,95369179000,제 24 기,32263719000,제 23 기,49547625000,45,
43,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_SharePremium,주식발행초과금,-,제 25 기,709406608972,제 24 기,9577995232,제 23 기,14708996130,46,
44,20190401003382,11011,2018,00219097,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본,-,제 25 기,57853621562,제 24 기,-3596035352769,제 23 기,58433797682,47,
45,20190401003382,11011,2018,00219097,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 25 기,-14410948441,제 24 기,237674053,제 23 기,-1327851335,48,
46,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금,-,제 25 기,650872181482,제 24 기,4262198753750,제 23 기,802626755923,49,
47,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 25 기,33123542991,제 24 기,16988158030,제 23 기,18171871105,50,
48,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_Equity,자본총계,-,제 25 기,1532214185566,제 24 기,725230947296,제 23 기,942161194505,51,
49,20190401003382,11011,2018,00219097,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 25 기,1624874724266,제 24 기,858118604869,제 23 기,1917601300008,52,
50,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_Revenue,매출액,-,제 25 기,220593918847,제 24 기,124346363905,제 23 기,88251626570,0,
51,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_CostOfSales,매출원가,-,제 25 기,100510815182,제 24 기,45154999147,제 23 기,10247592615,1,
52,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_GrossProfit,매출총이익,-,제 25 기,120083103665,제 24 기,79191364758,제 23 기,78004033955,2,
53,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,영업비용,-,제 25 기,90506761700,제 24 기,68239884734,제 23 기,67811240909,3,
54,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,-표준계정코드 미사용-,대손상각비,-,제 25 기,103000000,제 24 기,,제 23 기,,4,
55,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익,-,제 25 기,29473341965,제 24 기,10951480024,제 23 기,10192793046,5,
56,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,dart_OtherGains,기타수익,-,제 25 기,17155026353,제 24 기,741802814,제 23 기,11574810249,6,
57,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,dart_OtherLosses,기타비용,-,제 25 기,3151222360,제 24 기,22188165807,제 23 기,2052851613,7,
58,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,-표준계정코드 미사용-,기타의대손상각비,-,제 25 기,88000,제 24 기,,제 23 기,,8,
59,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_FinanceIncome,금융수익-유효이자율법에따른이자수익,-,제 25 기,7748632689,제 24 기,7294614239,제 23 기,5221233046,9,
60,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,-표준계정코드 미사용-,금융수익-기타,-,제 25 기,4090404301,제 24 기,1001018879,제 23 기,69632387,10,
61,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_FinanceCosts,금융원가,-,제 25 기,3061316900,제 24 기,2086863426,제 23 기,5123002618,11,
62,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_ProfitLossBeforeTax,법인세비용차감전당기순이익,-,제 25 기,52254778048,제 24 기,-4286113277,제 23 기,19882614497,12,
63,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 25 기,5049957235,제 24 기,6659004475,제 23 기,3329694754,13,
64,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_ProfitLossFromContinuingOperations,계속사업당기순이익,-,제 25 기,47204820813,제 24 기,-10945117752,제 23 기,16552919743,14,
65,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_ProfitLossFromDiscontinuedOperations,중단사업당기순이익,-,제 25 기,,제 24 기,3508820458798,제 23 기,168066295096,15,
66,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_ProfitLoss,당기순이익,-,제 25 기,47204820813,제 24 기,3497875341046,제 23 기,184619214839,16,
67,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_ProfitLossAttributableToOwnersOfParent,지배기업 소유주지분,-,제 25 기,48268947949,제 24 기,3497647213475,제 23 기,183503465311,18,
68,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,-표준계정코드 미사용-,계속사업당기순이익,-,제 25 기,48268947949,제 24 기,-11173245323,제 23 기,15437170215,19,
69,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,-표준계정코드 미사용-,중단사업당기순이익,-,제 25 기,,제 24 기,3508820458798,제 23 기,168066295096,20,
70,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_ProfitLossAttributableToNoncontrollingInterests,비지배지분,-,제 25 기,-1064127136,제 24 기,228127571,제 23 기,1115749528,21,
71,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,-표준계정코드 미사용-,계속사업당기순이익,-,제 25 기,-1064127136,제 24 기,228127571,제 23 기,1115749528,22,
72,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncome,기타포괄손익,-,제 25 기,-14936242913,제 24 기,1683753465,제 23 기,-2095220270,23,
73,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는 항목,-,제 25 기,-14936242913,제 24 기,1556194956,제 23 기,-547830021,24,
74,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채의 재측정요소,-,제 25 기,-524920081,제 24 기,1548957543,제 23 기,-558327688,25,
75,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,관계기업의 기타포괄손익에 대한 지분,-,제 25 기,-574389257,제 24 기,7237413,제 23 기,10497667,26,
76,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,기타포괄손익-공정가치로 측정하는 지분상품 투자 - 공정가치 변동,-,제 25 기,-13836933575,제 24 기,,제 23 기,,27,
77,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,-,제 25 기,,제 24 기,127558509,제 23 기,-1547390249,28,
78,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_ReclassificationAdjustmentsOnExchangeDifferencesOnTranslationNetOfTax,해외사업환산손익,-,제 25 기,,제 24 기,,제 23 기,219538914,29,
79,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,매도가능금융자산평가손익,-,제 25 기,,제 24 기,127558509,제 23 기,-1325470033,30,
80,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,관계기업의 기타포괄손익에 대한 지분,-,제 25 기,,제 24 기,,제 23 기,-2381302,31,
81,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_ComprehensiveIncome,당기총포괄이익,-,제 25 기,32268577900,제 24 기,3499559094511,제 23 기,182523994569,32,
82,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업 소유주지분,-,제 25 기,33337413764,제 24 기,3499337413936,제 23 기,181400944117,34,
83,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,-,제 25 기,-1068835864,제 24 기,221680575,제 23 기,1123050452,35,
84,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_BasicEarningsLossPerShare,주당이익,-,제 25 기,575,제 24 기,74964,제 23 기,3704,37,
85,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_BasicEarningsLossPerShareFromContinuingOperations,계속사업기본주당순이익,-,제 25 기,575,제 24 기,-239,제 23 기,312,38,
86,20190401003382,11011,2018,00219097,CIS,포괄손익계산서,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,중단사업기본주당순이익,-,제 25 기,,제 24 기,75203,제 23 기,3392,39,
