,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 46 기,76095656847,제 45 기,122590209182,제 44 기,99325584384,1,
1,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 46 기,19478103772,제 45 기,49355124806,제 44 기,43858922475,2,
2,20190401004891,11011,2018,00121543,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 46 기,8921820000,제 45 기,3107176000,제 44 기,,3,
3,20190401004891,11011,2018,00121543,BS,재무상태표,-표준계정코드 미사용-,단기금융자산,-,제 46 기,1500358355,제 45 기,30043540000,제 44 기,17444602000,4,
4,20190401004891,11011,2018,00121543,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 46 기,19621890859,제 45 기,20231274835,제 44 기,19362553592,5,
5,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타채권,-,제 46 기,2791551291,제 45 기,501766045,제 44 기,334437389,6,
6,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_Inventories,재고자산,-,제 46 기,12734617877,제 45 기,11291635983,제 44 기,11379102509,7,
7,20190401004891,11011,2018,00121543,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 46 기,11047314693,제 45 기,8059691513,제 44 기,6945966419,8,
8,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 46 기,542873616553,제 45 기,547498949479,제 44 기,504415077355,9,
9,20190401004891,11011,2018,00121543,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 46 기,2000000,제 45 기,2000000,제 44 기,2000000,10,
10,20190401004891,11011,2018,00121543,BS,재무상태표,-표준계정코드 미사용-,장기금융자산,-,제 46 기,295693473719,제 45 기,308457632272,제 44 기,284994738051,11,
11,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타채권,-,제 46 기,3373453596,제 45 기,3721507596,제 44 기,3752507596,12,
12,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 46 기,210181548969,제 45 기,206778267177,제 44 기,207767973240,13,
13,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 46 기,2820571772,제 45 기,2881909609,제 44 기,372550335,14,
14,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 46 기,25436437630,제 45 기,25651058053,제 44 기,7525308133,15,
15,20190401004891,11011,2018,00121543,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 46 기,705190944,제 45 기,,제 44 기,,16,
16,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 46 기,4660939923,제 45 기,6574772,제 44 기,,17,
17,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_Assets,자산총계,-,제 46 기,618969273400,제 45 기,670089158661,제 44 기,603740661739,18,
18,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 46 기,100529037630,제 45 기,129282162966,제 44 기,111646781176,20,
19,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무,-,제 46 기,9939442533,제 45 기,13852910519,제 44 기,17098889343,21,
20,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타채무,-,제 46 기,15965154592,제 45 기,19828850255,제 44 기,19475284291,22,
21,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 46 기,30000000000,제 45 기,30000000000,제 44 기,,23,
22,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 46 기,637980108,제 45 기,14719055429,제 44 기,6263161789,24,
23,20190401004891,11011,2018,00121543,BS,재무상태표,-표준계정코드 미사용-,미지급주세,-,제 46 기,39176433289,제 45 기,44862198344,제 44 기,59427035162,25,
24,20190401004891,11011,2018,00121543,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 46 기,4810027108,제 45 기,6019148419,제 44 기,9382410591,26,
25,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 46 기,12000000000,제 45 기,5018847828,제 44 기,1140382469,27,
26,20190401004891,11011,2018,00121543,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 46 기,12000000000,제 45 기,,제 44 기,,28,
27,20190401004891,11011,2018,00121543,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,기타채무,-,제 46 기,,제 45 기,,제 44 기,170000000,29,
28,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 46 기,,제 45 기,5018847828,제 44 기,970382469,30,
29,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 46 기,112529037630,제 45 기,134301010794,제 44 기,112787163645,31,
30,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 46 기,506440235770,제 45 기,535788147867,제 44 기,490953498094,33,
31,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 46 기,5700000000,제 45 기,5700000000,제 44 기,5700000000,34,
32,20190401004891,11011,2018,00121543,BS,재무상태표,-표준계정코드 미사용-,기타불입자본,-,제 46 기,14795458232,제 45 기,14795458232,제 44 기,10932436182,35,
33,20190401004891,11011,2018,00121543,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 46 기,-769574072,제 45 기,1458328264,제 44 기,2198549851,36,
34,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금,-,제 46 기,486714351610,제 45 기,513834361371,제 44 기,472122512061,37,
35,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_Equity,자본총계,-,제 46 기,506440235770,제 45 기,535788147867,제 44 기,490953498094,39,
36,20190401004891,11011,2018,00121543,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 46 기,618969273400,제 45 기,670089158661,제 44 기,603740661739,40,
37,20190401004891,11011,2018,00121543,IS,손익계산서,ifrs_Revenue,매출액,-,제 46 기,193717858740,제 45 기,250503048569,제 44 기,270169022410,0,
38,20190401004891,11011,2018,00121543,IS,손익계산서,ifrs_CostOfSales,매출원가,-,제 46 기,116758230509,제 45 기,136776558877,제 44 기,141387967613,1,
39,20190401004891,11011,2018,00121543,IS,손익계산서,ifrs_GrossProfit,매출총이익,-,제 46 기,76959628231,제 45 기,113726489692,제 44 기,128781054797,2,
40,20190401004891,11011,2018,00121543,IS,손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 46 기,86999897077,제 45 기,85020094334,제 44 기,76822154502,3,
41,20190401004891,11011,2018,00121543,IS,손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 46 기,-10040268846,제 45 기,28706395358,제 44 기,51958900295,4,
42,20190401004891,11011,2018,00121543,IS,손익계산서,ifrs_FinanceIncome,금융순손익,-,제 46 기,942718330,제 45 기,1048839743,제 44 기,536982229,5,
43,20190401004891,11011,2018,00121543,IS,손익계산서,dart_OtherGains,기타영업외수익,-,제 46 기,14735380769,제 45 기,54356305940,제 44 기,40862579387,6,
44,20190401004891,11011,2018,00121543,IS,손익계산서,dart_OtherLosses,기타영업외비용,-,제 46 기,31870948482,제 45 기,6965316726,제 44 기,11293113951,7,
45,20190401004891,11011,2018,00121543,IS,손익계산서,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 46 기,-26233118229,제 45 기,77146224315,제 44 기,82065347960,8,
46,20190401004891,11011,2018,00121543,IS,손익계산서,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 46 기,5970206912,제 45 기,25638971205,제 44 기,20582490392,9,
47,20190401004891,11011,2018,00121543,IS,손익계산서,ifrs_ProfitLoss,당기순이익(손실),-,제 46 기,-20262911317,제 45 기,51507253110,제 44 기,61482857568,10,
48,20190401004891,11011,2018,00121543,CIS,포괄손익계산서,ifrs_ProfitLoss,당기순이익(손실),-,제 46 기,-20262911317,제 45 기,51507253110,제 44 기,61482857568,0,
49,20190401004891,11011,2018,00121543,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncome,기타포괄손익,-,제 46 기,-214919869,제 45 기,-740221587,제 44 기,323162496,1,
50,20190401004891,11011,2018,00121543,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류될 수 있는 항목,-,제 46 기,223791447,제 45 기,-740221587,제 44 기,323162496,2,
51,20190401004891,11011,2018,00121543,CIS,포괄손익계산서,ifrs_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,매도가능금융자산평가손익,-,제 46 기,,제 45 기,-148388687,제 44 기,426509257,3,
