,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 13 기,681776741493,제 12 기,722966579310,제 11 기,520033692718,1,
1,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 13 기,405402824918,제 12 기,389372233809,제 11 기,312021145179,2,
2,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 13 기,171966385734,제 12 기,185506716463,제 11 기,129442907686,3,
3,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 13 기,5794907682,제 12 기,5828399674,제 11 기,5892328561,4,
4,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,장기기타금융자산,-,제 13 기,27181067589,제 12 기,44505712717,제 11 기,50000000,5,
5,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_InvestmentsInAssociates,관계기업투자,-,제 13 기,25414910256,제 12 기,21017733529,제 11 기,19769962925,6,
6,20190401001974,11011,2018,00593032,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 13 기,51000000,제 12 기,121461327,제 11 기,28000000,7,
7,20190401001974,11011,2018,00593032,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기기타채권,-,제 13 기,42315071159,제 12 기,68470443032,제 11 기,46864929057,8,
8,20190401001974,11011,2018,00593032,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 13 기,3386563410,제 12 기,2798197003,제 11 기,4155430310,9,
9,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 13 기,264010745,제 12 기,5345681756,제 11 기,1808989000,10,
10,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 13 기,970064183771,제 12 기,871862853627,제 11 기,1061103896156,11,
11,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_Inventories,재고자산,-,제 13 기,370262586864,제 12 기,338881970061,제 11 기,308640245361,12,
12,20190401001974,11011,2018,00593032,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 13 기,133841377010,제 12 기,140000531333,제 11 기,123557416189,13,
13,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,기타채권,-,제 13 기,53114881584,제 12 기,17754088643,제 11 기,36331509877,14,
14,20190401001974,11011,2018,00593032,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 13 기,37981788761,제 12 기,26960541640,제 11 기,39534153944,15,
15,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 13 기,,제 12 기,46456899333,제 11 기,97526136,16,
16,20190401001974,11011,2018,00593032,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 13 기,38302741167,제 12 기,174419036368,제 11 기,423605696974,17,
17,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 13 기,336343746043,제 12 기,127348261267,제 11 기,128665168966,18,
18,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 13 기,217062342,제 12 기,41524982,제 11 기,672178709,19,
19,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_Assets,자산총계,-,제 13 기,1651840925264,제 12 기,1594829432937,제 11 기,1581137588874,20,
20,20190401001974,11011,2018,00593032,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 13 기,1173296645629,제 12 기,1092487306561,제 11 기,1052822671267,22,
