,과 목,제 8 기말,제 7 기말,제 6 기말,제8기(2018.1.1-2018.12.31),제7기(2017.1.1-2017.12.31),제6기(2016.1.1-2016.12.31),제 8 기,제 7 기,제 6 기
0,자 산,nan0,nan0,nan0,nan,nan,nan,nan,nan,nan
1,Ⅰ. 현금및예치금,32128491129110,31421473203940,34140505106490,nan,nan,nan,nan,nan,nan
2,Ⅱ. 당기손익-공정가치금융자산,34718526519800,14000999993350,16685666866120,nan,nan,nan,nan,nan,nan
3,Ⅲ.기타포괄손익-공정가치금융자산,50309917974030,-0,-0,nan,nan,nan,nan,nan,nan
4,Ⅳ. 매도가능금융자산,-0,58220061098480,61399276837180,nan,nan,nan,nan,nan,nan
5,Ⅴ. 상각후원가금융자산,67987682634980,-0,-0,nan,nan,nan,nan,nan,nan
6,Ⅵ.만기보유금융자산,-0,66713167187780,62014451576420,nan,nan,nan,nan,nan,nan
7,Ⅶ. 대출채권및수취채권,776298065965670,752918820682000,740870103443560,nan,nan,nan,nan,nan,nan
8,Ⅷ. 파생상품자산,303620481530,796045600120,1572033767080,nan,nan,nan,nan,nan,nan
9,Ⅸ. 관계기업 및 공동기업 투자,4650989348250,629977214270,323508799770,nan,nan,nan,nan,nan,nan
10,X. 유형자산,8875447873970,8556443127830,8010445629580,nan,nan,nan,nan,nan,nan
11,XI. 무형자산,2716517431890,3127689597460,3249394720890,nan,nan,nan,nan,nan,nan
12,XII. 투자부동산,1981728475930,1864153762590,1378143072690,nan,nan,nan,nan,nan,nan
13,XIII. 매각예정비유동자산,-0,-0,261722017600,nan,nan,nan,nan,nan,nan
14,XIV. 이연법인세자산,-0,16576691510,14326825600,nan,nan,nan,nan,nan,nan
15,XV. 기타자산,7964831731050,5234363832080,4902314561090,nan,nan,nan,nan,nan,nan
16,자 산 총 계,987935819566210,943499771991410,934821893224070,nan,nan,nan,nan,nan,nan
17,부 채,nan0,nan0,nan0,nan,nan,nan,nan,nan,nan
18,Ⅰ. 예수부채,733801096219540,698245919039800,676043912666630,nan,nan,nan,nan,nan,nan
19,Ⅱ. 차입부채,56158886973960,51164214964160,63327076724520,nan,nan,nan,nan,nan,nan
20,Ⅲ. 사채,85906584375020,88074077569970,87815975380840,nan,nan,nan,nan,nan,nan
21,Ⅳ. 파생상품부채,572747648030,1158228086980,1567141819650,nan,nan,nan,nan,nan,nan
22,Ⅴ. 순확정급여부채,719999323830,317291095410,75380203040,nan,nan,nan,nan,nan,nan
23,Ⅵ. 충당부채,426561602760,449727879750,1084316947710,nan,nan,nan,nan,nan,nan
24,Ⅶ. 당기법인세부채,350694619800,338789401180,818610794050,nan,nan,nan,nan,nan,nan
25,Ⅷ. 이연법인세부채,470876870190,209769417950,378793969510,nan,nan,nan,nan,nan,nan
26,Ⅸ. 기타부채,25278753099510,26981559581360,32839156406370,nan,nan,nan,nan,nan,nan
27,부 채 총 계,903686200732640,866939577036560,863950364912320,nan,nan,nan,nan,nan,nan
28,자 본,nan0,nan0,nan0,nan,nan,nan,nan,nan,nan
29,Ⅰ. 지배기업 소유주에게 귀속되는 자본,76269781834360,70575607779120,67826183824740,nan,nan,nan,nan,nan,nan
30,1.자본금,16296762300000,16296762300000,16296762300000,nan,nan,nan,nan,nan,nan
31,2.신종자본증권,5085213710000,2592770110000,2592770110000,nan,nan,nan,nan,nan,nan
32,3.기타불입자본,7867829813430,7867829813430,7898021756250,nan,nan,nan,nan,nan,nan
33,4.기타자본구성요소,"(51,005,140,203)0","(36,056,130,481)0",21908239690,nan,nan,nan,nan,nan,nan
34,5.이익잉여금,47530027412960,44178806860500,41016721418800,nan,nan,nan,nan,nan,nan
35,Ⅱ. 비지배지분,7979836999210,5984587175730,3045344487010,nan,nan,nan,nan,nan,nan
36,자 본 총 계,84249618833570,76560194954850,70871528311750,nan,nan,nan,nan,nan,nan
37,부 채 와 자 본 총 계,987935819566210,943499771991410,934821893224070,nan,nan,nan,nan,nan,nan
38,I. 순이자손익,nan0,nan0,nan0,2343540969389,2280621371763,2140392859154,nan,nan,nan
39,1. 이자수익,nan0,nan0,nan0,3628802880198,3353377247296,3256535300338,nan,nan,nan
40,당기손익-공정가치금융자산 이자수익,nan0,nan0,nan0,44474468294,32384758467,31924578742,nan,nan,nan
41,기타포괄손익-공정가치금융자산 및 상각후원가금융자산 이자수익,nan0,nan0,nan0,3584328411904,3320992488829,3224610721596,nan,nan,nan
42,2. 이자비용,nan0,nan0,nan0,"(1,285,261,910,809)","(1,072,755,875,533)","(1,116,142,441,184)",nan,nan,nan
43,II. 순수수료손익,nan0,nan0,nan0,203947489317,159712829583,168061892618,nan,nan,nan
44,1. 수수료수익,nan0,nan0,nan0,353560645967,312532837787,307239773710,nan,nan,nan
45,2. 수수료비용,nan0,nan0,nan0,"(149,613,156,650)","(152,820,008,204)","(139,177,881,092)",nan,nan,nan
46,III. 당기손익-공정가치금융자산순이익,nan0,nan0,nan0,44431976859,15013894084,4230436908,nan,nan,nan
47,IV. 기타포괄손익-공정가치금융자산순이익,nan0,nan0,nan0,14122117698,-,-,nan,nan,nan
48,V. 매도가능금융자산관련순이익,nan0,nan0,nan0,-,38224989205,55069047007,nan,nan,nan
49,VI. 상각후원가금융자산관련순손실,nan0,nan0,nan0,"(21,351,289)",-,-,nan,nan,nan
50,VII. 신용손실 충당금 전입액 등,nan0,nan0,nan0,"(462,600,088,668)","(619,465,509,457)","(431,383,707,796)",nan,nan,nan
51,VIII. 일반관리비,nan0,nan0,nan0,"(1,264,740,277,050)","(1,137,666,864,868)","(1,122,152,339,883)",nan,nan,nan
52,IX. 기타영업손익,nan0,nan0,nan0,"(128,847,624,123)","(142,117,043,881)","(101,937,532,050)",nan,nan,nan
53,1. 외환거래순손익,nan0,nan0,nan0,27496978043,60631526003,9059274434,nan,nan,nan
54,2. 파생상품관련순이익,nan0,nan0,nan0,25093168811,"(21,733,154,549)",17535784993,nan,nan,nan
55,3. 기타영업수익,nan0,nan0,nan0,218669722281,185235534476,218031443287,nan,nan,nan
56,4. 기타영업비용,nan0,nan0,nan0,"(400,107,493,258)","(366,250,949,811)","(346,564,034,764)",nan,nan,nan
57,X. 영업이익,nan0,nan0,nan0,749833212133,594323666429,712280655958,nan,nan,nan
58,XI. 영업외손익,nan0,nan0,nan0,"(31,195,391,835)","(36,573,722,001)","(23,876,683,315)",nan,nan,nan
59,1. 관계기업투자손익,nan0,nan0,nan0,5680339037,"(152,189,851)",649233863,nan,nan,nan
60,2. 기타수익,nan0,nan0,nan0,27467359949,17600406863,21018927311,nan,nan,nan
61,3. 기타비용,nan0,nan0,nan0,"(64,343,090,821)","(54,021,939,013)","(45,544,844,489)",nan,nan,nan
62,XII. 법인세비용차감전순이익,nan0,nan0,nan0,718637820298,557749944428,688403972643,nan,nan,nan
63,XIII. 법인세비용,nan0,nan0,nan0,"(180,496,971,326)","(132,785,897,405)","(170,289,570,788)",nan,nan,nan
64,XIV. 당기순이익,nan0,nan0,nan0,538140848972,424964047023,518114401855,nan,nan,nan
65,1. 지배기업지분순이익,nan0,nan0,nan0,502094859921,403100234100,501610990837,nan,nan,nan
66,2. 비지배지분순이익,nan0,nan0,nan0,36045989051,21863812923,16503411018,nan,nan,nan
67,XV. 기타포괄손익,nan0,nan0,nan0,19264011769,"(38,246,954,450)","(21,767,889,220)",nan,nan,nan
68,1. 후속적으로 당기손익으로 재분류되지 않는 항목,nan0,nan0,nan0,"(16,342,912,266)","(17,929,163,222)","(1,254,889,923)",nan,nan,nan
69,1) 확정급여제도 재측정요소,nan0,nan0,nan0,"(29,780,054,255)","(17,929,163,222)","(1,254,889,923)",nan,nan,nan
70,2) 기타포괄손익-공정가치채무상품평가손익,nan0,nan0,nan0,13437141989,-,-,nan,nan,nan
71,2. 후속적으로 당기손익으로 재분류될 수 있는 항목,nan0,nan0,nan0,35606924035,"(20,317,791,228)","(20,512,999,297)",nan,nan,nan
72,1) 기타포괄손익-공정가치채무상품평가손익,nan0,nan0,nan0,37139236490,-,-,nan,nan,nan
73,2) 매도가능금융자산평가손익,nan0,nan0,nan0,-,"(15,922,772,966)","(19,348,895,016)",nan,nan,nan
74,3) 해외사업환산손익,nan0,nan0,nan0,1614896853,"(13,665,481,863)",4504304528,nan,nan,nan
75,4) 해외영업순투자위험회피평가손익,nan0,nan0,nan0,"(3,092,941,000)",9270463601,"(5,602,600,841)",nan,nan,nan
76,5) 지분법 자본변동,nan0,nan0,nan0,-,-,"(65,807,968)",nan,nan,nan
77,6) 기타포괄손익-공정가치채무증권대손상각비,nan0,nan0,nan0,"(54,268,308)",-,-,nan,nan,nan
78,XVI. 당기총포괄이익,nan0,nan0,nan0,557404860741,386717092573,496346512635,nan,nan,nan
79,1. 지배기업지분총포괄이익,nan0,nan0,nan0,521358871690,364853279650,479843101617,nan,nan,nan
80,2. 비지배지분총포괄이익,nan0,nan0,nan0,36045989051,21863812923,16503411018,nan,nan,nan
81,XVII. 주당이익,nan0,nan0,nan0,nan,-,-,nan,nan,nan
82,1.기본 및 희석주당순이익,nan0,nan0,nan0,1475,1200,1522,nan,nan,nan
83,Ⅰ.영업활동으로 인한 현금흐름,nan0,nan0,nan0,nan,nan,nan,354436107335,1530250471022,"(1,125,805,874,331)"
84,1. 당기순이익,nan0,nan0,nan0,nan,nan,nan,538140848972,424964047023,518114401855
85,2. 조정사항,nan0,nan0,nan0,nan,nan,nan,"(1,337,615,745,958)","(1,363,825,843,997)","(1,465,565,808,122)"
86,이자수익,nan0,nan0,nan0,nan,nan,nan,"(3,628,802,880,198)","(3,353,377,247,296)","(3,256,535,300,338)"
87,이자비용,nan0,nan0,nan0,nan,nan,nan,1285261910809,1072755875533,1116142441184
88,당기손익-공정가치금융자산관련순손익,nan0,nan0,nan0,nan,nan,nan,5047575700,"(15,013,894,084)","(4,230,436,908)"
89,기타포괄손익-공정가치금융자산관련손익,nan0,nan0,nan0,nan,nan,nan,"(14,122,117,698)",-,-
90,매도가능금융자산관련순손익,nan0,nan0,nan0,nan,nan,nan,-,"(38,224,989,205)","(55,069,047,007)"
91,상각후원가금융자산관련손익,nan0,nan0,nan0,nan,nan,nan,21351289,-,-
92,신용손실충당금전입액,nan0,nan0,nan0,nan,nan,nan,502247847694,549025525828,413934409956
93,외화환산손익,nan0,nan0,nan0,nan,nan,nan,"(2,318,837,202)","(25,477,933,053)",6764395213
94,파생상품평가손익,nan0,nan0,nan0,nan,nan,nan,"(8,042,530,335)",11557363960,"(3,636,579,221)"
95,감가상각비,nan0,nan0,nan0,nan,nan,nan,64240269930,62203521932,64104543594
96,무형자산상각비,nan0,nan0,nan0,nan,nan,nan,74047019267,75078506160,75242596581
97,퇴직급여,nan0,nan0,nan0,nan,nan,nan,58065576296,51878542133,52710261498
98,기타영업손익,nan0,nan0,nan0,nan,nan,nan,147065063506,109206671848,"(62,403,002,356)"
99,관계기업투자주식관련순손익,nan0,nan0,nan0,nan,nan,nan,"(5,680,339,037)",152189851,"(649,233,863)"
100,유무형자산 관련 순손익,nan0,nan0,nan0,nan,nan,nan,4857372695,3624124991,17769572757
101,법인세비용,nan0,nan0,nan0,nan,nan,nan,180496971326,132785897405,170289570788
102,3. 영업활동 관련 자산 부채의 변동,nan0,nan0,nan0,nan,nan,nan,"(1,179,941,097,115)",223917109888,"(2,148,619,232,720)"
103,예치금,nan0,nan0,nan0,nan,nan,nan,60261901763,426468002219,"(608,065,329,329)"
104,당기손익-공정가치금융자산,nan0,nan0,nan0,nan,nan,nan,"(1,004,131,949,433)",283214770398,"(653,695,434,701)"
