,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330003443,11011,2019,00159023,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 36 기,8102294000000,제 35 기,7958839000000,제 34 기,6201799000000,1,
1,20200330003443,11011,2019,00159023,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 36 기,1270824000000,제 35 기,1506699000000,제 34 기,1457735000000,2,
2,20200330003443,11011,2019,00159023,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 36 기,830647000000,제 35 기,1045676000000,제 34 기,616780000000,3,
3,20200330003443,11011,2019,00159023,BS,재무상태표,-표준계정코드 미사용-,단기투자자산,-,제 36 기,166666000000,제 35 기,195080000000,제 34 기,144386000000,4,
4,20200330003443,11011,2019,00159023,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 36 기,2230979000000,제 35 기,2008640000000,제 34 기,2126007000000,5,
5,20200330003443,11011,2019,00159023,BS,재무상태표,dart_ShortTermLoans,단기대여금,-,제 36 기,66123000000,제 35 기,59094000000,제 34 기,62830000000,6,
6,20200330003443,11011,2019,00159023,BS,재무상태표,dart_ShortTermOtherReceivables,미수금,-,제 36 기,905436000000,제 35 기,937837000000,제 34 기,1260835000000,7,
7,20200330003443,11011,2019,00159023,BS,재무상태표,-표준계정코드 미사용-,계약자산,-,제 36 기,127499000000,제 35 기,90072000000,제 34 기,0,8,
8,20200330003443,11011,2019,00159023,BS,재무상태표,dart_ShortTermAccruedIncome,미수수익,-,제 36 기,3811000000,제 35 기,6066000000,제 34 기,3979000000,9,
9,20200330003443,11011,2019,00159023,BS,재무상태표,dart_ShortTermAdvancePayments,선급금,-,제 36 기,34556000000,제 35 기,32368000000,제 34 기,49860000000,10,
10,20200330003443,11011,2019,00159023,BS,재무상태표,dart_ShortTermPrepaidExpenses,선급비용,-,제 36 기,2030550000000,제 35 기,1768343000000,제 34 기,197046000000,11,
11,20200330003443,11011,2019,00159023,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 36 기,63748000000,제 35 기,1216000000,제 34 기,0,12,
12,20200330003443,11011,2019,00159023,BS,재무상태표,dart_CurrentDerivativeAsset,유동파생상품자산,-,제 36 기,26253000000,제 35 기,13000000,제 34 기,0,13,
13,20200330003443,11011,2019,00159023,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 36 기,162882000000,제 35 기,288053000000,제 34 기,272403000000,14,
14,20200330003443,11011,2019,00159023,BS,재무상태표,dart_OtherCurrentAssets,기타의유동자산,-,제 36 기,182320000000,제 35 기,19682000000,제 34 기,9938000000,15,
15,20200330003443,11011,2019,00159023,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 36 기,36509326000000,제 35 기,34410272000000,제 34 기,27226870000000,16,
16,20200330003443,11011,2019,00159023,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 36 기,990000000,제 35 기,1221000000,제 34 기,1222000000,17,
17,20200330003443,11011,2019,00159023,BS,재무상태표,-표준계정코드 미사용-,장기투자자산,-,제 36 기,857215000000,제 35 기,664726000000,제 34 기,887007000000,18,
