,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330001259,11011,2019,00104388,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 48 기,466670733747,제 47 기,403185987179,제 46 기,357542353632,1,
1,20200330001259,11011,2019,00104388,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 48 기,379111870877,제 47 기,332871278656,제 46 기,300507367413,2,
2,20200330001259,11011,2019,00104388,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 48 기,31226301154,제 47 기,7413422072,제 46 기,1891457301,3,
3,20200330001259,11011,2019,00104388,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타채권,-,제 48 기,2606745710,제 47 기,2364172325,제 46 기,1587545671,4,
4,20200330001259,11011,2019,00104388,BS,재무상태표,ifrs-full_InvestmentsInJointVentures,공동기업투자주식,-,제 48 기,3478959177,제 47 기,3647972886,제 46 기,3890446611,5,
5,20200330001259,11011,2019,00104388,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타투자자산,-,제 48 기,39425224461,제 47 기,46034790072,제 46 기,49665536636,6,
6,20200330001259,11011,2019,00104388,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 48 기,0,제 47 기,10854351168,제 46 기,0,7,
7,20200330001259,11011,2019,00104388,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 48 기,10821632368,제 47 기,0,제 46 기,0,8,
8,20200330001259,11011,2019,00104388,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 48 기,438749361308,제 47 기,451232453413,제 46 기,431007146302,9,
9,20200330001259,11011,2019,00104388,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 48 기,134325365553,제 47 기,128547795284,제 46 기,106183444955,10,
10,20200330001259,11011,2019,00104388,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 48 기,236445410637,제 47 기,256073343485,제 46 기,230251570374,11,
