,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 17 기,1073728850011,제 16 기,1317250558164,제 15 기,1494725762417,1,
1,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 17 기,109547867108,제 16 기,271834340316,제 15 기,152031383347,2,
2,20200504000397,11011,2019,00481454,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 17 기,48818575200,제 16 기,58579124908,제 15 기,37604856953,3,
3,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,당기손익-공정가치 금융자산,-,제 17 기,10026178082,제 16 기,,제 15 기,,4,
4,20200504000397,11011,2019,00481454,BS,재무상태표,dart_CurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 17 기,,제 16 기,,제 15 기,4480000,5,
5,20200504000397,11011,2019,00481454,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 17 기,416251276679,제 16 기,455954106888,제 15 기,646259370233,6,
6,20200504000397,11011,2019,00481454,BS,재무상태표,dart_ShortTermLoans,단기대여금 및 기타수취채권,-,제 17 기,15746644408,제 16 기,13708914418,제 15 기,29129394290,7,
7,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 17 기,420766510250,제 16 기,458636318506,제 15 기,546974201655,8,
8,20200504000397,11011,2019,00481454,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 17 기,52210835642,제 16 기,58537753128,제 15 기,82722075939,9,
9,20200504000397,11011,2019,00481454,BS,재무상태표,dart_CurrentFinanceLeaseReceivables,금융리스채권(유동),-,제 17 기,360962642,제 16 기,,제 15 기,,10,
10,20200504000397,11011,2019,00481454,BS,재무상태표,-표준계정코드 미사용-,매각예정비유동자산,-,제 17 기,12993701429,제 16 기,28513775482,제 15 기,,11,
11,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 17 기,2842740991924,제 16 기,2875630592057,제 15 기,3048886197228,12,
12,20200504000397,11011,2019,00481454,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 17 기,191961351,제 16 기,172770159,제 15 기,236630439,13,
13,20200504000397,11011,2019,00481454,BS,재무상태표,-표준계정코드 미사용-,당기손익-기타금융자산,-,제 17 기,1000,제 16 기,1000,제 15 기,,14,
14,20200504000397,11011,2019,00481454,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 17 기,,제 16 기,,제 15 기,2000,15,
15,20200504000397,11011,2019,00481454,BS,재무상태표,dart_LongTermLoansGross,장기대여금 및 기타수취채권,-,제 17 기,59008493678,제 16 기,25173371187,제 15 기,288631908,16,
16,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 17 기,2468048942949,제 16 기,2579912362353,제 15 기,2776571900191,17,
17,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 17 기,75721971720,제 16 기,,제 15 기,,18,
18,20200504000397,11011,2019,00481454,BS,재무상태표,dart_NoncurrentFinanceLeaseReceivable,금융리스채권(비유동),-,제 17 기,580567912,제 16 기,,제 15 기,,19,
19,20200504000397,11011,2019,00481454,BS,재무상태표,dart_OtherIntangibleAssetsGross,무형자산,-,제 17 기,4532066344,제 16 기,5540182744,제 15 기,7401186076,20,
20,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 17 기,17562629224,제 16 기,4694156372,제 15 기,4728883682,21,
21,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 17 기,215721056240,제 16 기,206789531252,제 15 기,205090931679,22,
22,20200504000397,11011,2019,00481454,BS,재무상태표,dart_OtherNonCurrentAssets,기타자산,-,제 17 기,1373301506,제 16 기,53348216990,제 15 기,54568031253,23,
23,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 17 기,3929463543364,제 16 기,4221394925703,제 15 기,4543611959645,24,
24,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 17 기,937674497773,제 16 기,1220908628488,제 15 기,2434995250768,26,
25,20200504000397,11011,2019,00481454,BS,재무상태표,dart_ShortTermTradePayables,매입채무,-,제 17 기,199122998532,제 16 기,294537431400,제 15 기,372446823911,27,
26,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 17 기,404547368501,제 16 기,507026686956,제 15 기,760030581645,28,
27,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 17 기,89823535020,제 16 기,134582893611,제 15 기,878286823795,29,
28,20200504000397,11011,2019,00481454,BS,재무상태표,-표준계정코드 미사용-,기타지급채무,-,제 17 기,185551274148,제 16 기,246427509834,제 15 기,380212735153,30,
29,20200504000397,11011,2019,00481454,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 17 기,22462381989,제 16 기,30561455668,제 15 기,41266220047,31,
30,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,리스부채(유동),-,제 17 기,20066661253,제 16 기,,제 15 기,,32,
31,20200504000397,11011,2019,00481454,BS,재무상태표,dart_CurrentProvisionsForProductWarranties,판매보증충당부채(유동),-,제 17 기,10693537398,제 16 기,7549794671,제 15 기,,33,
32,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 17 기,5406740932,제 16 기,222856348,제 15 기,2752066217,34,
33,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 17 기,1699154878418,제 16 기,1658752889085,제 15 기,1179568046522,35,
34,20200504000397,11011,2019,00481454,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 17 기,1354729933519,제 16 기,1344729576269,제 15 기,852431055224,36,
35,20200504000397,11011,2019,00481454,BS,재무상태표,dart_PostemploymentBenefitObligations,확정급여부채,-,제 17 기,158249690698,제 16 기,135342226010,제 15 기,160324572570,37,
36,20200504000397,11011,2019,00481454,BS,재무상태표,-표준계정코드 미사용-,장기종업원급여부채,-,제 17 기,55325692069,제 16 기,37902085393,제 15 기,25638957079,38,
37,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_NoncurrentLeaseLiabilities,리스부채(비유동),-,제 17 기,27595912033,제 16 기,,제 15 기,,39,
38,20200504000397,11011,2019,00481454,BS,재무상태표,dart_NonCurrentProvisionsForProductWarranties,판매보증충당부채,-,제 17 기,10785513629,제 16 기,15260231795,제 15 기,25623268864,40,
39,20200504000397,11011,2019,00481454,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 17 기,599764017,제 16 기,2719546399,제 15 기,3504030409,41,
40,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_LongtermLegalProceedingsProvision,소송충당부채,-,제 17 기,87043110319,제 16 기,122799223219,제 15 기,112046162376,42,
41,20200504000397,11011,2019,00481454,BS,재무상태표,-표준계정코드 미사용-,복구충당부채,-,제 17 기,494882134,제 16 기,,제 15 기,,43,
42,20200504000397,11011,2019,00481454,BS,재무상태표,-표준계정코드 미사용-,기타지급채무,-,제 17 기,4330380000,제 16 기,,제 15 기,,44,
43,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 17 기,2636829376191,제 16 기,2879661517573,제 15 기,3614563297290,45,
44,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 17 기,1292634167173,제 16 기,1341733408130,제 15 기,895309614148,47,
45,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 17 기,1436301435000,제 16 기,1436301435000,제 15 기,789965790000,48,
46,20200504000397,11011,2019,00481454,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 17 기,224985390523,제 16 기,224985390523,제 15 기,246692976952,49,
47,20200504000397,11011,2019,00481454,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본,-,제 17 기,-19538444447,제 16 기,-19538444447,제 15 기,-19538444447,50,
48,20200504000397,11011,2019,00481454,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 17 기,24599734666,제 16 기,13740141156,제 15 기,8944326248,51,
49,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 17 기,-373713948569,제 16 기,-313755114102,제 15 기,-130755034605,52,
50,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 17 기,,제 16 기,,제 15 기,33739048207,53,
51,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 17 기,1292634167173,제 16 기,1341733408130,제 15 기,929048662355,54,
52,20200504000397,11011,2019,00481454,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 17 기,3929463543364,제 16 기,4221394925703,제 15 기,4543611959645,55,
53,20200504000397,11011,2019,00481454,CIS,포괄손익계산서,ifrs-full_Revenue,매출액,-,제 17 기,2369198863879,제 16 기,2558681154748,제 15 기,2876420253183,0,
54,20200504000397,11011,2019,00481454,CIS,포괄손익계산서,ifrs-full_CostOfSales,매출원가,-,제 17 기,1835442357942,제 16 기,2104436085838,제 15 기,2422209524372,1,
55,20200504000397,11011,2019,00481454,CIS,포괄손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 17 기,533756505937,제 16 기,454245068910,제 15 기,454210728811,2,
56,20200504000397,11011,2019,00481454,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 17 기,476360988497,제 16 기,552445889799,제 15 기,618460624961,3,
57,20200504000397,11011,2019,00481454,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 17 기,57395517440,제 16 기,-98200820889,제 15 기,-164249896150,4,
58,20200504000397,11011,2019,00481454,CIS,포괄손익계산서,-표준계정코드 미사용-,영업외손익,-,제 17 기,-96426149397,제 16 기,-95468959093,제 15 기,31994124050,5,
59,20200504000397,11011,2019,00481454,CIS,포괄손익계산서,-표준계정코드 미사용-,기타수익,-,제 17 기,77971533440,제 16 기,70313317996,제 15 기,281016874352,6,
60,20200504000397,11011,2019,00481454,CIS,포괄손익계산서,-표준계정코드 미사용-,기타비용,-,제 17 기,-72514636156,제 16 기,-163874905409,제 15 기,-137868057535,7,
61,20200504000397,11011,2019,00481454,CIS,포괄손익계산서,-표준계정코드 미사용-,금융수익,-,제 17 기,8084756682,제 16 기,138726193517,제 15 기,38031131240,8,
62,20200504000397,11011,2019,00481454,CIS,포괄손익계산서,-표준계정코드 미사용-,금융원가,-,제 17 기,-109967803363,제 16 기,-140633565197,제 15 기,-149185824007,9,
63,20200504000397,11011,2019,00481454,CIS,포괄손익계산서,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 17 기,-39030631957,제 16 기,-193669779982,제 15 기,-132255772100,10,
64,20200504000397,11011,2019,00481454,CIS,포괄손익계산서,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 17 기,4372391095,제 16 기,-1739692621,제 15 기,-19916479373,11,
