,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 49 기,201401690864,제 48 기,227496067589,제 47 기,242825596986,1,
1,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 49 기,65462757223,제 48 기,79969006679,제 47 기,100741796489,2,
2,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 49 기,85877008840,제 48 기,98760975429,제 47 기,98080621015,3,
3,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 49 기,,제 48 기,82403676,제 47 기,,4,
4,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 49 기,29005507538,제 48 기,31348987484,제 47 기,29467960925,5,
5,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 49 기,19472273405,제 48 기,16137902732,제 47 기,12076764481,6,
6,20200330003664,11011,2019,00122898,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 49 기,1584143858,제 48 기,1196791589,제 47 기,1014565978,7,
7,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,-,제 49 기,,제 48 기,,제 47 기,1443888098,8,
8,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 49 기,261312295890,제 48 기,247057618988,제 47 기,208823953597,9,
9,20200330003664,11011,2019,00122898,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,-,제 49 기,4709445995,제 48 기,8896177973,제 47 기,7884016629,10,
10,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 49 기,235961285324,제 48 기,222522194861,제 47 기,186660041239,11,
11,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 49 기,5991532883,제 48 기,5178669264,제 47 기,6689095038,12,
12,20200330003664,11011,2019,00122898,BS,재무상태표,dart_GoodwillGross,영업권,-,제 49 기,2409952579,제 48 기,2409952579,제 47 기,2409952579,13,
13,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,-,제 49 기,3011415128,제 48 기,3934157558,제 47 기,2600922138,14,
14,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 49 기,9228663981,제 48 기,3333783128,제 47 기,1574425974,15,
15,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",-,제 49 기,,제 48 기,782683625,제 47 기,1005500000,16,
16,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 49 기,462713986754,제 48 기,474553686577,제 47 기,451649550583,17,
17,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 49 기,133990679518,제 48 기,121767150682,제 47 기,129867918031,19,
18,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 49 기,72816791706,제 48 기,77541923167,제 47 기,88981750134,20,
19,20200330003664,11011,2019,00122898,BS,재무상태표,-표준계정코드 미사용-,차입금,-,제 49 기,58732296118,제 48 기,43167215306,제 47 기,38206324308,21,
20,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 49 기,567969018,제 48 기,,제 47 기,1283054224,22,
21,20200330003664,11011,2019,00122898,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 49 기,1069588110,제 48 기,,제 47 기,,23,
