,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 51 기,181385260000000,제 50 기,174697424000000,제 49 기,146982464000000,1,
1,20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 51 기,26885999000000,제 50 기,30340505000000,제 49 기,30545130000000,2,
2,20200330003851,11011,2019,00126380,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 51 기,76252052000000,제 50 기,65893797000000,제 49 기,49447696000000,3,
3,20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,단기매도가능금융자산,-,제 51 기,,제 50 기,,제 49 기,3191375000000,4,
4,20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,단기상각후원가금융자산,-,제 51 기,3914216000000,제 50 기,2703693000000,제 49 기,,5,
5,20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,단기당기손익-공정가치금융자산,-,제 51 기,1727436000000,제 50 기,2001948000000,제 49 기,,6,
6,20200330003851,11011,2019,00126380,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 51 기,35131343000000,제 50 기,33867733000000,제 49 기,27695995000000,7,
7,20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,미수금,-,제 51 기,4179120000000,제 50 기,3080733000000,제 49 기,4108961000000,8,
8,20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,선급금,-,제 51 기,1426833000000,제 50 기,1361807000000,제 49 기,1753673000000,9,
9,20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,선급비용,-,제 51 기,2406220000000,제 50 기,4136167000000,제 49 기,3835219000000,10,
10,20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 51 기,26766464000000,제 50 기,28984704000000,제 49 기,24983355000000,11,
11,20200330003851,11011,2019,00126380,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 51 기,2695577000000,제 50 기,2326337000000,제 49 기,1421060000000,12,
12,20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 51 기,171179237000000,제 50 기,164659820000000,제 49 기,154769626000000,13,
13,20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,장기매도가능금융자산,-,제 51 기,,제 50 기,,제 49 기,7752180000000,14,
14,20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 51 기,,제 50 기,,제 49 기,106751000000,15,
15,20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,상각후원가금융자산,-,제 51 기,,제 50 기,238309000000,제 49 기,,16,
16,20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,기타포괄손익-공정가치금융자산,-,제 51 기,8920712000000,제 50 기,7301351000000,제 49 기,,17,
17,20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,당기손익-공정가치금융자산,-,제 51 기,1049004000000,제 50 기,775427000000,제 49 기,,18,
18,20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,관계기업 및 공동기업 투자,-,제 51 기,7591612000000,제 50 기,7313206000000,제 49 기,6802351000000,19,
19,20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 51 기,119825474000000,제 50 기,115416724000000,제 49 기,111665648000000,20,
20,20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 51 기,20703504000000,제 50 기,14891598000000,제 49 기,14760483000000,21,
21,20200330003851,11011,2019,00126380,BS,재무상태표,dart_DepositsForSeveranceInsurance,순확정급여자산,-,제 51 기,589832000000,제 50 기,562356000000,제 49 기,825892000000,22,
22,20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 51 기,4505049000000,제 50 기,5468002000000,제 49 기,5061687000000,23,
23,20200330003851,11011,2019,00126380,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 51 기,7994050000000,제 50 기,12692847000000,제 49 기,7794634000000,24,
24,20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 51 기,352564497000000,제 50 기,339357244000000,제 49 기,301752090000000,25,
25,20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 51 기,63782764000000,제 50 기,69081510000000,제 49 기,67175114000000,27,
26,20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,매입채무,-,제 51 기,8718222000000,제 50 기,8479916000000,제 49 기,9083907000000,28,
