,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 47 기,264590901712,제 46 기,214007298754,제 45 기,197003331799,1,
1,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 47 기,23020986586,제 46 기,13168353711,제 45 기,11379501471,2,
2,20200327001226,11011,2019,00131692,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기기타금융자산,-,제 47 기,8110030285,제 46 기,1783296101,제 45 기,1488032509,3,
3,20200327001226,11011,2019,00131692,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 47 기,83682894883,제 46 기,73201028894,제 45 기,67524909115,4,
4,20200327001226,11011,2019,00131692,BS,재무상태표,dart_ShortTermOtherReceivables,단기기타채권,-,제 47 기,2534243861,제 46 기,2559539401,제 45 기,2069204530,5,
5,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 47 기,141009306879,제 46 기,116196670814,제 45 기,111608041146,6,
6,20200327001226,11011,2019,00131692,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 47 기,6233439218,제 46 기,7098409833,제 45 기,2933643028,7,
7,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 47 기,444270140493,제 46 기,425093330761,제 45 기,398285575267,8,
8,20200327001226,11011,2019,00131692,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기기타금융자산,-,제 47 기,151106098,제 46 기,1776579218,제 45 기,1153566227,9,
9,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,-,제 47 기,4364812890,제 46 기,13816506200,제 45 기,0,10,
10,20200327001226,11011,2019,00131692,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 47 기,0,제 46 기,0,제 45 기,27242863994,11,
11,20200327001226,11011,2019,00131692,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기기타채권,-,제 47 기,1456145387,제 46 기,4982946974,제 45 기,6067980212,12,
12,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_InvestmentsInAssociates,관계기업투자,-,제 47 기,12197909559,제 46 기,10257523265,제 45 기,9232439591,13,
13,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 47 기,12066654236,제 46 기,0,제 45 기,0,14,
14,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 47 기,391981387615,제 46 기,381565309628,제 45 기,344893345473,15,
15,20200327001226,11011,2019,00131692,BS,재무상태표,dart_OtherIntangibleAssetsGross,무형자산,-,제 47 기,8066000205,제 46 기,10798317870,제 45 기,7525260084,16,
16,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 47 기,7706284855,제 46 기,0,제 45 기,0,17,
17,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 47 기,270756718,제 46 기,316321671,제 45 기,423408709,18,
18,20200327001226,11011,2019,00131692,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 47 기,6009082930,제 46 기,1579825935,제 45 기,1746710977,19,
19,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 47 기,708861042205,제 46 기,639100629515,제 45 기,595288907066,20,
20,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 47 기,196328591579,제 46 기,193910411031,제 45 기,202132072081,22,
21,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무,-,제 47 기,21998032229,제 46 기,17748565067,제 45 기,13164091750,23,
22,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,단기기타채무,-,제 47 기,21626669966,제 46 기,15929542514,제 45 기,11856510068,24,
23,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금 및 사채,-,제 47 기,144608705665,제 46 기,154809131002,제 45 기,173532740975,25,
24,20200327001226,11011,2019,00131692,BS,재무상태표,dart_CurentPortionOfFinanceLeaseLiabilities,단기리스부채,-,제 47 기,421539452,제 46 기,0,제 45 기,0,26,
25,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 47 기,4472380113,제 46 기,3126801285,제 45 기,2233310106,27,
26,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_CurrentProvisions,충당부채,-,제 47 기,103632000,제 46 기,52150000,제 45 기,120480000,28,
27,20200327001226,11011,2019,00131692,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 47 기,3097632154,제 46 기,2244221163,제 45 기,1224939182,29,
28,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 47 기,183537825486,제 46 기,137017846814,제 45 기,92316316092,30,
29,20200327001226,11011,2019,00131692,BS,재무상태표,dart_LongTermTradePayablesGross,장기기타채무,-,제 47 기,315135039,제 46 기,5017124646,제 45 기,4713282832,31,
30,20200327001226,11011,2019,00131692,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금 및 사채,-,제 47 기,176579975646,제 46 기,118576822321,제 45 기,72096315990,32,
31,20200327001226,11011,2019,00131692,BS,재무상태표,dart_NonCurrentFinanceLeaseLiabilities,장기리스부채,-,제 47 기,321712681,제 46 기,0,제 45 기,0,33,
32,20200327001226,11011,2019,00131692,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여채무 및 기타장기급여채무,-,제 47 기,1694882000,제 46 기,6057870220,제 45 기,5882333059,34,
33,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 47 기,4591352660,제 46 기,7323956631,제 45 기,9285857778,35,
34,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialLiabilities,장기금융보증채무,-,제 47 기,34767460,제 46 기,42072996,제 45 기,338526433,36,
35,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 47 기,379866417065,제 46 기,330928257845,제 45 기,294448388173,37,
36,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업소유주지분,-,제 47 기,295613252568,제 46 기,273607639861,제 45 기,269910334022,39,
37,20200327001226,11011,2019,00131692,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 47 기,6084556500,제 46 기,6084556500,제 45 기,6084556500,40,
