,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 60 기,774746887097,제 59 기,766836412893,제 58 기,749499569967,1,
1,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 60 기,114321552374,제 59 기,155400112005,제 58 기,142730639084,2,
2,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 60 기,48880349490,제 59 기,62756094243,제 58 기,70137977070,3,
3,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 60 기,557678714565,제 59 기,480805955146,제 58 기,451852563527,4,
4,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 60 기,52633102890,제 59 기,66817725212,제 58 기,68579328122,5,
5,20200330000162,11011,2019,00135795,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 60 기,1233167778,제 59 기,1056526287,제 58 기,2432515102,6,
6,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,-,제 60 기,,제 59 기,,제 58 기,13766547062,7,
7,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 60 기,172757192015,제 59 기,183374124092,제 58 기,191046191426,8,
8,20200330000162,11011,2019,00135795,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 60 기,17628446,제 59 기,17208472,제 58 기,17714632,9,
9,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 60 기,6752758823,제 59 기,6298763166,제 58 기,6970875095,10,
10,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 60 기,124227912858,제 59 기,132883168091,제 58 기,138148863267,11,
11,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 60 기,35850422900,제 59 기,36003052467,제 58 기,36184088119,12,
12,20200330000162,11011,2019,00135795,BS,재무상태표,dart_GoodwillGross,영업권,-,제 60 기,4978459882,제 59 기,4978459882,제 58 기,4978459882,13,
13,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,-,제 60 기,220137023,제 59 기,312308056,제 58 기,395436779,14,
14,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 60 기,707528563,제 59 기,266730872,제 58 기,1685086102,15,
15,20200330000162,11011,2019,00135795,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 60 기,2343520,제 59 기,2614433086,제 58 기,2665667550,16,
16,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 60 기,947504079112,제 59 기,950210536985,제 58 기,940545761393,17,
17,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 60 기,62483864510,제 59 기,63267769851,제 58 기,74892041509,19,
18,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 60 기,41962804350,제 59 기,48209268383,제 58 기,55071959412,20,
19,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 60 기,9520033186,제 59 기,8283081742,제 58 기,8313458466,21,
20,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_CurrentProvisions,유동충당부채,-,제 60 기,1010480906,제 59 기,1218611063,제 58 기,584190673,22,
21,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 60 기,3373337363,제 59 기,607341161,제 58 기,4662191599,23,
22,20200330000162,11011,2019,00135795,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 60 기,6617208705,제 59 기,4949467502,제 58 기,6123161907,24,
23,20200330000162,11011,2019,00135795,BS,재무상태표,-표준계정코드 미사용-,매각예정부채,-,제 60 기,,제 59 기,,제 58 기,137079452,25,
24,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 60 기,14383598541,제 59 기,15386351811,제 58 기,9806641653,26,
25,20200330000162,11011,2019,00135795,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여부채,-,제 60 기,7218242781,제 59 기,7717193592,제 58 기,2205045361,27,
26,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 60 기,1083064767,제 59 기,2771234823,제 58 기,2544466215,28,
27,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,-,제 60 기,1881132600,제 59 기,999640600,제 58 기,1908850600,29,
28,20200330000162,11011,2019,00135795,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 60 기,4201158393,제 59 기,3898282796,제 58 기,3148279477,30,
29,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 60 기,76867463051,제 59 기,78654121662,제 58 기,84698683162,31,
30,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 60 기,870636616061,제 59 기,871556415323,제 58 기,855847078231,33,
31,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 60 기,50400145000,제 59 기,50400145000,제 58 기,50400145000,34,
32,20200330000162,11011,2019,00135795,BS,재무상태표,dart_IssuedCapitalOfCommonStock,보통주자본금,-,제 60 기,50400145000,제 59 기,50400145000,제 58 기,50400145000,35,
33,20200330000162,11011,2019,00135795,BS,재무상태표,-표준계정코드 미사용-,기타불입자본,-,제 60 기,103455694069,제 59 기,103455694069,제 58 기,103455694069,37,
34,20200330000162,11011,2019,00135795,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 60 기,-1633602227,제 59 기,-1958326862,제 58 기,1143303332,38,
35,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 60 기,718414379219,제 59 기,719658903116,제 58 기,700847935830,39,
36,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 60 기,870636616061,제 59 기,871556415323,제 58 기,855847078231,41,
37,20200330000162,11011,2019,00135795,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 60 기,947504079112,제 59 기,950210536985,제 58 기,940545761393,42,
38,20200330000162,11011,2019,00135795,CIS,포괄손익계산서,ifrs-full_Revenue,수익(매출액),-,제 60 기,427065042452,제 59 기,557945581769,제 58 기,558437441837,0,
39,20200330000162,11011,2019,00135795,CIS,포괄손익계산서,ifrs-full_CostOfSales,매출원가,-,제 60 기,341817580745,제 59 기,448714268262,제 58 기,446358428927,1,
40,20200330000162,11011,2019,00135795,CIS,포괄손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 60 기,85247461707,제 59 기,109231313507,제 58 기,112079012910,2,
41,20200330000162,11011,2019,00135795,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 60 기,78972304406,제 59 기,84341840306,제 58 기,79457335325,3,
42,20200330000162,11011,2019,00135795,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 60 기,6275157301,제 59 기,24889473201,제 58 기,32621677585,4,
43,20200330000162,11011,2019,00135795,CIS,포괄손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 60 기,13367949564,제 59 기,11748727692,제 58 기,9235776857,5,
44,20200330000162,11011,2019,00135795,CIS,포괄손익계산서,ifrs-full_FinanceCosts,금융원가,-,제 60 기,354871659,제 59 기,300995213,제 58 기,152503348,6,
45,20200330000162,11011,2019,00135795,CIS,포괄손익계산서,dart_OtherGains,기타이익,-,제 60 기,16548574094,제 59 기,18110023869,제 58 기,14377210167,7,
46,20200330000162,11011,2019,00135795,CIS,포괄손익계산서,dart_OtherLosses,기타손실,-,제 60 기,15201773474,제 59 기,10857613558,제 58 기,17974460182,8,
