,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330004063,11011,2019,00160047,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 66 기,524366995138,제 65 기,590386118610,제 64 기,495375041064,1,
1,20200330004063,11011,2019,00160047,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 66 기,103029504448,제 65 기,198335207666,제 64 기,129484159522,2,
2,20200330004063,11011,2019,00160047,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 66 기,120000000000,제 65 기,85000000000,제 64 기,137690301370,3,
3,20200330004063,11011,2019,00160047,BS,재무상태표,dart_CurrentFinancialAssetDesignationAsAtFairValueThroughProfitOrLoss,당기손익인식금융자산,-,제 66 기,,제 65 기,,제 64 기,20460417215,4,
4,20200330004063,11011,2019,00160047,BS,재무상태표,dart_CurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 66 기,,제 65 기,,제 64 기,3111800355,5,
5,20200330004063,11011,2019,00160047,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치금융자산,-,제 66 기,57361188500,제 65 기,60502478128,제 64 기,,6,
6,20200330004063,11011,2019,00160047,BS,재무상태표,dart_CurrentDerivativeAsset,파생금융자산,-,제 66 기,892588196,제 65 기,,제 64 기,,7,
7,20200330004063,11011,2019,00160047,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 66 기,129032085115,제 65 기,151658775066,제 64 기,141423759675,8,
8,20200330004063,11011,2019,00160047,BS,재무상태표,-표준계정코드 미사용-,기타채권,-,제 66 기,7632885999,제 65 기,4115942607,제 64 기,12517962763,9,
9,20200330004063,11011,2019,00160047,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 66 기,8043754926,제 65 기,5927922402,제 64 기,4635111842,10,
10,20200330004063,11011,2019,00160047,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 66 기,98267143813,제 65 기,84842609230,제 64 기,46038493992,11,
11,20200330004063,11011,2019,00160047,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 66 기,107844141,제 65 기,3183511,제 64 기,13034330,12,
12,20200330004063,11011,2019,00160047,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 66 기,3082719242417,제 65 기,2908204489214,제 64 기,2820691218191,13,
13,20200330004063,11011,2019,00160047,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 66 기,17897698,제 65 기,10013392238,제 64 기,9459814,14,
14,20200330004063,11011,2019,00160047,BS,재무상태표,dart_NonCurrentFairValueFinancialAsset,당기손익인식금융자산,-,제 66 기,,제 65 기,,제 64 기,19925401032,15,
15,20200330004063,11011,2019,00160047,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 66 기,,제 65 기,,제 64 기,29698418669,16,
16,20200330004063,11011,2019,00160047,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치금융자산,-,제 66 기,6405141600,제 65 기,15180870374,제 64 기,,17,
17,20200330004063,11011,2019,00160047,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산,-,제 66 기,12294944904,제 65 기,11405283829,제 64 기,,18,
18,20200330004063,11011,2019,00160047,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,기타비유동채권,-,제 66 기,5266773226,제 65 기,7827773391,제 64 기,1589503040,19,
19,20200330004063,11011,2019,00160047,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 66 기,252469653840,제 65 기,158359982811,제 64 기,158925090334,20,
