,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 55 기,210383551000,제 54 기,253530109000,제 53 기,387120315000,1,
1,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 55 기,34430768000,제 54 기,64253158000,제 53 기,53292165000,2,
2,20200330002719,11011,2019,00171636,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 55 기,93371602000,제 54 기,112679641000,제 53 기,184817344000,3,
3,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 55 기,10152618000,제 54 기,13577141000,제 53 기,24092673000,4,
4,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 55 기,22260898000,제 54 기,22637653000,제 53 기,57142136000,5,
5,20200330002719,11011,2019,00171636,BS,재무상태표,dart_ShortTermDueFromCustomersForContractWork,단기미청구공사,-,제 55 기,21554388000,제 54 기,25326253000,제 53 기,49340715000,6,
6,20200330002719,11011,2019,00171636,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,당기손익-공정가치측정금융자산,-,제 55 기,16224836000,제 54 기,0,제 53 기,0,7,
7,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 55 기,612841000,제 54 기,1227173000,제 53 기,1473026000,8,
8,20200330002719,11011,2019,00171636,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 55 기,9842542000,제 54 기,13829090000,제 53 기,16962256000,9,
9,20200330002719,11011,2019,00171636,BS,재무상태표,dart_CurrentFinanceLeaseReceivables,단기금융리스채권,-,제 55 기,409090000,제 54 기,0,제 53 기,0,10,
10,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,-,제 55 기,1523968000,제 54 기,0,제 53 기,0,11,
11,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 55 기,456001329000,제 54 기,1093820140000,제 53 기,1242253364000,12,
12,20200330002719,11011,2019,00171636,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,-,제 55 기,0,제 54 기,0,제 53 기,0,13,
13,20200330002719,11011,2019,00171636,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,비유동매도가능금융자산,-,제 55 기,0,제 54 기,0,제 53 기,20086706000,14,
14,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,비유동 기타포괄손익-공정가치 측정 금융자산,-,제 55 기,4029985000,제 54 기,5334080000,제 53 기,0,15,
15,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,비유동 당기손익-공정가치 측정 금융자산,-,제 55 기,8472192000,제 54 기,7216125000,제 53 기,0,16,
16,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 55 기,3979197000,제 54 기,10640382000,제 53 기,11629265000,17,
17,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_InvestmentsInAssociates,관계기업에 대한 투자자산,-,제 55 기,341098314000,제 54 기,278357071000,제 53 기,297031013000,18,
18,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_InvestmentsInJointVentures,공동기업에 대한 투자자산,-,제 55 기,0,제 54 기,527075000,제 53 기,1633141000,19,
19,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 55 기,68664715000,제 54 기,765960867000,제 53 기,853321751000,20,
20,20200330002719,11011,2019,00171636,BS,재무상태표,dart_OtherIntangibleAssetsGross,무형자산,-,제 55 기,11801136000,제 54 기,9834764000,제 53 기,23269115000,21,
21,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 55 기,8570587000,제 54 기,0,제 53 기,0,22,
22,20200330002719,11011,2019,00171636,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 55 기,216530000,제 54 기,216530000,제 53 기,13253994000,23,
23,20200330002719,11011,2019,00171636,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 55 기,0,제 54 기,2702409000,제 53 기,3835378000,24,
24,20200330002719,11011,2019,00171636,BS,재무상태표,dart_NoncurrentFinanceLeaseReceivable,장기금융리스채권,-,제 55 기,360421000,제 54 기,0,제 53 기,0,25,
