,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 58 기,1116078890413,제 57 기,1177727302315,제 56 기,1324192865732,1,
1,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 58 기,234105902981,제 57 기,345991741051,제 56 기,258000239882,2,
2,20200330004587,11011,2019,00162993,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융자산,-,제 58 기,357620680377,제 57 기,235528173098,제 56 기,407970250506,3,
3,20200330004587,11011,2019,00162993,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 58 기,352090576009,제 57 기,387387873528,제 56 기,406317463685,4,
4,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,기타수취채권,-,제 58 기,17119916602,제 57 기,20206577631,제 56 기,30706762025,5,
5,20200330004587,11011,2019,00162993,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 58 기,15125793080,제 57 기,14645971181,제 56 기,46000918609,6,
6,20200330004587,11011,2019,00162993,BS,재무상태표,-표준계정코드 미사용-,전대리스투자(유동),-,제 58 기,634551818,제 57 기,,제 56 기,,7,
7,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 58 기,135655279682,제 57 기,167630645495,제 56 기,168867821025,8,
8,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_CurrentTaxAssets,미수법인세,-,제 58 기,369866904,제 57 기,437310211,제 56 기,,9,
9,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정비유동자산,-,제 58 기,3356322960,제 57 기,5899010120,제 56 기,6329410000,10,
10,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 58 기,2183964384374,제 57 기,2076516870933,제 56 기,2012119489126,11,
11,20200330004587,11011,2019,00162993,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 58 기,,제 57 기,,제 56 기,173710678984,12,
12,20200330004587,11011,2019,00162993,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융자산,-,제 58 기,141598315073,제 57 기,111283929460,제 56 기,7648936778,13,
13,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타금융자산,-,제 58 기,48053056619,제 57 기,43028505312,제 56 기,38758555583,14,
14,20200330004587,11011,2019,00162993,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타수취채권,-,제 58 기,1336172622,제 57 기,94157825,제 56 기,735231192,15,
15,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_InvestmentsInAssociates,관계기업투자,-,제 58 기,1817015969,제 57 기,1856765417,제 56 기,12468328882,16,
16,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 58 기,1225481996164,제 57 기,1218666373834,제 56 기,1179872802479,17,
17,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 58 기,596266583416,제 57 기,649036171539,제 56 기,567332527350,18,
18,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 58 기,31613860219,제 57 기,30580575468,제 56 기,27639154346,19,
19,20200330004587,11011,2019,00162993,BS,재무상태표,-표준계정코드 미사용-,사용권자산,-,제 58 기,105510437820,제 57 기,,제 56 기,,20,
20,20200330004587,11011,2019,00162993,BS,재무상태표,-표준계정코드 미사용-,전대리스투자(비유동),-,제 58 기,1598804828,제 57 기,,제 56 기,,21,
21,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 58 기,17173598396,제 57 기,20603983063,제 56 기,2745297669,22,
22,20200330004587,11011,2019,00162993,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 58 기,13514543248,제 57 기,1366409015,제 56 기,1207975863,23,
23,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 58 기,3300043274787,제 57 기,3254244173248,제 56 기,3336312354858,24,
24,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 58 기,744294593066,제 57 기,619285837304,제 56 기,856811309425,26,
25,20200330004587,11011,2019,00162993,BS,재무상태표,dart_ShortTermTradePayables,매입채무,-,제 58 기,143349571793,제 57 기,181523327005,제 56 기,184254485523,27,
26,20200330004587,11011,2019,00162993,BS,재무상태표,-표준계정코드 미사용-,기타채무(유동),-,제 58 기,95684244110,제 57 기,117804131006,제 56 기,122913887992,28,
27,20200330004587,11011,2019,00162993,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 58 기,43945316777,제 57 기,36872462929,제 56 기,52074201210,29,
28,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 58 기,96806422266,제 57 기,50440000000,제 56 기,300190000000,30,
29,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금 및 유동성사채,-,제 58 기,190856584949,제 57 기,72983302262,제 56 기,77817153166,31,
30,20200330004587,11011,2019,00162993,BS,재무상태표,-표준계정코드 미사용-,기타금융부채(유동),-,제 58 기,129066245471,제 57 기,141727260009,제 56 기,94406180908,32,
31,20200330004587,11011,2019,00162993,BS,재무상태표,-표준계정코드 미사용-,리스부채(유동),-,제 58 기,31205110920,제 57 기,,제 56 기,,33,
32,20200330004587,11011,2019,00162993,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 58 기,13381096780,제 57 기,17935354093,제 56 기,25155400626,34,
33,20200330004587,11011,2019,00162993,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 58 기,813301479060,제 57 기,910160954475,제 56 기,840072901889,35,
